BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
5A:95:CB:A5:14:85,2023-05-10 03:09:30,2023-05-10 03:09:30,6,10,WPA3-TRANSITION, ,,-72, ,0,0.0.0.0,17,iPhone - Nicoleta, ,44.033434,24.234665
AC:22:05:57:2D:E8,2023-05-10 03:10:59,2023-05-10 03:10:59,48,60,WPA2, ,PSK,-87, ,0,0.0.0.0,10,UPCDD833E8, ,44.033434,24.234665
BC:C0:0F:6A:CD:D8,2023-05-10 03:15:47,2023-05-10 03:15:47,5,,, ,,, ,0,0.0.0.0,17,BCC00F6ACDD8, ,0,0
84:3E:92:F3:7F:34,2023-05-10 03:16:08,2023-05-10 03:16:08,1,10,WPA2, ,PSK,-80, ,0,0.0.0.0,9,DIGI-4jBM, ,44.033434,24.234665
8A:5A:85:5A:30:22,2023-05-10 03:16:57,2023-05-10 03:16:57,11,60,WPA2, ,PSK,-76, ,0,0.0.0.0,16,DIRECT-BMW 44792, ,44.033434,24.234665
8A:5A:85:4A:30:22,2023-05-10 03:17:00,2023-05-10 03:17:01,157,60,WPA2, ,PSK,-70, ,0,0.0.0.0,16,DIRECT-BMW 44792, ,44.033434,24.234665
A0:9F:10:A8:DA:3B,2023-05-10 03:17:06,2023-05-10 03:17:06,1,10,WPA2, ,PSK,-56, ,0,0.0.0.0,14,70mai_d06_da3b, ,44.033434,24.234665
02:A6:18:A3:88:15,2023-05-10 03:22:15,2023-05-10 03:22:31,11,10,WPA2, ,PSK,-80, ,0,0.0.0.0,14,HUAWEI P30 Pro, ,44.033434,24.234665
BC:30:7D:C0:46:50,2023-05-10 03:23:18,2023-05-10 03:23:18,1,10,WPA2, ,PSK,-46, ,0,0.0.0.0,6,RM_AMB, ,44.033434,24.234665
68:4A:AE:F5:9E:68,2023-05-10 03:19:46,2023-05-10 03:24:22,2,10,WPA2, ,PSK,-80, ,0,0.0.0.0,9,DIGI-88a4, ,44.033434,24.234665
FC:A6:CD:42:56:18,2023-05-10 03:12:14,2023-05-10 03:27:07,5,10,WPA2, ,PSK,-80, ,0,0.0.0.0,11,DIGI_425618, ,44.033434,24.234665
D2:70:1E:3D:69:FF,2023-05-10 03:27:23,2023-05-10 03:27:23,10,10,WPA3-TRANSITION, ,,-80, ,0,0.0.0.0,15,realme C11 2021, ,44.033434,24.234665
94:25:33:19:56:0C,2023-05-10 03:31:11,2023-05-10 03:31:11,3,10,WPA2, ,PSK,-78, ,0,0.0.0.0,9,DIGI-fCT4, ,44.033434,24.234665
CC:50:0A:8D:DD:88,2023-05-10 03:01:58,2023-05-10 03:31:43,5,10,WPA2, ,PSK,-80, ,0,0.0.0.0,11,DIGI_8ddd88, ,44.033434,24.234665
