BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
BE:30:7E:62:F6:3B,2023-05-09 11:01:45,2023-05-09 11:01:45,11,60,WPA2, ,PSK,-72, ,0,0.0.0.0,18,DIRECT-03-BMW34611, ,45.383504,28.020105
EE:5C:84:8C:B2:C9,2023-05-09 11:02:12,2023-05-09 11:02:39,6,60,WPA2, ,PSK,-81, ,0,0.0.0.0,10,My VW 3953, ,2.02496140966583E-150,9.38638875436352E-151
EE:5C:84:EC:B2:C9,2023-05-09 11:02:24,2023-05-09 11:02:46,149,60,WPA2, ,PSK,-72, ,0,0.0.0.0,10,My VW 3953, ,45.383504,28.020105
00:1D:C9:07:12:64,2023-05-09 11:02:25,2023-05-09 11:03:08,3,10,WPA2, ,PSK,-44, ,0,0.0.0.0,12,REMOTE65zmnd, ,45.383504,28.020105
34:20:03:25:1E:C4,2023-05-09 11:05:43,2023-05-09 11:06:07,2,10,WPA2, ,PSK,-36, ,0,0.0.0.0,16,B1W_342003251ec4, ,45.383504,28.020105
62:E6:F0:9A:39:94,2023-05-09 11:05:55,2023-05-09 11:06:14,149,60,WPA2, ,PSK,-64, ,0,0.0.0.0,13,MMI_5597_5GHz, ,45.383504,28.020105
9E:50:D1:C8:30:E3,2023-05-09 11:07:27,2023-05-09 11:07:33,153,60,WPA2, ,PSK,-74, ,0,0.0.0.0,13,My Skoda 9749, ,90,1.51276628692829E-62
00:54:AF:C8:EE:2C,2023-05-09 11:07:52,2023-05-09 11:07:55,1,10,WPA2, ,PSK,-40, ,0,0.0.0.0,11,HotspotEE2C, ,45.383504,28.020105
BA:81:77:66:00:E6,2023-05-09 11:08:47,2023-05-09 11:09:06,8,10,WPA2, ,PSK,-74, ,0,0.0.0.0,16,Galaxy S22 Ultra, ,0,1.22292361136536E-261
34:20:03:D0:64:C8,2023-05-09 11:09:35,2023-05-09 11:10:24,6,10,WPA2, ,PSK,-42, ,0,0.0.0.0,14,70mai_d06_64c8, ,90,4.69624464377851E-72
42:AA:56:CA:E1:40,2023-05-09 11:10:35,2023-05-09 11:10:56,1,10,WPA2, ,PSK,-50, ,0,0.0.0.0,14,MiVue_733_15ec, ,45.383504,28.020105
22:43:AD:38:B1:50,2023-05-09 11:10:46,2023-05-09 11:10:46,8,10,WPA2, ,PSK,-54, ,0,0.0.0.0,17,2243AD38B150, ,45.383504,28.020105
B2:00:73:31:CC:A0,2023-05-09 11:10:53,2023-05-09 11:11:17,149,60,WPA2, ,PSK,-63, ,0,0.0.0.0,17,DIRECT-MBUX 55578, ,90,28.020105
B0:00:73:BC:C2:AC,2023-05-09 11:11:06,2023-05-09 11:11:09,153,60,WPA2, ,PSK,-71, ,0,0.0.0.0,17,B00073BCC2AC, ,45.383504,28.020105
28:0F:EB:76:08:85,2023-05-09 11:12:57,2023-05-09 11:13:06,157,60,WPA2, ,PSK,-68, ,0,0.0.0.0,21,DACIA_5301           , ,45.383504,28.020105
C8:EA:F8:B7:11:A1,2023-05-09 11:13:34,2023-05-09 11:13:42,9,10,WPA2, ,PSK,-72, ,0,0.0.0.0,10,ZTE_B711A1, ,-90,90
E2:37:BF:2B:4B:24,2023-05-09 11:13:40,2023-05-09 11:13:40,11,60,WPA2, ,PSK,-81, ,0,0.0.0.0,18,DIRECT-03-BMW17730, ,45.383504,28.020105
CE:CA:12:29:06:9B,2023-05-09 11:14:08,2023-05-09 11:14:21,153,60,WPA2, ,PSK,-61, ,1,0.0.0.0,17,TravelWifi-022088, ,45.3835039990991,28.0201050033862
