
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
DA:A1:19:AD:2D:25,2023-05-09 11:01:47,2023-05-09 11:01:47,-83,1,(not associated),45.383504,28.020105,
9A:67:EC:D3:CC:ED,2023-05-09 11:01:49,2023-05-09 11:01:49,-76,1,(not associated),45.383504,28.020105,
A6:4C:FD:98:37:5C,2023-05-09 11:01:51,2023-05-09 11:01:52,-64,6,(not associated),45.383504,28.020105,
2E:7C:7B:88:E4:D0,2023-05-09 11:01:55,2023-05-09 11:01:55,-74,2,(not associated),45.383504,28.020105,
DA:A1:19:45:0D:B9,2023-05-09 11:01:57,2023-05-09 11:01:57,-78,2,(not associated),45.383504,28.020105,
8A:9C:C3:E1:D8:76,2023-05-09 11:02:07,2023-05-09 11:02:08,-65,9,(not associated),45.383504,28.020105,
5E:40:75:9E:E9:4F,2023-05-09 11:02:08,2023-05-09 11:02:08,-78,1,(not associated),45.383504,28.020105,
36:B3:E6:67:B2:82,2023-05-09 11:02:11,2023-05-09 11:02:11,-79,1,(not associated),0,90,
DA:A1:19:96:53:3C,2023-05-09 11:02:22,2023-05-09 11:02:22,-77,2,(not associated),45.383504,28.020105,
36:FE:56:82:04:88,2023-05-09 11:02:28,2023-05-09 11:02:29,-30,5,(not associated),45.383504,28.020105,
FA:A0:97:C9:FA:A8,2023-05-09 11:02:41,2023-05-09 11:02:41,-68,10,(not associated),45.383504,28.020105,
A4:C3:37:10:36:9D,2023-05-09 11:02:46,2023-05-09 11:02:46,0,1,EE:5C:84:EC:B2:C9,0,0,
82:68:CC:2D:99:C9,2023-05-09 11:02:46,2023-05-09 11:02:46,0,0,EE:5C:84:EC:B2:C9,0,0,
F4:5E:AB:5E:3B:BA,2023-05-09 11:02:56,2023-05-09 11:03:04,-70,12,(not associated),45.383504,28.020105,
F6:48:77:55:C0:29,2023-05-09 11:02:58,2023-05-09 11:02:58,-50,2,(not associated),45.383504,28.020105,
94:0E:6B:6D:CF:ED,2023-05-09 11:03:16,2023-05-09 11:03:16,-67,2,(not associated),0,89.9999999850481,
12:9C:59:ED:2E:8E,2023-05-09 11:03:21,2023-05-09 11:03:21,-70,8,(not associated),45.383504,28.020105,dcssema
7C:C2:25:99:58:30,2023-05-09 11:01:45,2023-05-09 11:03:51,-60,4,(not associated),45.383504,28.020105,
0A:54:CE:F3:85:E8,2023-05-09 11:03:29,2023-05-09 11:03:29,-63,10,(not associated),45.383504,28.020105,
36:40:D3:F9:22:84,2023-05-09 11:03:35,2023-05-09 11:03:35,-52,9,(not associated),90,90,
96:CD:92:A9:D9:D4,2023-05-09 11:03:36,2023-05-09 11:03:37,-74,18,(not associated),0,1.03683981314318E-61,Luca
E2:CE:36:34:5F:53,2023-05-09 11:03:41,2023-05-09 11:03:41,-62,1,(not associated),45.383504,28.020105,
E2:FD:C9:17:77:0C,2023-05-09 11:03:46,2023-05-09 11:03:46,-60,1,(not associated),45.383504,28.020105,
EE:B4:DB:F7:B1:24,2023-05-09 11:05:06,2023-05-09 11:05:06,-71,5,(not associated),45.383504,28.020105,
4E:63:71:B4:F5:F4,2023-05-09 11:05:52,2023-05-09 11:05:52,0,1,38:43:7D:38:38:58,0,0,
DA:A1:19:D9:67:45,2023-05-09 11:06:14,2023-05-09 11:06:15,-65,3,(not associated),45.383504,28.020105,
