
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
7E:18:7B:F4:AF:D0,2023-05-09 22:39:12,2023-05-09 22:39:12,-86,1,(not associated),45.206853,25.328443,
3A:7C:08:2C:D0:79,2023-05-09 22:40:34,2023-05-09 22:40:34,-76,4,(not associated),45.206853,25.328443,
9E:1A:58:DC:54:D8,2023-05-09 22:40:50,2023-05-09 22:40:50,0,0,(not associated),0,0,
EA:C7:D0:0F:27:D4,2023-05-09 22:41:00,2023-05-09 22:41:00,-76,2,(not associated),45.206853,25.328443,
9A:3F:DE:FA:10:90,2023-05-09 22:42:20,2023-05-09 22:42:20,0,0,(not associated),0,0,
7A:F9:25:0A:B0:FF,2023-05-09 22:43:24,2023-05-09 22:43:24,0,0,(not associated),0,0,
54:EB:E9:B0:5F:DA,2023-05-09 22:43:58,2023-05-09 22:44:01,-59,0,74:6F:F7:B1:59:FC,45.206853,25.328443,
C2:8C:CC:D9:B3:85,2023-05-09 22:44:01,2023-05-09 22:44:01,-54,3,(not associated),45.206853,25.328443,TP-Link_8E78
CA:16:E9:DE:AA:E4,2023-05-09 22:45:32,2023-05-09 22:45:32,-80,1,(not associated),45.206853,25.328443,
0A:93:A6:71:99:2C,2023-05-09 22:45:32,2023-05-09 22:45:32,-79,2,(not associated),45.206853,25.328443,
CA:31:2F:7A:EE:5C,2023-05-09 22:45:32,2023-05-09 22:45:32,-79,2,(not associated),45.206853,25.328443,
1E:25:20:C4:53:ED,2023-05-09 22:45:57,2023-05-09 22:45:57,-74,1,(not associated),45.206853,25.328443,
DA:A1:19:79:6B:71,2023-05-09 22:46:14,2023-05-09 22:46:14,0,0,(not associated),0,0,
66:53:9F:76:45:7C,2023-05-09 22:47:12,2023-05-09 22:47:12,-48,4,(not associated),45.206853,25.328443,
DA:A1:19:C8:81:7E,2023-05-09 22:49:51,2023-05-09 22:49:51,0,0,(not associated),0,0,
5E:DC:D9:11:02:CC,2023-05-09 22:50:18,2023-05-09 22:50:18,-78,0,E4:8D:8C:FE:36:77,45.206853,25.328443,
3E:3A:3C:86:53:CC,2023-05-09 22:50:18,2023-05-09 22:50:18,0,0,(not associated),0,0,
DA:A1:19:D5:50:3D,2023-05-09 22:51:11,2023-05-09 22:51:12,-54,2,(not associated),45.206853,25.328443,
F6:24:FC:AA:B0:D5,2023-05-09 22:52:26,2023-05-09 22:52:26,-80,1,(not associated),45.206853,25.328443,
84:C0:EF:3C:23:86,2023-05-09 22:44:59,2023-05-09 22:53:08,0,0,88:66:39:AE:64:A0,0,0,
DA:A1:19:3E:72:01,2023-05-09 22:53:03,2023-05-09 22:53:03,0,0,(not associated),0,0,
DA:A1:19:9B:BB:C9,2023-05-09 22:54:33,2023-05-09 22:54:33,-50,6,(not associated),45.206853,25.328443,
DA:A1:19:8D:9B:D6,2023-05-09 22:56:03,2023-05-09 22:56:03,-54,2,(not associated),45.206853,25.328443,
DA:A1:19:B3:F0:10,2023-05-09 22:56:14,2023-05-09 22:56:14,0,0,(not associated),0,0,
92:0B:1F:E5:98:5F,2023-05-09 22:58:05,2023-05-09 22:58:05,0,0,(not associated),0,0,
DA:A1:19:F7:6E:37,2023-05-09 23:01:33,2023-05-09 23:01:33,-52,3,(not associated),45.206853,25.328443,
