
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
D4:BC:B6:A5:59:8A,2023-05-10 03:21:28,2023-05-10 03:30:54,0,8,Unknown,Unknown,45.232799,21.272041
48:08:63:0F:AA:04,2023-05-10 03:21:27,2023-05-10 03:34:20,0,26,Unknown,Unknown,45.232799,21.272041
D0:5D:12:54:67:A5,2023-05-10 03:36:53,2023-05-10 03:43:02,0,4,Unknown,Unknown,45.232799,21.272041
6A:A3:53:DB:14:3D,2023-05-10 03:35:44,2023-05-10 03:49:02,0,16,Unknown,Unknown,45.232799,21.272041
57:E3:AD:81:38:B4,2023-05-10 03:35:12,2023-05-10 03:50:39,0,43,Unknown,Unknown,45.232799,21.272041
7C:A9:FC:63:AB:F7,2023-05-10 03:57:11,2023-05-10 04:13:58,0,20,Unknown,Unknown,45.232799,21.272041
54:E2:84:F3:BD:87,2023-05-10 04:34:10,2023-05-10 04:34:10,0,1,Unknown,Unknown,45.232799,21.272041
40:F4:79:B0:3A:0E,2023-05-10 04:34:32,2023-05-10 04:34:32,0,1,Unknown,Unknown,45.232799,21.272041
5E:F1:0C:9E:F4:77,2023-05-10 04:15:30,2023-05-10 04:35:49,0,44,Unknown,Unknown,45.232799,21.272041
C2:51:D6:57:D5:84,2023-05-10 04:36:43,2023-05-10 04:36:51,0,2,Unknown,Unknown,45.232799,21.272041
DB:EA:7B:69:8B:FD,2023-05-10 04:34:22,2023-05-10 04:45:45,0,11,Unknown,Unknown,45.232799,21.272041
D9:C0:1F:43:11:24,2023-05-10 04:34:10,2023-05-10 04:46:47,0,4,Unknown,Unknown,45.232799,21.272041
47:75:51:18:32:3C,2023-05-10 04:38:21,2023-05-10 04:47:47,0,11,Unknown,Unknown,45.232799,21.272041
6F:1E:0E:F3:55:A5,2023-05-10 04:36:43,2023-05-10 04:50:30,0,24,Unknown,Unknown,45.232799,21.272041
F1:C5:A7:8A:A6:F7,2023-05-10 04:48:40,2023-05-10 04:53:40,0,7,Unknown,Unknown,45.232799,21.272041
E4:E2:92:E9:44:8F,2023-05-10 04:46:50,2023-05-10 05:02:25,0,13,Unknown,Unknown,45.232799,21.272041
51:DA:EA:A1:D4:05,2023-05-10 04:50:41,2023-05-10 05:03:11,0,15,Unknown,Unknown,45.232799,21.272041
20:2C:3B:6A:E4:F2,2023-05-10 05:04:55,2023-05-10 05:04:55,0,1,Unknown,Unknown,45.232799,21.272041
FA:C7:00:A4:90:D3,2023-05-10 05:04:59,2023-05-10 05:04:59,0,1,Unknown,Unknown,45.232799,21.272041
63:65:1E:7F:4E:4F,2023-05-10 05:05:11,2023-05-10 05:05:11,0,1,Unknown,Unknown,45.232799,21.272041
E5:13:2A:37:E4:EC,2023-05-10 05:02:27,2023-05-10 05:07:32,0,4,Unknown,Unknown,45.232799,21.272041
79:D2:36:FE:A9:B5,2023-05-10 04:51:45,2023-05-10 05:07:39,0,26,Unknown,Unknown,45.232799,21.272041
4D:A8:2F:C1:0C:A5,2023-05-10 05:07:43,2023-05-10 05:07:43,0,1,Unknown,Unknown,45.232799,21.272041
54:46:84:1C:06:D7,2023-05-10 05:10:56,2023-05-10 05:10:56,0,1,Unknown,Unknown,45.232799,21.272041
3D:61:CF:6B:33:27,2023-05-10 05:10:56,2023-05-10 05:11:04,0,2,Unknown,Unknown,45.232799,21.272041
F6:DD:80:7F:E3:66,2023-05-10 05:11:29,2023-05-10 05:11:29,0,1,Unknown,Unknown,45.232799,21.272041
35:B2:A4:82:44:F5,2023-05-10 05:04:55,2023-05-10 05:13:40,0,6,Unknown,Unknown,45.232799,21.272041
57:D0:B1:91:F7:2D,2023-05-10 05:16:25,2023-05-10 05:16:25,0,1,Unknown,Unknown,45.232799,21.272041
0A:71:D7:FD:F7:CC,2023-05-10 05:18:44,2023-05-10 05:19:47,0,2,Unknown,Unknown,45.232799,21.272041
D5:9F:D3:AB:89:62,2023-05-10 05:19:41,2023-05-10 05:19:41,0,1,Unknown,Unknown,45.232799,21.272041
