
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
BA:70:72:CB:FC:BD,2023-05-10 03:21:25,2023-05-10 03:21:25,-69,2,(not associated),45.232799,21.272041,
A2:66:3E:4F:ED:88,2023-05-10 03:21:35,2023-05-10 03:21:35,-75,2,(not associated),45.232799,21.272041,
FA:AF:E4:4B:A6:01,2023-05-10 03:21:38,2023-05-10 03:21:38,-77,3,(not associated),45.232799,21.272041,
5E:3F:40:87:5E:3D,2023-05-10 03:21:42,2023-05-10 03:21:42,-79,1,(not associated),45.232799,21.272041,
A6:34:61:0D:1D:3C,2023-05-10 03:21:45,2023-05-10 03:21:45,0,0,(not associated),0,0,
B2:B9:21:30:60:F0,2023-05-10 03:21:48,2023-05-10 03:21:48,-65,2,(not associated),45.232799,21.272041,
DE:A5:07:4B:A9:1E,2023-05-10 03:21:55,2023-05-10 03:21:55,-67,4,(not associated),45.232799,21.272041,
66:52:1A:10:16:C9,2023-05-10 03:22:08,2023-05-10 03:22:08,-73,8,(not associated),45.232799,21.272041,
62:4D:4A:B3:58:F0,2023-05-10 03:22:11,2023-05-10 03:22:11,-61,1,(not associated),45.232799,21.272041,
02:35:D7:91:1A:FA,2023-05-10 03:22:21,2023-05-10 03:22:21,-75,6,(not associated),45.232799,21.272041,
DA:A1:19:53:38:0F,2023-05-10 03:22:26,2023-05-10 03:22:26,-69,8,(not associated),45.232799,21.272041,
DA:76:AF:10:E8:8C,2023-05-10 03:22:41,2023-05-10 03:22:41,0,0,(not associated),0,0,
9A:CC:EE:C0:A3:A8,2023-05-10 03:22:42,2023-05-10 03:22:42,-73,2,(not associated),45.232799,21.272041,
2A:CD:B6:C5:D4:59,2023-05-10 03:22:45,2023-05-10 03:22:45,-71,2,(not associated),45.232799,21.272041,
E6:0E:0D:FF:52:C6,2023-05-10 03:22:45,2023-05-10 03:22:45,-65,1,(not associated),45.232799,21.272041,
4A:04:8A:4B:CD:6A,2023-05-10 03:22:45,2023-05-10 03:22:45,-73,1,(not associated),45.232799,21.272041,
E6:27:A5:72:A1:28,2023-05-10 03:23:06,2023-05-10 03:23:06,0,0,(not associated),0,0,
EE:31:1B:85:66:E6,2023-05-10 03:23:14,2023-05-10 03:23:14,-79,1,(not associated),45.232799,21.272041,
42:03:F8:55:43:9A,2023-05-10 03:23:19,2023-05-10 03:23:19,-61,1,(not associated),45.232799,21.272041,
C6:52:C8:61:B7:46,2023-05-10 03:23:25,2023-05-10 03:23:25,-65,1,(not associated),45.232799,21.272041,
FA:E4:FA:25:DF:84,2023-05-10 03:23:30,2023-05-10 03:23:30,-73,17,(not associated),45.232799,21.272041,Vodafone-A50636857,Casa Bunicii,Nokia3310,GAZPROM RoWiFi,UPC554ADFA
7E:79:18:35:CC:E7,2023-05-10 03:23:34,2023-05-10 03:23:34,-73,1,(not associated),45.232799,21.272041,
0A:07:6A:91:45:60,2023-05-10 03:23:38,2023-05-10 03:23:38,0,0,(not associated),0,0,
0E:BD:10:22:02:B9,2023-05-10 03:23:38,2023-05-10 03:23:38,-61,4,(not associated),45.232799,21.272041,
AE:AE:94:B6:A5:BB,2023-05-10 03:24:28,2023-05-10 03:24:28,-71,1,(not associated),45.232799,21.272041,
02:B3:23:56:21:6B,2023-05-10 03:24:39,2023-05-10 03:24:39,-63,1,(not associated),45.232799,21.272041,
FE:AD:3C:A7:FD:56,2023-05-10 03:25:07,2023-05-10 03:25:08,-73,8,(not associated),45.232799,21.272041,wi fi,date mobile
D2:18:05:10:82:21,2023-05-10 03:25:13,2023-05-10 03:25:13,-69,2,(not associated),45.232799,21.272041,
36:77:F4:F8:6D:84,2023-05-10 03:25:16,2023-05-10 03:25:16,0,0,(not associated),0,0,
DA:A1:19:D0:70:F8,2023-05-10 03:25:26,2023-05-10 03:25:26,-75,7,(not associated),45.232799,21.272041,
DA:A1:19:21:BD:C0,2023-05-10 03:25:27,2023-05-10 03:25:27,-75,9,(not associated),45.232799,21.272041,
5A:09:E7:06:3C:F3,2023-05-10 03:25:54,2023-05-10 03:25:54,-79,1,(not associated),45.232799,21.272041,
BE:32:0D:DB:A8:DB,2023-05-10 03:25:54,2023-05-10 03:25:54,-75,1,(not associated),45.232799,21.272041,
9E:37:CB:F2:87:78,2023-05-10 03:26:11,2023-05-10 03:26:11,-69,1,(not associated),45.232799,21.272041,
DA:31:EA:61:FE:05,2023-05-10 03:26:11,2023-05-10 03:26:11,0,0,(not associated),0,0,
D6:67:F0:03:53:56,2023-05-10 03:26:47,2023-05-10 03:26:47,-61,2,(not associated),45.232799,21.272041,
CA:CE:44:DF:13:E9,2023-05-10 03:26:51,2023-05-10 03:26:51,0,0,(not associated),0,0,
8E:DE:F4:F2:B6:C7,2023-05-10 03:27:13,2023-05-10 03:27:13,-69,1,(not associated),45.232799,21.272041,
8E:68:62:42:B0:95,2023-05-10 03:27:21,2023-05-10 03:27:21,-71,1,(not associated),45.232799,21.272041,
C6:18:4A:A8:12:FD,2023-05-10 03:27:33,2023-05-10 03:27:33,-81,1,(not associated),45.232799,21.272041,
36:07:8E:47:66:07,2023-05-10 03:27:39,2023-05-10 03:27:39,-61,1,(not associated),45.232799,21.272041,
FE:BF:77:C0:88:C9,2023-05-10 03:27:47,2023-05-10 03:27:47,0,0,(not associated),0,0,
B2:F0:E4:5A:5D:95,2023-05-10 03:27:51,2023-05-10 03:27:51,0,0,(not associated),0,0,
D6:EE:87:2C:FB:44,2023-05-10 03:27:53,2023-05-10 03:27:53,0,0,(not associated),0,0,
52:E6:62:FB:6C:B0,2023-05-10 03:27:53,2023-05-10 03:27:53,-67,1,(not associated),45.232799,21.272041,
AE:8F:46:7F:C9:C0,2023-05-10 03:27:59,2023-05-10 03:27:59,0,0,(not associated),0,0,
BA:04:41:96:5B:23,2023-05-10 03:28:00,2023-05-10 03:28:00,0,0,(not associated),0,0,
C2:2F:74:ED:8F:F0,2023-05-10 03:28:00,2023-05-10 03:28:00,0,0,(not associated),0,0,
1E:ED:9C:BF:CF:BE,2023-05-10 03:28:02,2023-05-10 03:28:02,-73,1,(not associated),45.232799,21.272041,
CE:44:A8:C6:D6:C6,2023-05-10 03:28:02,2023-05-10 03:28:02,0,0,(not associated),0,0,
CE:A3:0E:66:BA:66,2023-05-10 03:28:17,2023-05-10 03:28:17,0,0,(not associated),0,0,
9A:BD:04:49:E1:8C,2023-05-10 03:28:17,2023-05-10 03:28:17,0,0,(not associated),0,0,
3E:52:72:F6:7D:97,2023-05-10 03:28:18,2023-05-10 03:28:18,-69,4,(not associated),45.232799,21.272041,
DA:A1:19:43:87:26,2023-05-10 03:28:26,2023-05-10 03:28:26,-63,4,(not associated),45.232799,21.272041,
02:62:FF:6C:73:71,2023-05-10 03:28:26,2023-05-10 03:28:26,-73,2,(not associated),45.232799,21.272041,
DA:A1:19:21:CB:A1,2023-05-10 03:28:27,2023-05-10 03:28:27,-69,10,(not associated),45.232799,21.272041,
