
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
64:84:70:71:15:BC,2023-05-10 03:11:48,2023-05-10 03:17:53,-88,2,Unknown,Unknown,45.24844,28.013239
00:81:CB:40:B7:E8,2023-05-10 03:24:22,2023-05-10 03:24:32,-86,10,Unknown,Unknown,45.24844,28.013239
5B:D5:C6:5B:32:34,2023-05-10 03:24:23,2023-05-10 03:24:31,-85,16,Unknown,Unknown,45.24844,28.013239
5B:D5:C6:5B:32:34,2023-05-10 03:24:25,2023-05-10 03:24:29,0,2,Unknown,Unknown,45.24844,28.013239
F2:F1:49:62:C0:63,2023-05-10 03:24:27,2023-05-10 03:24:27,-87,1,Unknown,Unknown,45.24844,28.013239
71:32:D2:B3:A2:F1,2023-05-10 03:20:07,2023-05-10 03:26:22,-87,2,Unknown,Unknown,45.24844,28.013239
53:DC:79:B1:0A:01,2023-05-10 03:26:15,2023-05-10 03:26:15,-87,1,Unknown,Unknown,45.24844,28.013239
D0:1D:C1:7C:2B:4F,2023-05-10 03:54:25,2023-05-10 03:54:25,-87,1,Unknown,Unknown,45.24844,28.013239
B0:BD:1B:10:21:7C,2023-05-10 04:14:49,2023-05-10 04:14:50,-76,2,Unknown,Unknown,45.24844,28.013239
47:7C:DC:97:B3:E4,2023-05-10 04:21:33,2023-05-10 04:21:37,-87,6,Unknown,Unknown,45.24844,28.013239
45:6A:27:1D:3A:1B,2023-05-10 04:21:35,2023-05-10 04:21:37,-67,5,Unknown,Unknown,45.24844,28.013239
E8:46:70:F9:9C:52,2023-05-10 04:21:35,2023-05-10 04:21:35,-88,1,Unknown,Unknown,45.24844,28.013239
EA:A9:43:93:A3:F0,2023-05-10 04:21:37,2023-05-10 04:21:37,-77,1,Unknown,Unknown,45.24844,28.013239
C5:84:1E:D9:5A:CA,2023-05-10 04:30:30,2023-05-10 04:30:30,0,1,Unknown,Unknown,45.24844,28.013239
64:78:AF:90:E0:CB,2023-05-10 04:30:19,2023-05-10 04:31:13,0,8,Unknown,Unknown,45.24844,28.013239
E2:77:96:F5:CC:89,2023-05-10 04:30:58,2023-05-10 04:31:02,0,2,Unknown,Unknown,45.24844,28.013239
C5:84:1E:D9:5A:CA,2023-05-10 04:30:26,2023-05-10 04:32:41,-75,29,Unknown,Unknown,45.24844,28.013239
64:78:AF:90:E0:CB,2023-05-10 04:30:12,2023-05-10 04:33:09,-77,182,Unknown,Unknown,45.2484399999999,28.013239
E2:77:96:F5:CC:89,2023-05-10 04:30:28,2023-05-10 04:33:03,-61,42,Unknown,Unknown,45.24844,28.013239
44:98:A1:04:ED:8A,2023-05-10 04:31:18,2023-05-10 04:33:08,-61,35,Unknown,Unknown,45.24844,28.013239
38:E8:C7:71:49:ED,2023-05-10 04:37:21,2023-05-10 04:37:23,-86,3,Unknown,Unknown,45.24844,28.013239
0D:11:D8:B0:DD:D4,2023-05-10 04:37:24,2023-05-10 04:37:24,-88,1,Unknown,Unknown,45.24844,28.013239
03:55:F0:41:93:A6,2023-05-10 04:40:03,2023-05-10 04:40:26,-77,21,Unknown,Unknown,45.24844,28.013239
79:AB:5D:9E:B4:83,2023-05-10 04:40:20,2023-05-10 04:40:24,-86,15,Unknown,Unknown,45.24844,28.013239
CD:6A:C5:97:58:62,2023-05-10 04:40:20,2023-05-10 04:40:24,-87,3,Unknown,Unknown,45.24844,28.013239
68:8D:B2:A5:B9:83,2023-05-10 04:40:29,2023-05-10 04:40:29,0,2,Unknown,Unknown,45.24844,28.013239
74:21:85:F2:D6:9D,2023-05-10 04:42:12,2023-05-10 04:42:14,-87,5,Unknown,Unknown,45.24844,28.013239
F4:D1:D0:EF:54:B3,2023-05-10 04:42:14,2023-05-10 04:42:14,-87,1,Unknown,Unknown,45.24844,28.013239
55:09:33:8E:5D:5B,2023-05-10 04:40:39,2023-05-10 04:42:37,-86,7,Unknown,Unknown,45.24844,28.013239
CE:B8:EF:70:24:F1,2023-05-10 04:43:29,2023-05-10 04:43:37,-79,25,Unknown,Unknown,45.24844,28.013239
DC:D0:D4:B3:0A:D1,2023-05-10 04:39:46,2023-05-10 04:44:17,-79,13,Unknown,Unknown,45.24844,28.013239
68:8D:B2:A5:B9:83,2023-05-10 04:40:17,2023-05-10 04:44:18,-80,43,Unknown,Unknown,45.24844,28.013239
44:5F:7D:9F:80:CF,2023-05-10 04:44:45,2023-05-10 04:44:52,-86,34,Unknown,Unknown,45.24844,28.013239
44:5F:7D:9F:80:CF,2023-05-10 04:44:47,2023-05-10 04:44:50,0,2,Unknown,Unknown,45.24844,28.013239
