
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
9E:8A:F6:F0:C2:3B,2023-05-10 03:00:57,2023-05-10 03:00:57,0,0,6C:A4:D1:3C:EF:48,0,0,
72:18:22:61:1A:60,2023-05-10 03:09:15,2023-05-10 03:09:16,-74,4,(not associated),45.24844,28.013239,
AA:B1:7D:25:84:2D,2023-05-10 03:01:50,2023-05-10 03:18:09,0,0,6C:A4:D1:3C:EF:48,0,0,
FE:D1:64:94:D2:C2,2023-05-10 03:18:34,2023-05-10 03:18:34,-80,1,(not associated),45.24844,28.013239,
76:C0:21:48:4E:AA,2023-05-10 03:19:34,2023-05-10 03:19:34,0,0,(not associated),0,0,
0A:9C:E3:D5:02:BA,2023-05-10 03:19:56,2023-05-10 03:19:56,-76,1,(not associated),45.24844,28.013239,
96:5C:C3:91:A8:DD,2023-05-10 03:26:30,2023-05-10 03:26:30,-83,1,(not associated),45.24844,28.013239,
AC:22:05:DC:1E:1C,2023-05-10 03:07:23,2023-05-10 03:31:03,0,0,AC:22:05:DB:62:73,0,0,
00:5F:67:0A:05:00,2023-05-10 03:31:24,2023-05-10 03:31:24,0,0,7A:5F:67:0A:04:F8,0,0,
86:E6:60:70:CB:5F,2023-05-10 03:37:47,2023-05-10 03:37:47,0,0,(not associated),0,0,
98:06:3C:EA:3A:A8,2023-05-10 03:39:40,2023-05-10 03:39:40,0,0,7A:5F:67:0A:04:F9,0,0,
DA:E5:47:F6:F9:BC,2023-05-10 03:43:10,2023-05-10 03:43:10,0,0,(not associated),0,0,
E6:A6:EC:E1:A7:22,2023-05-10 03:48:22,2023-05-10 03:48:22,-74,1,(not associated),45.24844,28.013239,Lcm
DA:A1:19:09:10:98,2023-05-10 03:50:09,2023-05-10 03:50:09,-72,2,(not associated),45.24844,28.013239,
4C:DD:31:F0:E2:E9,2023-05-10 03:48:43,2023-05-10 03:51:20,-80,1,(not associated),45.24844,28.013239,Anita
FE:A4:4E:BA:48:F9,2023-05-10 03:50:58,2023-05-10 03:50:58,0,0,7A:A7:B9:22:0A:F8,0,0,
B6:D0:8B:0C:C9:77,2023-05-10 04:00:17,2023-05-10 04:00:17,-56,1,(not associated),45.24844,28.013239,
2E:B2:5A:BB:6D:BD,2023-05-10 04:01:22,2023-05-10 04:01:22,-76,1,(not associated),45.24844,28.013239,Lcm
9A:1E:A8:EF:50:12,2023-05-10 03:06:13,2023-05-10 04:04:31,0,0,AC:22:05:DB:62:50,0,0,
A6:12:3D:71:66:D4,2023-05-10 04:07:22,2023-05-10 04:07:22,-74,2,(not associated),45.24844,28.013239,Lcm
94:D0:0D:10:72:93,2023-05-10 04:15:06,2023-05-10 04:15:06,-73,3,(not associated),45.24844,28.013239,
54:E0:05:7C:92:B1,2023-05-10 04:16:20,2023-05-10 04:16:20,0,0,54:E1:05:7C:92:B1,0,0,
0A:BA:46:48:19:F1,2023-05-10 04:20:23,2023-05-10 04:20:23,-72,4,(not associated),45.24844,28.013239,Lcm
14:EB:B6:23:D3:B4,2023-05-10 04:22:32,2023-05-10 04:22:32,0,0,82:EB:B6:23:D3:B5,0,0,
9A:B4:3B:F0:4B:D1,2023-05-10 04:23:15,2023-05-10 04:23:15,0,0,(not associated),0,0,
7C:0A:3F:62:86:8C,2023-05-10 04:23:15,2023-05-10 04:23:15,0,0,7A:A7:B9:22:0A:F8,0,0,
B0:A7:B9:22:0B:00,2023-05-10 03:37:20,2023-05-10 04:23:58,0,0,7A:A7:B9:22:0A:F9,0,0,
1E:16:04:58:7B:C7,2023-05-10 04:24:27,2023-05-10 04:24:28,-86,2,(not associated),45.24844,28.013239,
0A:B4:4B:8E:92:22,2023-05-10 04:26:29,2023-05-10 04:26:29,-56,1,(not associated),45.24844,28.013239,
8A:77:DF:85:BD:A7,2023-05-10 04:05:46,2023-05-10 04:27:51,0,0,(not associated),0,0,
F6:71:C4:98:82:C9,2023-05-10 04:31:10,2023-05-10 04:31:10,-78,1,(not associated),45.24844,28.013239,
5E:29:15:72:32:BB,2023-05-10 04:31:12,2023-05-10 04:31:12,-72,2,(not associated),45.24844,28.013239,
CA:41:D7:CF:CB:CD,2023-05-10 04:31:12,2023-05-10 04:31:12,-70,1,(not associated),45.24844,28.013239,
7E:07:C9:DE:BB:E7,2023-05-10 03:24:51,2023-05-10 04:31:36,-76,2,(not associated),45.24844,28.013239,
FC:C2:DE:1A:C2:F1,2023-05-10 03:50:12,2023-05-10 04:31:49,0,0,6C:D7:19:1C:DF:F0,0,0,
E4:C3:2A:8E:8C:99,2023-05-10 04:31:46,2023-05-10 04:31:46,0,0,(not associated),0,0,
0E:1C:71:7E:89:0C,2023-05-10 04:31:49,2023-05-10 04:31:49,0,0,6C:D7:19:1C:DF:F0,0,0,
3C:EE:E3:AD:85:1A,2023-05-10 04:35:00,2023-05-10 04:35:00,0,0,(not associated),0,0,
DA:A1:19:82:E6:8C,2023-05-10 04:35:22,2023-05-10 04:35:22,-80,1,(not associated),45.24844,28.013239,
DA:A1:19:E2:ED:08,2023-05-10 04:36:00,2023-05-10 04:36:00,-54,4,(not associated),45.24844,28.013239,
C0:D3:C0:5D:C8:4B,2023-05-10 04:36:23,2023-05-10 04:36:23,0,0,0C:37:47:B4:FE:A0,0,0,
44:01:BB:AD:83:66,2023-05-10 03:04:36,2023-05-10 04:36:47,0,0,(not associated),0,0,
6C:5A:B0:53:EF:3C,2023-05-10 03:34:06,2023-05-10 04:37:36,0,0,82:EB:B6:23:D3:B4,0,0,
6E:18:BB:1B:57:FE,2023-05-10 04:39:23,2023-05-10 04:39:23,-74,5,(not associated),45.24844,28.013239,Lcm
8E:01:B0:C0:9C:5A,2023-05-10 04:39:56,2023-05-10 04:39:56,-44,1,(not associated),45.24844,28.013239,
EA:3B:1F:B0:DE:FF,2023-05-10 04:39:56,2023-05-10 04:39:56,-72,1,(not associated),45.24844,28.013239,
DA:DB:23:08:F7:DB,2023-05-10 04:39:56,2023-05-10 04:39:56,-44,1,(not associated),45.24844,28.013239,
C6:23:AC:E4:A8:5F,2023-05-10 04:39:56,2023-05-10 04:39:56,-50,1,(not associated),45.24844,28.013239,
00:0C:E7:9B:0A:FE,2023-05-10 04:40:01,2023-05-10 04:40:01,-48,3,(not associated),45.24844,28.013239,
A6:48:5D:CE:1F:77,2023-05-10 04:40:06,2023-05-10 04:40:22,-60,2,(not associated),45.24844,28.013239,DIGI_6d3858
32:90:B7:10:F4:84,2023-05-10 04:40:13,2023-05-10 04:40:13,-87,1,(not associated),45.24844,28.013239,
92:A4:B7:9B:D1:DA,2023-05-10 04:40:39,2023-05-10 04:40:39,0,0,(not associated),0,0,
82:A3:F9:71:CB:8E,2023-05-10 04:41:12,2023-05-10 04:41:12,0,0,(not associated),0,0,
AA:AC:0D:57:AE:86,2023-05-10 04:42:32,2023-05-10 04:43:37,-64,17,(not associated),45.24844,28.013239,TOSHIBA 5D97D1
96:37:43:3F:3E:82,2023-05-10 04:44:05,2023-05-10 04:44:05,-76,2,(not associated),45.24844,28.013239,
62:EC:5E:EA:68:C4,2023-05-10 04:44:14,2023-05-10 04:44:15,-60,5,(not associated),45.24844,28.013239,
DA:7E:17:A8:F8:6F,2023-05-10 04:44:20,2023-05-10 04:44:20,0,0,(not associated),0,0,
72:B0:CF:E0:5D:DB,2023-05-10 04:39:56,2023-05-10 04:45:13,-78,0,D4:B1:10:50:5A:EC,45.24844,28.013239,
2A:49:96:15:CD:05,2023-05-10 04:45:08,2023-05-10 04:45:08,0,0,(not associated),0,0,
12:07:7D:07:06:12,2023-05-10 04:45:34,2023-05-10 04:45:34,-77,2,(not associated),45.24844,28.013239,
7E:AE:26:89:82:3D,2023-05-10 04:45:41,2023-05-10 04:45:41,0,0,(not associated),0,0,
0A:CE:56:4B:AD:28,2023-05-10 04:47:55,2023-05-10 04:47:55,0,0,(not associated),0,0,
A2:4F:63:55:9F:9E,2023-05-10 04:49:31,2023-05-10 04:49:41,-52,11,(not associated),45.24844,28.013239,
92:E4:CC:87:F2:1F,2023-05-10 04:49:43,2023-05-10 04:49:43,-68,4,(not associated),45.24844,28.013239,
4C:FC:AA:3F:C5:AF,2023-05-10 03:06:56,2023-05-10 04:50:26,-74,3,(not associated),45.24844,28.013239,
5A:9C:80:AC:77:2C,2023-05-10 04:50:47,2023-05-10 04:50:47,0,0,(not associated),0,0,
B2:E4:A3:20:69:6B,2023-05-10 03:26:18,2023-05-10 04:51:25,-74,0,(not associated),45.24844,28.013239,
40:AA:56:3F:A6:74,2023-05-10 04:55:16,2023-05-10 04:55:17,-74,2,(not associated),45.24844,28.013239,
02:00:00:00:00:00,2023-05-10 04:55:27,2023-05-10 04:56:37,-54,7,(not associated),45.24844,28.013239,
B2:E7:62:12:81:B5,2023-05-10 04:56:37,2023-05-10 04:56:37,-62,3,(not associated),45.24844,28.013239,
DA:88:62:E1:F4:5E,2023-05-10 04:57:13,2023-05-10 04:57:13,-76,1,(not associated),45.24844,28.013239,
C2:45:F9:78:E3:D0,2023-05-10 04:57:13,2023-05-10 04:57:13,-76,2,(not associated),45.24844,28.013239,
72:5A:B0:53:EF:3C,2023-05-10 03:34:28,2023-05-10 04:57:42,0,0,82:EB:B6:23:D3:B5,0,0,
04:CF:8C:43:DC:58,2023-05-10 03:49:26,2023-05-10 04:58:30,0,0,AC:22:05:DB:62:73,0,0,
48:2C:A0:C5:58:FE,2023-05-10 04:58:29,2023-05-10 04:58:29,-81,2,(not associated),45.24844,28.013239,realme 35
5E:F0:12:3D:E2:01,2023-05-10 04:23:38,2023-05-10 04:59:03,0,0,AC:22:05:DB:62:50,0,0,
B2:CD:3D:93:BE:ED,2023-05-10 05:00:34,2023-05-10 05:00:35,-69,5,(not associated),45.24844,28.013239,
5A:1E:98:6F:C5:35,2023-05-10 05:00:51,2023-05-10 05:00:51,-82,1,(not associated),45.24844,28.013239,
