
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
2E:44:60:15:9E:5D,2023-04-22 21:00:58,2023-04-22 21:00:59,-58,5,(not associated),47.510764,22.469132,
7A:32:BB:50:97:49,2023-04-22 21:00:59,2023-04-22 21:00:59,-69,2,(not associated),47.510764,22.469132,
8A:6C:1A:F9:79:BC,2023-04-22 21:01:00,2023-04-22 21:01:00,-70,2,(not associated),47.510764,22.469132,
AE:0A:82:D3:F5:7B,2023-04-22 21:01:00,2023-04-22 21:01:00,-73,2,(not associated),47.510764,22.469132,
F8:5B:6E:E9:C2:A9,2023-04-22 21:01:31,2023-04-22 21:01:34,-74,1,(not associated),47.510764,22.469132,
86:6C:41:6D:00:54,2023-04-22 21:01:36,2023-04-22 21:01:36,-84,1,(not associated),47.510764,22.469132,
EC:2B:EB:91:2A:FF,2023-04-22 21:01:39,2023-04-22 21:01:39,0,0,90:F8:91:23:23:E5,0,0,
7E:AC:C9:54:70:F6,2023-04-22 21:01:55,2023-04-22 21:01:55,-52,1,(not associated),47.510764,22.469132,
62:1C:BF:8D:01:0D,2023-04-22 21:02:05,2023-04-22 21:02:05,-70,3,(not associated),47.510764,22.469132,
4E:29:D0:C1:57:87,2023-04-22 21:02:20,2023-04-22 21:02:20,-82,1,(not associated),47.510764,22.469132,
AA:CE:45:E1:5E:18,2023-04-22 21:02:20,2023-04-22 21:02:20,-77,1,(not associated),47.510764,22.469132,
DA:8A:7D:24:38:F6,2023-04-22 21:02:21,2023-04-22 21:02:21,-80,2,(not associated),47.510764,22.469132,
F2:A1:2D:55:50:38,2023-04-22 21:02:23,2023-04-22 21:02:23,-79,2,(not associated),47.510764,22.469132,
8E:B5:2F:54:2B:F9,2023-04-22 21:02:27,2023-04-22 21:02:27,-71,3,(not associated),47.510764,22.469132,
F6:06:58:A4:3C:C5,2023-04-22 21:02:32,2023-04-22 21:02:32,-69,4,(not associated),47.510764,22.469132,
98:29:A6:95:1E:A1,2023-04-22 21:02:49,2023-04-22 21:02:49,0,0,BC:C0:0F:63:E7:88,0,0,
66:E8:49:DF:64:A6,2023-04-22 21:03:13,2023-04-22 21:03:13,-78,4,(not associated),47.510764,22.469132,DIRECT-epson-setup-0000021b-0,52:57:9C:3A:FD:FE
DA:A1:19:3D:90:09,2023-04-22 21:02:54,2023-04-22 21:03:26,-58,1,(not associated),47.510764,22.469132,
5A:60:EA:C0:06:D0,2023-04-22 21:03:43,2023-04-22 21:03:43,-72,2,(not associated),47.510764,22.469132,
2E:CD:2F:9A:1E:11,2023-04-22 21:03:43,2023-04-22 21:03:43,-74,2,(not associated),47.510764,22.469132,
D2:AF:55:68:78:87,2023-04-22 21:03:52,2023-04-22 21:03:52,-82,1,(not associated),47.510764,22.469132,
8E:49:81:E3:16:73,2023-04-22 21:03:54,2023-04-22 21:03:54,-76,1,(not associated),47.510764,22.469132,
02:E1:3C:24:16:CD,2023-04-22 21:04:06,2023-04-22 21:04:12,0,0,BC:30:7D:15:39:63,0,0,
3E:32:B0:4E:45:26,2023-04-22 21:04:47,2023-04-22 21:04:47,0,0,(not associated),0,0,
02:24:A7:73:C7:6D,2023-04-22 21:04:59,2023-04-22 21:04:59,-84,2,(not associated),47.510764,22.469132,CommunityFibre10Gb_981D2
52:98:39:FE:F1:B8,2023-04-22 21:05:18,2023-04-22 21:05:18,-78,1,(not associated),47.510764,22.469132,
CA:0B:CF:84:36:47,2023-04-22 21:05:31,2023-04-22 21:05:31,-74,1,(not associated),47.510764,22.469132,
46:D5:52:18:2F:93,2023-04-22 21:03:25,2023-04-22 21:06:19,-73,7,(not associated),47.510764,22.469132,
56:7F:47:12:27:8B,2023-04-22 21:06:06,2023-04-22 21:06:06,-78,2,(not associated),47.510764,22.469132,
CE:45:69:E1:1D:29,2023-04-22 21:06:29,2023-04-22 21:06:29,0,0,(not associated),0,0,
D6:CA:79:30:F1:39,2023-04-22 21:06:39,2023-04-22 21:06:39,-79,2,(not associated),47.510764,22.469132,
AE:F4:BB:BC:3F:33,2023-04-22 21:06:45,2023-04-22 21:06:45,0,0,(not associated),0,0,
DA:A1:19:65:FF:EB,2023-04-22 21:06:53,2023-04-22 21:06:53,-84,1,(not associated),47.510764,22.469132,
5E:7A:63:D7:B8:DF,2023-04-22 21:07:03,2023-04-22 21:07:03,-80,2,(not associated),47.510764,22.469132,
00:0C:E7:81:0A:C0,2023-04-22 21:07:05,2023-04-22 21:07:05,-78,4,(not associated),47.510764,22.469132,1a1a1cdb,aa21g3d2,aa21f3d2
4E:9E:50:75:28:FB,2023-04-22 21:07:11,2023-04-22 21:07:11,-73,2,(not associated),47.510764,22.469132,
3A:84:8B:61:3A:35,2023-04-22 21:07:33,2023-04-22 21:07:33,-73,2,(not associated),47.510764,22.469132,
