BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
EA:94:F6:D4:40:7D,2023-05-09 01:05:44,2023-05-09 01:05:44,2,10,WPA2, ,PSK,-84, ,0,0.0.0.0,12,dd-wrt24gjos, ,44.278448,26.049546
DC:A4:CA:EE:B5:D8,2023-05-09 01:45:04,2023-05-09 01:45:04,11,10,WPA2, ,PSK,-86, ,0,0.0.0.0,20,Dox Wifi restricted , ,44.278448,26.049546
42:37:86:1F:1A:48,2023-05-09 01:51:36,2023-05-09 01:51:36,2,10,WPA2, ,PSK,-84, ,0,0.0.0.0,15,NETGEAR24-Guest, ,44.278448,26.049546
CC:2D:E0:2F:8A:1D,2023-05-09 01:56:26,2023-05-09 01:56:26,1,,, ,,, ,0,0.0.0.0,17,CC2DE02F8A1D, ,0,0
72:5A:B0:54:8B:48,2023-05-09 01:04:02,2023-05-09 02:02:26,3,10,WPA2, ,PSK,-80, ,0,0.0.0.0,12,TP-Link_8B50, ,44.278448,26.049546
64:5E:10:0B:DE:80,2023-05-09 01:22:57,2023-05-09 02:02:21,8,10,WPA2, ,PSK,-84, ,0,0.0.0.0,16,Orange-x9tS-2.4G, ,44.278448,26.049546
72:5A:B0:54:8B:49,2023-05-09 01:04:45,2023-05-09 02:05:18,3,10,WPA2, ,PSK,-78, ,0,0.0.0.0,17,725AB0548B49, ,44.278448,26.049546
CA:C9:E3:27:AE:12,2023-05-09 01:37:59,2023-05-09 02:05:56,2,10,WPA2, ,PSK,-84, ,0,0.0.0.0,17,CAC9E327AE12, ,44.278448,26.049546
D0:21:F9:24:BC:B9,2023-05-09 01:11:23,2023-05-09 02:14:05,11,10,WPA2, ,PSK,-84, ,0,0.0.0.0,13,notariat_nica, ,44.278448,26.049546
D6:21:F9:24:BC:B9,2023-05-09 01:30:45,2023-05-09 02:14:05,11,10,WPA2, ,PSK,-82, ,0,0.0.0.0,11,Nica-Guests, ,44.278448,26.049546
00:62:EC:2D:F0:90,2023-05-09 01:59:45,2023-05-09 02:20:26,1,10,WPA2, ,PSK,-80, ,0,0.0.0.0,9,Art Klett, ,44.278448,26.049546
C0:C9:E3:53:C8:FE,2023-05-09 01:21:41,2023-05-09 02:20:48,4,10,WPA2, ,PSK,-82, ,0,0.0.0.0,5,Alex3, ,44.278448,26.049546
4C:F9:5D:0A:48:74,2023-05-09 01:08:26,2023-05-09 02:23:40,13,10,WPA2, ,PSK,-84, ,0,0.0.0.0,4,Boom, ,44.278448,26.049546
70:0B:01:4E:BC:5B,2023-05-09 01:03:24,2023-05-09 02:25:27,1,10,WPA2, ,PSK,-80, ,7,0.0.0.0,14,Telekom-pgMPqk, ,44.278448,26.049546
7A:48:B8:12:0A:F5,2023-05-09 01:22:19,2023-05-09 02:25:22,3,10,WPA2, ,PSK,-84, ,0,0.0.0.0,17,7A48B8120AF5, ,44.278448,26.049546
2C:95:7F:55:29:C7,2023-05-09 01:13:54,2023-05-09 02:25:33,11,0,, ,,0, ,0,0.0.0.0,17,2C957F5529C7, ,0,0
00:62:EC:2D:F0:91,2023-05-09 01:26:42,2023-05-09 02:27:14,1,10,WPA2, ,PSK,-82, ,0,0.0.0.0,18,Art Klett - Guests, ,44.278448,26.049546
AC:84:C6:55:A4:A1,2023-05-09 01:11:45,2023-05-09 02:28:25,11,10,WPA2, ,PSK,-82, ,0,0.0.0.0,17,AC84C655A4A1, ,44.278448,26.049546
E8:48:B8:12:0A:F3,2023-05-09 01:14:47,2023-05-09 02:28:13,3,10,WPA2, ,PSK,-80, ,0,0.0.0.0,21,SC. BLACKWATER FORCE , ,44.278448,26.049546
6A:A7:B9:22:0B:2D,2023-05-09 01:29:18,2023-05-09 02:29:18,9,10,WPA2, ,PSK,-80, ,0,0.0.0.0,17,6AA7B9220B2D, ,44.278448,26.049546
80:8C:97:31:7E:18,2023-05-09 01:06:49,2023-05-09 02:34:13,2,10,WPA2, ,PSK,-80, ,0,0.0.0.0,14,Apartament 8-1, ,44.278448,26.049546
C0:70:09:42:36:94,2023-05-09 01:29:34,2023-05-09 02:34:29,1,10,WPA2, ,PSK,-82, ,1,0.0.0.0,11,HUAWEI-d6w8, ,44.278448,26.049546
D0:21:F9:F5:17:C1,2023-05-09 01:05:23,2023-05-09 02:35:49,1,110,WPA2, ,PSK,-74, ,0,0.0.0.0,8,MOB_auto, ,44.278448,26.049546
60:32:B1:12:A4:84,2023-05-09 01:38:31,2023-05-09 02:37:37,1,10,WPA2, ,PSK,-86, ,0,0.0.0.0,15,Hera Medical OM, ,44.278448,26.049546
98:DE:D0:F0:83:DC,2023-05-09 02:41:06,2023-05-09 02:41:06,3,10,WPA2, ,PSK,-82, ,0,0.0.0.0,5,peru5, ,44.278448,26.049546
DA:21:F9:F5:17:C1,2023-05-09 01:27:25,2023-05-09 02:41:55,1,60,WPA2, ,PSK,-87, ,0,0.0.0.0,17,DA21F9F517C1, ,44.278448,26.049546
D6:21:F9:F5:13:05,2023-05-09 01:13:26,2023-05-09 02:43:04,1,10,WPA2, ,PSK,-80, ,0,0.0.0.0,10,MOB_auto_s, ,44.278448,26.049546
72:A7:41:9C:6B:46,2023-05-09 01:17:34,2023-05-09 02:44:15,11,10,WPA2, ,PSK,-82, ,0,0.0.0.0,10,MOB_auto_s, ,44.278448,26.049546
6A:A7:B9:22:0B:2C,2023-05-09 01:06:44,2023-05-09 02:46:29,9,10,WPA2, ,PSK,-82, ,0,0.0.0.0,12,TP-Link_0B2C, ,44.278448,26.049546
