
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
00:0C:E7:C8:8E:DF,2023-05-09 01:02:15,2023-05-09 01:02:15,0,0,(not associated),0,0,
6C:5A:B0:54:8B:50,2023-05-09 01:07:37,2023-05-09 01:07:37,0,0,72:5A:B0:54:8B:48,0,0,
50:49:B0:50:15:17,2023-05-09 01:07:48,2023-05-09 01:08:05,-58,9,(not associated),44.278448,26.049546,
00:0C:E7:75:C1:AD,2023-05-09 01:11:34,2023-05-09 01:11:34,0,0,(not associated),0,0,
DA:F4:7F:7C:61:66,2023-05-09 01:13:02,2023-05-09 01:13:02,0,0,E4:C3:2A:00:E7:B1,0,0,
6E:5D:A3:26:53:8F,2023-05-09 01:17:50,2023-05-09 01:17:50,0,0,(not associated),0,0,
70:EE:50:55:F1:0A,2023-05-09 01:18:23,2023-05-09 01:18:23,-82,1,(not associated),44.278448,26.049546,
54:2A:1B:64:BB:C6,2023-05-09 01:09:25,2023-05-09 01:20:10,0,0,72:5A:B0:54:8B:49,0,0,
00:0C:E7:E8:6A:94,2023-05-09 01:21:09,2023-05-09 01:21:09,-84,2,(not associated),44.278448,26.049546,
58:03:FB:CC:F2:8C,2023-05-09 01:22:19,2023-05-09 01:22:19,0,0,7A:48:B8:12:0A:F5,0,0,
D4:BE:D9:97:56:C1,2023-05-09 01:22:57,2023-05-09 01:22:57,0,0,F4:F2:6D:BF:D0:31,0,0,
E6:B8:AB:83:E6:51,2023-05-09 01:23:45,2023-05-09 01:23:45,0,0,(not associated),0,0,
00:0C:E7:B6:3F:0B,2023-05-09 01:24:06,2023-05-09 01:24:06,-84,1,(not associated),44.278448,26.049546,
02:78:B5:EA:11:10,2023-05-09 01:25:37,2023-05-09 01:25:37,0,0,(not associated),0,0,
EE:D2:37:DA:31:8A,2023-05-09 01:26:21,2023-05-09 01:26:21,-80,1,(not associated),44.278448,26.049546,
FE:48:2F:C4:F6:A9,2023-05-09 01:26:21,2023-05-09 01:26:21,-78,1,(not associated),44.278448,26.049546,
F6:5B:35:FC:B8:F3,2023-05-09 01:27:09,2023-05-09 01:27:09,0,0,(not associated),0,0,
96:F3:AC:A8:65:95,2023-05-09 01:29:50,2023-05-09 01:29:50,0,0,72:5A:B0:54:8B:48,0,0,
