BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
E4:C3:2A:F1:1E:A2,2023-05-10 03:16:29,2023-05-10 04:07:07,8,0,, ,,0, ,0,0.0.0.0,17,E4C32AF11EA2, ,0,0
E4:C3:2A:F1:1C:5A,2023-05-10 03:09:24,2023-05-10 04:11:55,9,0,, ,,0, ,0,0.0.0.0,17,E4C32AF11C5A, ,0,0
08:55:31:52:2E:A0,2023-05-10 03:39:22,2023-05-10 04:18:06,1,60,WPA2, ,PSK,-95, ,0,0.0.0.0,8,Guest_3*, ,45.214572,25.324131
00:25:D3:6A:1E:05,2023-05-10 04:18:14,2023-05-10 04:18:14,6,10,WPA2, ,PSK,-78, ,0,0.0.0.0,17,0025D36A1E05, ,45.214572,25.324131
10:C3:7B:43:37:A8,2023-05-10 03:08:44,2023-05-10 04:19:43,6,60,, ,,-91, ,4,0.0.0.0,17,10C37B4337A8, ,45.214572,25.324131
AC:22:05:F1:2E:CF,2023-05-10 03:05:28,2023-05-10 04:44:51,6,10,WPA2, ,PSK,-78, ,0,0.0.0.0,21,Restaurant Vanatoresc, ,45.214572,25.324131
08:55:31:52:79:F5,2023-05-10 04:30:55,2023-05-10 04:52:03,3,60,WPA2, ,PSK,-94, ,0,0.0.0.0,7,Guest_3, ,45.214572,25.324131
AC:22:05:5D:04:A3,2023-05-10 03:01:20,2023-05-10 04:52:49,1,10,WPA2, ,PSK,-78, ,0,0.0.0.0,10,UPC6941AC5, ,45.214572,25.324131
E4:C3:2A:F1:1F:0A,2023-05-10 03:06:19,2023-05-10 04:53:30,9,0,, ,,0, ,0,0.0.0.0,17,E4C32AF11F0A, ,0,0
FA:8F:CA:5B:73:C8,2023-05-10 03:06:22,2023-05-10 04:56:25,13,10,Open, ,,-76, ,0,0.0.0.0,17,FA8FCA5B73C8, ,45.214572,25.324131
74:5A:AA:47:76:D8,2023-05-10 03:05:06,2023-05-10 04:57:18,2,10,WPA2, ,PSK,-78, ,0,0.0.0.0,9,DIGI-DxAW, ,45.214572,25.324131
44:D9:E7:0B:0D:00,2023-05-10 03:01:09,2023-05-10 05:00:26,6,10,WPA2, ,PSK,-62, ,0,0.0.0.0,12,Marami_Guest, ,45.214572,25.324131
56:D9:E7:47:D5:CD,2023-05-10 03:01:29,2023-05-10 05:00:35,11,60,WPA2, ,PSK,-80, ,0,0.0.0.0,17,56D9E747D5CD, ,45.2145719999998,25.3241310000001
90:5C:44:AF:F2:CD,2023-05-10 03:02:46,2023-05-10 05:00:26,1,10,WPA2, ,PSK,-78, ,0,0.0.0.0,10,UPCC94F27C, ,45.214572,25.324131
56:D9:E7:0B:05:2F,2023-05-10 03:00:57,2023-05-10 05:00:50,1,60,WPA2, ,PSK,-80, ,0,0.0.0.0,17,56D9E70B052F, ,45.2145720000001,25.3241310000004
F2:9F:C2:81:47:85,2023-05-10 03:00:57,2023-05-10 05:00:50,1,60,WPA2, ,PSK,-61, ,0,0.0.0.0,17,F29FC2814785, ,45.2145720000001,25.3241310000005
02:9F:C2:81:47:85,2023-05-10 03:00:57,2023-05-10 05:00:50,1,60,WPA2, ,PSK,-56, ,0,0.0.0.0,17,029FC2814785, ,45.2145720000001,25.3241310000003
46:D9:E7:0B:0D:00,2023-05-10 03:00:58,2023-05-10 05:00:43,6,60,WPA2, ,PSK,-81, ,0,0.0.0.0,17,46D9E70B0D00, ,45.2145720000001,25.3241310000005
46:D9:E7:0B:05:2F,2023-05-10 03:00:58,2023-05-10 05:00:42,1,60,WPA2, ,PSK,-80, ,0,0.0.0.0,17,46D9E70B052F, ,45.2145720000001,25.3241310000004
56:D9:E7:0B:0D:00,2023-05-10 03:00:59,2023-05-10 05:00:56,6,60,WPA2, ,PSK,-82, ,0,0.0.0.0,17,56D9E70B0D00, ,45.2145720000002,25.3241310000005
74:AC:B9:D3:67:EE,2023-05-10 03:00:59,2023-05-10 05:00:37,6,10,WPA2, ,PSK,-74, ,0,0.0.0.0,19,VILELE LUCIA SINAIA, ,45.214572,25.324131
74:AC:B9:D3:67:EF,2023-05-10 03:01:00,2023-05-10 05:00:43,44,60,WEP, ,,-82, ,0,0.0.0.0,17,74ACB9D367EF, ,45.2145719999998,25.324131
76:AC:B9:93:67:EF,2023-05-10 03:01:00,2023-05-10 05:00:43,44,60,WPA2, ,PSK,-81, ,0,0.0.0.0,19,VILELE LUCIA SINAIA, ,45.2145719999998,25.324131
C0:4A:00:2C:E7:D7,2023-05-10 03:01:02,2023-05-10 05:00:46,13,60,WPA2, ,PSK,-90, ,0,0.0.0.0,10,Trojan.exe, ,45.214572,25.324131
44:D9:E7:0B:05:2F,2023-05-10 03:01:04,2023-05-10 05:00:45,1,10,WPA2, ,PSK,-72, ,0,0.0.0.0,12,Marami_Guest, ,45.2145719999999,25.324131
F0:9F:C2:81:47:85,2023-05-10 03:01:04,2023-05-10 05:00:42,1,10,WPA2, ,PSK,-46, ,1,0.0.0.0,12,Marami_Guest, ,45.2145719999998,25.324131
46:D9:E7:47:D5:CD,2023-05-10 03:01:07,2023-05-10 05:00:51,11,60,WPA2, ,PSK,-82, ,0,0.0.0.0,17,46D9E747D5CD, ,45.2145719999998,25.324131
44:D9:E7:47:D5:CD,2023-05-10 03:01:12,2023-05-10 05:00:51,11,10,WPA2, ,PSK,-74, ,0,0.0.0.0,12,Marami_Guest, ,45.214572,25.324131
30:B5:C2:6E:91:E5,2023-05-10 03:01:13,2023-05-10 05:00:51,11,60,WPA2, ,PSK,-83, ,0,0.0.0.0,10,Trojan.exe, ,45.2145719999998,25.3241310000001
