
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
E4:C3:2A:F1:1E:A0,2023-05-10 03:09:24,2023-05-10 03:09:24,0,0,E4:C3:2A:F1:1C:5A,0,0,
2E:7D:C8:BE:27:04,2023-05-10 03:20:04,2023-05-10 03:20:04,0,0,(not associated),0,0,
5E:97:FE:EB:C5:E5,2023-05-10 03:24:49,2023-05-10 03:24:50,0,0,(not associated),0,0,
0E:2E:FB:D0:98:68,2023-05-10 03:31:48,2023-05-10 03:31:48,-60,4,(not associated),45.214572,25.324131,
74:5A:AA:47:76:D1,2023-05-10 03:18:22,2023-05-10 03:36:17,0,0,74:5A:AA:47:76:D8,0,0,
E6:A0:D6:24:31:D2,2023-05-10 03:44:05,2023-05-10 03:44:05,-74,1,(not associated),45.214572,25.324131,
0E:2E:FB:22:FA:0E,2023-05-10 03:46:56,2023-05-10 03:46:57,-62,3,(not associated),45.214572,25.324131,
74:AC:B9:D3:64:42,2023-05-10 03:28:30,2023-05-10 03:55:28,0,0,76:AC:B9:93:67:EF,0,0,
72:C9:60:40:A5:12,2023-05-10 03:58:57,2023-05-10 03:58:57,0,0,(not associated),0,0,
0E:2E:FB:0B:C4:F3,2023-05-10 04:02:05,2023-05-10 04:02:05,-60,1,(not associated),45.214572,25.324131,
50:C7:BF:BD:87:63,2023-05-10 03:16:29,2023-05-10 04:07:07,-76,3,E4:C3:2A:F1:1E:A2,45.214572,25.324131,KAN
B0:4E:26:B4:79:9B,2023-05-10 03:09:24,2023-05-10 04:11:55,-72,0,E4:C3:2A:F1:1C:5A,45.214572,25.324131,
E6:32:0C:FB:18:79,2023-05-10 04:19:56,2023-05-10 04:19:57,-52,11,(not associated),45.214572,25.324131,DIGI-YPG5,Net_Birou,CasaBucatarului
6A:1D:C6:24:D3:69,2023-05-10 04:23:26,2023-05-10 04:23:26,0,0,(not associated),0,0,
70:03:9F:75:D9:9D,2023-05-10 04:26:32,2023-05-10 04:26:32,0,0,30:B5:C2:6E:91:E5,0,0,
