BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
8E:4D:B7:D1:14:68,2023-05-10 04:18:54,2023-05-10 04:19:02,6,10,WPA2, ,PSK,-60, ,0,0.0.0.0,16,HUAWEI nova 9 SE, ,47.082503,27.401816
34:6A:C2:DE:01:F8,2023-05-10 04:18:55,2023-05-10 04:18:55,11,10,WPA2, ,PSK,-80, ,0,0.0.0.0,9,DIGI-G42P, ,47.082503,27.401816
8A:5A:85:A5:CA:49,2023-05-10 04:19:36,2023-05-10 04:19:42,157,60,WPA2, ,PSK,-68, ,0,0.0.0.0,16,DIRECT-BMW 04043, ,47.082503,27.401816
8A:5A:85:B5:CA:49,2023-05-10 04:19:40,2023-05-10 04:19:40,11,60,WPA2, ,PSK,-82, ,0,0.0.0.0,16,DIRECT-BMW 04043, ,47.082503,27.401816
82:31:92:DE:4E:B5,2023-05-10 04:21:14,2023-05-10 04:21:14,9,10,WPA2, ,PSK,-74, ,0,0.0.0.0,17,823192DE4EB5, ,47.082503,27.401816
66:38:55:70:42:D7,2023-05-10 04:21:01,2023-05-10 04:21:51,6,10,WPA3-TRANSITION, ,,-46, ,0,0.0.0.0,17,iPhone - Cristian, ,47.082503,27.401816
48:7A:FF:02:2B:AA,2023-05-10 04:21:55,2023-05-10 04:21:58,149,60,WPA2, ,PSK,-72, ,0,0.0.0.0,12,Hyundai_okgB, ,47.082503,27.401816
38:83:9A:8C:9A:A3,2023-05-10 04:20:10,2023-05-10 04:22:29,6,10,WPA2, ,PSK,-30, ,0,0.0.0.0,14,70mai_d06_9aa3, ,47.082503,27.401816
20:57:9E:3C:98:D6,2023-05-10 04:21:08,2023-05-10 04:23:28,6,10,WPA2, ,PSK,-38, ,0,0.0.0.0,14,70mai_d08_98d6, ,47.082503,27.401816
44:27:F3:A5:57:64,2023-05-10 04:21:20,2023-05-10 04:23:39,11,10,WPA2, ,PSK,-46, ,0,0.0.0.0,20,70mai_Pro Plus+_5764, ,47.082503,27.401816
52:6A:70:2C:4F:BD,2023-05-10 04:23:15,2023-05-10 04:23:28,1,10,WPA2, ,PSK,-82, ,0,0.0.0.0,23,Vlad's Galaxy S21 FE 5G, ,47.082503,27.401816
48:7A:FF:4E:AE:AC,2023-05-10 04:24:00,2023-05-10 04:24:00,161,60,WPA2, ,PSK,-62, ,0,0.0.0.0,8,Kia_OdtM, ,47.082503,27.401816
50:0F:F5:B7:57:F5,2023-05-10 04:19:31,2023-05-10 04:24:38,1,10,WPA2, ,PSK,-74, ,0,0.0.0.0,15,DIGI_71af10_EXT, ,47.082503,27.401816
34:75:63:F6:47:9E,2023-05-10 04:23:01,2023-05-10 04:24:17,10,10,WPA2, ,PSK,-46, ,0,0.0.0.0,17,NEXTBASE 300W 79E, ,47.082503,27.401816
B0:D8:88:21:B0:09,2023-05-10 04:23:28,2023-05-10 04:25:18,6,10,WPA3-TRANSITION, ,,-40, ,34,0.0.0.0,25,Smartphone_connect_21b009, ,47.082503,27.401816
2E:F3:8D:00:C2:48,2023-05-10 04:24:22,2023-05-10 04:25:43,6,10,WPA2, ,PSK,-48, ,0,0.0.0.0,14,Galaxy A131B1A, ,47.082503,27.401816
12:E8:A7:3D:9B:1B,2023-05-10 04:25:58,2023-05-10 04:25:58,149,60,WPA2, ,PSK,-73, ,0,0.0.0.0,17,DIRECT-MBUX 14721, ,47.082503,27.401816
62:E6:F0:97:0B:B4,2023-05-10 04:26:25,2023-05-10 04:26:36,157,60,WPA2, ,PSK,-64, ,0,0.0.0.0,17,DIRECT-MBUX 88672, ,47.082503,27.401816
88:5A:85:B7:47:6C,2023-05-10 04:26:36,2023-05-10 04:26:36,157,60,WPA2, ,PSK,-72, ,0,0.0.0.0,17,885A85B7476C, ,47.082503,27.401816
A6:04:50:59:96:E5,2023-05-10 04:27:12,2023-05-10 04:27:15,40,60,WPA2, ,PSK,-76, ,0,0.0.0.0,10,My VW 0071, ,47.082503,27.401816
00:54:AF:6E:33:4C,2023-05-10 04:27:46,2023-05-10 04:28:26,1,10,WPA2, ,PSK,-46, ,0,0.0.0.0,11,Hotspot334C, ,47.082503,27.401816
B2:00:73:E9:23:F0,2023-05-10 04:29:17,2023-05-10 04:29:30,157,60,WPA2, ,PSK,-59, ,0,0.0.0.0,17,DIRECT-MBUX 26459, ,47.082503,27.401816
B0:00:73:7D:46:97,2023-05-10 04:29:27,2023-05-10 04:29:28,149,60,WPA2, ,PSK,-66, ,1,0.0.0.0,17,B000737D4697, ,47.082503,27.401816
0C:CF:89:97:2F:75,2023-05-10 04:29:50,2023-05-10 04:30:00,1,10,WPA2, ,PSK,-38, ,0,0.0.0.0,14,70mai_d06_2f75, ,47.082503,27.401816
CC:C0:79:5E:20:C9,2023-05-10 04:29:06,2023-05-10 04:30:40,149,60,WPA2, ,PSK,-51, ,0,0.0.0.0,16,MB Hotspot 25043, ,47.082503,27.401816
2A:A1:83:E1:47:89,2023-05-10 04:30:22,2023-05-10 04:30:22,1,10,WPA2, ,PSK,-74, ,0,0.0.0.0,16,MB Hotspot 87896, ,47.082503,27.401816
48:D8:90:E0:7F:55,2023-05-10 04:29:23,2023-05-10 04:30:55,6,10,WPA2, ,PSK,-44, ,0,0.0.0.0,15,vYou_DDPai_MINI, ,47.082503,27.401816
00:54:AF:37:CD:A9,2023-05-10 04:31:53,2023-05-10 04:31:53,3,10,WPA2, ,PSK,-48, ,0,0.0.0.0,11,HotspotCDA9, ,47.082503,27.401816
00:1E:42:19:FE:6F,2023-05-10 04:32:15,2023-05-10 04:32:20,6,10,Open, ,,-52, ,0,0.0.0.0,12,Orange Wi-Fi, ,47.082503,27.401816
48:7A:FF:5B:A5:4C,2023-05-10 04:32:22,2023-05-10 04:32:25,149,60,WPA2, ,PSK,-76, ,0,0.0.0.0,12,Hyundai_yqWJ, ,47.082503,27.401816
DA:10:68:A3:22:D1,2023-05-10 04:33:08,2023-05-10 04:33:08,149,60,WPA2, ,PSK,-71, ,0,0.0.0.0,12,My SEAT 9644, ,47.082503,27.401816
00:1E:42:19:76:ED,2023-05-10 04:34:29,2023-05-10 04:34:29,1,10,Open, ,,-36, ,0,0.0.0.0,12,Orange Wi-Fi, ,47.082503,27.401816
02:1E:42:19:76:ED,2023-05-10 04:34:29,2023-05-10 04:34:29,1,10,WPA2, ,PSK,-38, ,0,0.0.0.0,17,021E421976ED, ,47.082503,27.401816
E8:6E:44:09:D6:B8,2023-05-10 04:34:46,2023-05-10 04:34:46,8,,, ,,, ,0,0.0.0.0,17,E86E4409D6B8, ,0,0
5C:C5:63:0D:9A:43,2023-05-10 04:35:39,2023-05-10 04:35:45,6,10,WPA2, ,PSK,-38, ,0,0.0.0.0,14,70mai_d08_9a43, ,47.082503,27.401816
58:16:D7:CB:55:EA,2023-05-10 04:36:28,2023-05-10 04:37:48,6,10,WPA2, ,PSK,-36, ,0,0.0.0.0,9,MYCAR4453, ,47.082503,27.401816
2A:A5:C2:8C:1D:B5,2023-05-10 04:37:27,2023-05-10 04:37:59,2,10,Open, ,,-54, ,0,0.0.0.0,4,Alex, ,47.082503,27.401816
00:1C:D7:56:CF:FA,2023-05-10 04:37:37,2023-05-10 04:37:48,1,10,WPA2, ,PSK,-62, ,0,0.0.0.0,9,Audi32453, ,47.082503,27.401816
