
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
56:21:3D:C1:33:E0,2023-05-10 04:18:48,2023-05-10 04:18:48,-89,1,Unknown,Unknown,47.082503,27.401816
CD:E1:D0:96:7A:FF,2023-05-10 04:18:49,2023-05-10 04:18:49,-86,1,Unknown,Unknown,47.082503,27.401816
33:A7:71:12:F2:88,2023-05-10 04:18:51,2023-05-10 04:18:59,0,2,Unknown,Unknown,47.082503,27.401816
53:B2:62:03:2F:D8,2023-05-10 04:18:53,2023-05-10 04:19:07,-76,7,Unknown,Unknown,47.082503,27.401816
56:21:3D:C1:33:E0,2023-05-10 04:18:54,2023-05-10 04:18:59,0,3,Unknown,Unknown,47.082503,27.401816
33:A7:71:12:F2:88,2023-05-10 04:18:54,2023-05-10 04:18:59,-87,4,Unknown,Unknown,47.082503,27.401816
05:8C:AD:78:72:EB,2023-05-10 04:18:59,2023-05-10 04:19:28,-83,13,Unknown,Unknown,47.082503,27.401816
C2:48:AF:30:6E:2E,2023-05-10 04:19:02,2023-05-10 04:19:26,-86,8,Unknown,Unknown,47.082503,27.401816
05:8C:AD:78:72:EB,2023-05-10 04:19:07,2023-05-10 04:19:18,0,2,Unknown,Unknown,47.082503,27.401816
C2:48:AF:30:6E:2E,2023-05-10 04:19:20,2023-05-10 04:19:20,0,1,Unknown,Unknown,47.082503,27.401816
C4:54:B8:7B:D6:A0,2023-05-10 04:19:20,2023-05-10 04:19:20,0,2,Unknown,Unknown,47.082503,27.401816
C4:54:B8:7B:D6:A0,2023-05-10 04:19:20,2023-05-10 04:19:26,-82,4,Unknown,Unknown,47.082503,27.401816
46:FB:8C:9E:98:22,2023-05-10 04:19:22,2023-05-10 04:19:25,-87,5,Unknown,Unknown,47.082503,27.401816
46:FB:8C:9E:98:22,2023-05-10 04:19:24,2023-05-10 04:19:24,0,1,Unknown,Unknown,47.082503,27.401816
41:42:BC:DC:CC:A3,2023-05-10 04:19:25,2023-05-10 04:19:25,-86,1,Unknown,Unknown,47.082503,27.401816
42:B3:4B:5E:EE:81,2023-05-10 04:19:00,2023-05-10 04:19:46,-76,10,Unknown,Unknown,47.082503,27.401816
42:B3:4B:5E:EE:81,2023-05-10 04:19:41,2023-05-10 04:19:54,0,6,Unknown,Unknown,47.082503,27.401816
66:FB:36:7B:B2:B4,2023-05-10 04:19:44,2023-05-10 04:20:02,0,4,Unknown,Unknown,47.082503,27.401816
66:FB:36:7B:B2:B4,2023-05-10 04:19:45,2023-05-10 04:20:05,-86,15,Unknown,Unknown,47.082503,27.401816
02:75:2E:DA:3B:85,2023-05-10 04:19:49,2023-05-10 04:19:51,0,3,Unknown,Unknown,47.082503,27.401816
FB:4C:82:AA:CC:88,2023-05-10 04:19:49,2023-05-10 04:19:53,-87,2,Unknown,Unknown,47.082503,27.401816
02:75:2E:DA:3B:85,2023-05-10 04:19:49,2023-05-10 04:20:05,-86,7,Unknown,Unknown,47.082503,27.401816
FB:4C:82:AA:CC:88,2023-05-10 04:19:51,2023-05-10 04:19:53,0,2,Unknown,Unknown,47.082503,27.401816
78:02:B7:9C:05:97,2023-05-10 04:20:10,2023-05-10 04:20:10,0,1,Unknown,CK28-0597,47.082503,27.401816
AC:12:2F:DF:57:CC,2023-05-10 04:19:34,2023-05-10 04:20:29,-60,31,Unknown,Unknown,47.082503,27.401816
73:82:F7:8E:87:6F,2023-05-10 04:20:02,2023-05-10 04:20:22,-82,25,Unknown,Unknown,47.082503,27.401816
47:41:5C:60:83:80,2023-05-10 04:20:05,2023-05-10 04:20:32,-85,21,Unknown,Unknown,47.082503,27.401816
3C:E1:D5:D6:1B:1F,2023-05-10 04:20:06,2023-05-10 04:20:20,-81,6,Unknown,Unknown,47.082503,27.401816
EE:77:8A:C0:4F:0E,2023-05-10 04:20:13,2023-05-10 04:20:31,0,2,Unknown,Unknown,47.082503,27.401816
EE:77:8A:C0:4F:0E,2023-05-10 04:20:13,2023-05-10 04:20:19,-73,4,Unknown,Unknown,47.082503,27.401816
AC:12:2F:DF:57:CC,2023-05-10 04:20:13,2023-05-10 04:20:24,0,5,Unknown,Unknown,47.082503,27.401816
73:82:F7:8E:87:6F,2023-05-10 04:20:13,2023-05-10 04:20:26,0,5,Unknown,Unknown,47.082503,27.401816
3C:E1:D5:D6:1B:1F,2023-05-10 04:20:13,2023-05-10 04:20:21,0,5,Unknown,Unknown,47.082503,27.401816
C1:1E:3A:36:F8:69,2023-05-10 04:20:14,2023-05-10 04:20:24,-87,4,Unknown,Unknown,47.082503,27.401816
55:44:B4:F0:8F:E4,2023-05-10 04:20:15,2023-05-10 04:20:20,-86,5,Unknown,Unknown,47.082503,27.401816
11:D9:81:FD:DB:30,2023-05-10 04:20:16,2023-05-10 04:20:18,-86,3,Unknown,Unknown,47.082503,27.401816
49:E1:B1:92:80:E6,2023-05-10 04:20:16,2023-05-10 04:20:16,-87,1,Unknown,Unknown,47.082503,27.401816
F0:49:2C:8A:4C:50,2023-05-10 04:20:17,2023-05-10 04:20:17,-87,1,Unknown,Unknown,47.082503,27.401816
