BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
70:4D:7B:D5:E6:30,2023-05-10 04:10:58,2023-05-10 04:11:41,13,0,, ,,0, ,0,0.0.0.0,17,704D7BD5E630, ,0,0
F8:98:EF:4F:77:F0,2023-05-10 04:15:29,2023-05-10 04:15:40,6,,, ,,, ,0,0.0.0.0,17,F898EF4F77F0, ,0,0
54:67:51:74:82:24,2023-05-10 04:19:31,2023-05-10 04:19:40,44,,, ,,, ,0,0.0.0.0,17,546751748224, ,0,0
BC:C0:0F:63:AF:A0,2023-05-10 03:05:20,2023-05-10 04:22:52,1,10,WPA2, ,PSK,-82, ,0,0.0.0.0,8,Stefania, ,0,0
98:DA:C4:26:05:65,2023-05-10 04:25:04,2023-05-10 04:25:04,5,10,WPA2, ,PSK,-80, ,0,0.0.0.0,7,anacris, ,0,0
62:A4:B7:9B:5F:F1,2023-05-10 03:28:33,2023-05-10 04:32:01,3,10,WPA2, ,PSK,-80, ,0,0.0.0.0,17,62A4B79B5FF1, ,0,0
9C:69:D1:FE:AF:10,2023-05-10 03:17:18,2023-05-10 04:43:59,11,10,WPA2, ,PSK,-84, ,0,0.0.0.0,13,Orange-211220, ,0,0
60:A4:B7:9B:5F:FF,2023-05-10 04:07:17,2023-05-10 04:47:04,3,10,WPA2, ,PSK,-82, ,0,0.0.0.0,12,TP-Link_6000, ,0,0
FC:73:FB:4E:23:3C,2023-05-10 03:03:23,2023-05-10 04:50:34,11,10,WPA2, ,PSK,-76, ,0,0.0.0.0,9,DIGI-9DcC, ,0,0
78:D7:52:26:C5:C8,2023-05-10 03:04:59,2023-05-10 04:54:40,1,10,WPA2, ,PSK,-78, ,3,0.0.0.0,6,Server, ,0,0
48:2C:D0:0A:95:5C,2023-05-10 03:37:15,2023-05-10 04:55:08,5,10,WPA2, ,PSK,-82, ,0,0.0.0.0,9,DIGI-Rg9p, ,0,0
82:7D:3A:7B:EF:05,2023-05-10 03:01:56,2023-05-10 04:56:23,6,10,WPA2, ,PSK,-78, ,0,0.0.0.0,21,IWTAC_GA1801912000719, ,0,0
62:6F:52:17:4D:18,2023-05-10 03:06:33,2023-05-10 04:56:36,1,10,Open, ,,-74, ,0,0.0.0.0,11,Telekom_FON, ,0,0
28:37:37:48:2F:14,2023-05-10 03:10:51,2023-05-10 04:56:58,12,10,WPA2, ,PSK,-82, ,0,0.0.0.0,20,Alex's Wi-Fi Network, ,0,0
AC:F9:70:C0:9F:88,2023-05-10 03:02:40,2023-05-10 05:00:09,11,10,WPA2, ,PSK,-74, ,0,0.0.0.0,9,DIGI-3ahK, ,0,0
C4:6E:1F:AA:50:8D,2023-05-10 03:03:39,2023-05-10 05:00:15,11,10,WPA2, ,PSK,-80, ,0,0.0.0.0,21,TP-LINK_2.4GHz_AA508D, ,0,0
78:F5:FD:A9:09:86,2023-05-10 03:04:16,2023-05-10 05:00:33,1,10,WPA2, ,PSK,-72, ,3,0.0.0.0,13,Clicknet-097D, ,0,0
9C:6F:52:17:4D:1B,2023-05-10 03:08:58,2023-05-10 05:00:33,1,10,WPA2, ,PSK,-74, ,2,0.0.0.0,14,Telekom-688549, ,0,0
04:1E:64:99:CD:57,2023-05-10 03:01:48,2023-05-10 05:01:17,11,10,WPA2, ,PSK,-44, ,0,0.0.0.0,36,Re\514948\505151ea Wi-Fi-ul lui Gelu, ,0,0
A4:99:47:47:7A:46,2023-05-10 03:01:50,2023-05-10 05:01:03,1,10,WPA2, ,PSK,-52, ,43,0.0.0.0,13,Clicknet-7A3D, ,0,0
