BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
F2:30:ED:64:BD:BB,2023-05-10 03:02:50,2023-05-10 03:02:56,6,10,WPA2, ,PSK,-70, ,0,0.0.0.0,13,Galaxy J6973B, ,45.250199,28.019253
8C:25:05:46:FB:72,2023-05-10 03:02:47,2023-05-10 03:03:30,3,10,WPA2, ,PSK,-74, ,1,0.0.0.0,6,Alnika, ,45.250199,28.019253
A4:7D:9F:5C:22:BA,2023-05-10 03:04:11,2023-05-10 03:04:11,7,10,WPA2, ,PSK,-70, ,0,0.0.0.0,21,70mai_A800S_2.4G_22ba, ,45.250199,28.019253
34:20:03:B6:A9:91,2023-05-10 03:07:34,2023-05-10 03:07:45,6,10,WPA2, ,PSK,-62, ,0,0.0.0.0,14,70mai_d06_a991, ,45.250199,28.019253
48:7A:FF:4C:AA:B2,2023-05-10 03:05:17,2023-05-10 03:10:01,149,60,WPA2, ,PSK,-68, ,1,0.0.0.0,8,Kia_M1zU, ,45.250199,28.019253
30:45:96:62:DD:34,2023-05-10 03:07:12,2023-05-10 03:14:46,1,10,WPA2, ,PSK,-42, ,0,0.0.0.0,14,HUAWEI Y6 2018, ,0,90
2C:05:47:65:69:09,2023-05-10 03:15:44,2023-05-10 03:15:44,6,10,WPA2, ,PSK,-72, ,0,0.0.0.0,15,70mai_M300_6909, ,45.250199,28.019253
24:18:C6:BA:27:89,2023-05-10 03:18:50,2023-05-10 03:18:50,6,10,WPA2, ,PSK,-74, ,0,0.0.0.0,18,DDPAI_mola_N3_2789, ,45.250199,28.019253
44:27:F3:2C:DF:4B,2023-05-10 03:05:43,2023-05-10 03:20:52,11,10,WPA2, ,PSK,-44, ,7,0.0.0.0,20,70mai_Pro Plus+_df4b, ,45.250199,28.019253
90:B5:7F:8A:B5:36,2023-05-10 03:21:32,2023-05-10 03:21:43,7,10,WPA2, ,PSK,-60, ,0,0.0.0.0,21,70mai_A800S_2.4G_b536, ,6.46235526861611E-05,89.9999434470674
44:27:F3:34:68:75,2023-05-10 03:24:15,2023-05-10 03:24:18,11,10,WPA2, ,PSK,-78, ,1,0.0.0.0,20,70mai_Pro Plus+_6875, ,45.250199,28.019253
CC:C0:79:4C:52:CB,2023-05-10 03:29:48,2023-05-10 03:29:48,149,60,WPA2, ,PSK,-76, ,0,0.0.0.0,16,MB Hotspot 50000, ,45.250199,28.019253
38:83:9A:90:33:1D,2023-05-10 03:33:10,2023-05-10 03:33:10,6,10,WPA2, ,PSK,-60, ,0,0.0.0.0,14,70mai_d06_331d, ,45.250199,28.019253
04:00:90:B0:7B:9D,2023-05-10 03:39:17,2023-05-10 03:39:17,4,,, ,,, ,0,0.0.0.0,17,040090B07B9D, ,0,0
00:54:AF:B0:E2:5B,2023-05-10 03:40:12,2023-05-10 03:40:15,11,10,WPA2, ,PSK,-68, ,0,0.0.0.0,11,HotspotE25B, ,45.250199,28.019253
2C:05:47:79:D4:15,2023-05-10 03:42:27,2023-05-10 03:42:27,6,10,WPA2, ,PSK,-54, ,0,0.0.0.0,14,70mai_d06_d415, ,45.250199,28.019253
B0:D8:88:1B:A8:13,2023-05-10 03:43:29,2023-05-10 03:44:10,6,10,WPA2, ,PSK,-70, ,1,0.0.0.0,25,Smartphone_connect_1ba813, ,45.250199,28.019253
D4:53:83:9A:04:F7,2023-05-10 03:41:45,2023-05-10 03:46:29,149,60,WPA2, ,PSK,-54, ,0,0.0.0.0,16,MB Hotspot 73838, ,45.250199,28.019253
18:21:95:1F:E6:5B,2023-05-10 03:46:44,2023-05-10 03:46:44,11,10,WPA2, ,PSK,-76, ,0,0.0.0.0,9,AndroidAP, ,45.250199,28.019253
34:75:63:5B:13:F1,2023-05-10 03:47:24,2023-05-10 03:47:46,6,10,WPA2, ,PSK,-58, ,0,0.0.0.0,14,70mai_d06_13f1, ,45.250199,28.019253
48:D8:90:D2:AC:50,2023-05-10 03:49:37,2023-05-10 03:49:37,6,10,WPA2, ,PSK,-72, ,0,0.0.0.0,18,DDPAI_mola_N3_AC50, ,45.250199,28.019253
02:EB:D8:2E:F8:FE,2023-05-10 03:50:07,2023-05-10 03:50:10,10,,, ,,, ,0,0.0.0.0,17,02EBD82EF8FE, ,0,0
28:0F:EB:05:6E:2B,2023-05-10 03:49:41,2023-05-10 03:50:54,153,60,WPA2, ,PSK,-62, ,0,0.0.0.0,21,DACIA_5410           , ,45.250199,28.019253
48:D8:90:D4:33:A0,2023-05-10 03:53:16,2023-05-10 03:53:27,1,10,WPA2, ,PSK,-56, ,0,0.0.0.0,14,70mai_d08_33a0, ,45.250199,28.019253
B8:DE:5E:D2:97:C6,2023-05-10 03:54:26,2023-05-10 03:54:26,3,10,WPA2, ,PSK,-56, ,0,0.0.0.0,14,70mai_d02_97c6, ,5.488835871148E-106,2.55748170330193E-106
42:68:68:2C:34:CB,2023-05-10 03:35:47,2023-05-10 03:56:39,13,10,WPA2, ,PSK,-56, ,0,0.0.0.0,7,Dan GL , ,45.250199,28.019253
00:54:AF:B5:86:03,2023-05-10 03:50:31,2023-05-10 03:57:24,1,10,WPA2, ,PSK,-50, ,0,0.0.0.0,11,Hotspot8603, ,45.250199,28.019253
F8:55:CD:6F:77:52,2023-05-10 04:00:20,2023-05-10 04:00:20,6,10,WPA2, ,PSK,-74, ,0,0.0.0.0,12,Mazda-1cf5ee, ,45.250199,28.019253
72:84:12:20:F6:8C,2023-05-10 04:00:37,2023-05-10 04:00:37,6,10,WPA2, ,PSK,-80, ,0,0.0.0.0,18,Galaxy A34 5G 9067, ,45.250199,28.019253
16:24:9A:FF:A6:1E,2023-05-10 03:58:51,2023-05-10 04:06:31,11,10,WPA2, ,PSK,-80, ,0,0.0.0.0,13,AndroidAP0004, ,0,7.39857008413029E-212
