
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
6A:21:2C:E1:47:E9,2023-05-10 03:03:13,2023-05-10 03:03:18,0,2,Unknown,Unknown,45.250199,28.019253
56:DE:1C:62:0C:A0,2023-05-10 03:07:41,2023-05-10 03:07:41,0,1,Unknown,Unknown,45.250199,28.019253
EC:49:2E:CE:0F:BC,2023-05-10 03:13:20,2023-05-10 03:13:20,0,1,Unknown,Unknown,,28.019253
68:1B:B7:27:89:A9,2023-05-10 03:06:50,2023-05-10 03:15:37,0,11,Unknown,Unknown,45.250199,28.019253
76:E5:4C:8D:10:7F,2023-05-10 03:16:05,2023-05-10 03:16:17,0,16,Unknown,Unknown,45.250199,28.019253
C9:02:E1:43:15:D9,2023-05-10 03:18:01,2023-05-10 03:19:21,0,3,Unknown,Unknown,45.250199,28.019253
65:F6:A1:30:D2:B5,2023-05-10 03:19:15,2023-05-10 03:19:26,0,4,Unknown,Unknown,45.250199,28.019253
4B:51:DE:51:88:A4,2023-05-10 03:18:06,2023-05-10 03:19:43,0,17,Unknown,Unknown,45.250199,28.019253
55:78:A9:AD:F8:BA,2023-05-10 03:24:49,2023-05-10 03:24:50,0,2,Unknown,Unknown,45.250199,28.019253
6B:96:75:F1:30:1A,2023-05-10 03:26:42,2023-05-10 03:26:59,0,2,Unknown,Unknown,45.250199,28.019253
7E:41:EE:78:B0:7E,2023-05-10 03:30:25,2023-05-10 03:30:25,0,1,Unknown,Unknown,45.250199,28.019253
E4:61:38:48:F7:95,2023-05-10 03:32:23,2023-05-10 03:32:23,0,1,Unknown,Unknown,45.250199,28.019253
18:33:80:38:A1:B5,2023-05-10 03:39:04,2023-05-10 03:39:04,0,1,Unknown,Unknown,45.250199,28.019253
57:24:9A:E8:58:7F,2023-05-10 03:40:06,2023-05-10 03:40:06,0,1,Unknown,Unknown,1.68352334406361E-05,89.9999852672627
12:CE:C4:0A:AD:49,2023-05-10 03:40:31,2023-05-10 03:40:35,0,2,Unknown,Unknown,45.250199,28.019253
46:FD:8A:38:F8:D4,2023-05-10 03:40:45,2023-05-10 03:40:45,0,1,Unknown,Unknown,45.250199,28.019253
4D:DE:96:7A:68:36,2023-05-10 03:41:07,2023-05-10 03:41:13,0,2,Unknown,Unknown,45.250199,28.019253
1B:B9:A4:8A:CC:C2,2023-05-10 03:43:27,2023-05-10 03:43:27,0,1,Unknown,Unknown,45.250199,28.019253
D5:E1:52:DC:36:6E,2023-05-10 03:43:20,2023-05-10 03:44:06,0,4,Unknown,Unknown,45.250199,28.019253
CC:C5:74:0E:F6:D1,2023-05-10 03:49:14,2023-05-10 03:49:14,0,1,Unknown,Unknown,0,90
FD:DA:BD:47:19:B5,2023-05-10 03:49:53,2023-05-10 03:49:53,0,1,Unknown,Unknown,45.250199,28.019253
C0:77:B8:20:FA:ED,2023-05-10 03:50:05,2023-05-10 03:50:05,0,1,Unknown,Unknown,45.250199,28.019253
