
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
DA:A1:19:CD:91:11,2023-05-10 03:00:43,2023-05-10 03:00:43,-60,3,(not associated),45.250199,28.019253,
FA:6E:59:6E:33:B9,2023-05-10 03:01:13,2023-05-10 03:01:13,-80,1,(not associated),45.250199,28.019253,
6A:2B:37:83:7D:7D,2023-05-10 03:01:31,2023-05-10 03:01:31,-74,1,(not associated),45.250199,28.019253,
56:8A:DE:30:7B:12,2023-05-10 03:01:53,2023-05-10 03:01:53,0,1,24:28:FD:75:70:ED,0,0,
DA:A4:80:6C:45:87,2023-05-10 03:01:57,2023-05-10 03:01:57,0,3,14:18:2A:37:1E:F9,0,0,
DA:A1:19:88:54:DE,2023-05-10 03:01:59,2023-05-10 03:01:59,0,2,08:78:08:6E:BD:EC,0,0,
F6:7C:11:80:66:FD,2023-05-10 03:02:01,2023-05-10 03:02:01,0,1,24:28:FD:75:70:ED,0,0,
26:47:C8:23:4C:FE,2023-05-10 03:02:04,2023-05-10 03:02:04,-76,2,(not associated),45.250199,28.019253,
42:31:BD:27:45:50,2023-05-10 03:01:45,2023-05-10 03:02:21,-58,4,(not associated),45.250199,28.019253,
0E:88:B0:46:88:86,2023-05-10 03:02:15,2023-05-10 03:02:15,0,1,24:28:FD:75:70:ED,0,0,
B0:72:BF:3F:2E:F0,2023-05-10 03:02:31,2023-05-10 03:02:31,0,3,24:28:FD:75:70:ED,0,0,
D8:07:B6:9C:4F:7A,2023-05-10 03:02:46,2023-05-10 03:02:46,0,16,08:55:31:87:AF:DC,0,0,
46:93:EF:0E:2E:A7,2023-05-10 03:02:58,2023-05-10 03:02:58,0,1,24:28:FD:75:70:ED,0,0,
22:AB:B1:55:08:5F,2023-05-10 03:03:09,2023-05-10 03:03:09,0,2,24:28:FD:75:70:ED,0,0,
6E:6B:60:AB:8D:10,2023-05-10 03:03:36,2023-05-10 03:03:36,-78,3,(not associated),45.250199,28.019253,84788146,gd
1E:08:A4:9D:95:EC,2023-05-10 03:04:00,2023-05-10 03:04:00,-76,1,(not associated),45.250199,28.019253,
DA:B2:4F:77:8C:84,2023-05-10 03:04:30,2023-05-10 03:04:30,-52,1,(not associated),45.250199,28.019253,
26:65:6C:7B:44:1C,2023-05-10 03:04:49,2023-05-10 03:04:49,0,1,24:28:FD:75:70:ED,0,0,
9E:80:9C:1B:33:F1,2023-05-10 03:04:51,2023-05-10 03:04:52,-60,3,(not associated),45.250199,28.019253,
32:B7:51:2C:12:13,2023-05-10 03:04:57,2023-05-10 03:04:57,0,1,24:28:FD:75:70:ED,0,0,
92:2F:F4:AB:FF:29,2023-05-10 03:05:02,2023-05-10 03:05:02,0,1,24:28:FD:75:70:ED,0,0,
6E:4B:C4:2A:A5:6F,2023-05-10 03:05:36,2023-05-10 03:05:36,-67,3,(not associated),45.250199,28.019253,
5A:44:C0:E4:4C:80,2023-05-10 03:05:36,2023-05-10 03:05:36,-81,1,(not associated),45.250199,28.019253,
D2:0D:11:08:2F:6E,2023-05-10 03:05:45,2023-05-10 03:05:46,-74,7,(not associated),45.250199,28.019253,o813A935,navrombac,Navrom Contab,Mavrom Contab
E6:1E:85:C0:CC:75,2023-05-10 03:05:57,2023-05-10 03:05:57,-58,1,(not associated),45.250199,28.019253,
52:18:6D:01:6E:28,2023-05-10 03:06:29,2023-05-10 03:06:29,0,2,24:28:FD:75:70:ED,0,0,
42:61:9A:FE:0C:14,2023-05-10 03:07:18,2023-05-10 03:07:18,-60,2,60:32:B1:40:57:7E,0,90,
3E:09:D8:61:AB:73,2023-05-10 03:07:22,2023-05-10 03:07:22,-68,2,(not associated),45.250199,28.019253,
56:FE:22:B0:0A:9E,2023-05-10 03:07:22,2023-05-10 03:07:22,-72,2,(not associated),45.250199,28.019253,
48:6D:BB:D0:93:80,2023-05-10 03:07:23,2023-05-10 03:07:23,0,0,3C:7C:3F:48:B4:98,0,0,
7A:A1:E3:2E:AB:66,2023-05-10 03:07:26,2023-05-10 03:07:26,0,2,60:32:B1:40:57:7E,0,0,
DA:A1:19:CB:23:D2,2023-05-10 03:07:27,2023-05-10 03:07:27,-74,2,(not associated),45.250199,28.019253,
04:B4:29:F9:B4:A1,2023-05-10 03:07:28,2023-05-10 03:07:28,0,4,24:28:FD:75:70:ED,0,0,
BA:F4:9C:86:D1:5A,2023-05-10 03:07:29,2023-05-10 03:07:29,-78,4,(not associated),45.250199,28.019253,
7E:6C:FB:1C:13:01,2023-05-10 03:07:35,2023-05-10 03:07:35,-56,7,(not associated),45.250199,28.019253,
