BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
7A:8A:20:5A:BA:10,2023-05-10 03:00:52,2023-05-10 03:04:22,1,10,WPA2, ,PSK,-76, ,0,0.0.0.0,13,HEINRIG GUEST, ,43.443634,28.33644
4E:6E:5D:D3:58:61,2023-05-10 03:08:40,2023-05-10 03:08:40,4,10,WPA2, ,PSK,-78, ,1,0.0.0.0,15,HUAWEI nova Y90, ,43.443634,28.33644
00:1C:D7:6B:9D:F2,2023-05-10 03:19:30,2023-05-10 03:20:29,1,10,WPA2, ,PSK,-60, ,0,0.0.0.0,9,Audi40500, ,43.443634,28.33644
FC:EC:DA:62:8A:C9,2023-05-10 03:22:36,2023-05-10 03:24:07,1,0,, ,,0, ,0,0.0.0.0,17,FCECDA628AC9, ,0,0
78:8A:20:5A:BB:03,2023-05-10 03:23:43,2023-05-10 03:24:05,6,10,WPA2, ,PSK,-76, ,0,0.0.0.0,4,HNGB, ,43.443634,28.33644
B4:FB:E4:A4:FB:5D,2023-05-10 03:27:10,2023-05-10 03:27:10,102,60,WPA2, ,PSK,-78, ,0,0.0.0.0,17,B4FBE4A4FB5D, ,43.443634,28.33644
7A:8A:20:5A:BB:03,2023-05-10 03:24:05,2023-05-10 03:32:30,6,10,WPA2, ,PSK,-78, ,0,0.0.0.0,13,HEINRIG GUEST, ,43.443634,28.33644
50:2C:C6:99:5D:FA,2023-05-10 03:33:29,2023-05-10 03:33:51,1,10,WPA2, ,PSK,-76, ,0,0.0.0.0,8,c6995dfa, ,43.443634,28.33644
FE:15:3B:90:EA:9E,2023-05-10 03:07:57,2023-05-10 03:35:12,6,10,WPA2, ,PSK,-74, ,2,0.0.0.0,97,\515048\505051\515048\505453\515048\505554\515049\504848\515048\505451\515048\505548's Galaxy A52, ,43.443634,28.33644
00:54:AF:81:CF:69,2023-05-10 03:34:53,2023-05-10 03:34:53,1,10,WPA2, ,PSK,-82, ,0,0.0.0.0,11,HotspotCF69, ,43.443634,28.33644
68:A0:3E:5D:60:3E,2023-05-10 03:05:26,2023-05-10 03:39:30,4,10,WPA2, ,PSK,-78, ,0,0.0.0.0,16,HUAWEI-B311-603E, ,43.443634,28.33644
64:D1:54:6D:93:BB,2023-05-10 03:00:46,2023-05-10 03:47:12,100,0,, ,,0, ,0,0.0.0.0,17,64D1546D93BB, ,0,0
68:A0:3E:5D:60:41,2023-05-10 03:05:26,2023-05-10 03:50:58,4,10,WPA2, ,PSK,-76, ,0,0.0.0.0,17,68A03E5D6041, ,43.443634,28.33644
78:8A:20:5A:BA:10,2023-05-10 03:14:51,2023-05-10 03:52:21,1,10,WPA2, ,PSK,-76, ,0,0.0.0.0,4,HNGB, ,43.443634,28.33644
9E:93:4E:AE:BB:5A,2023-05-10 03:00:44,2023-05-10 03:53:47,1,60,WPA2, ,PSK,-58, ,0,0.0.0.0,19,DIRECT-QBXerox B205, ,43.4436340000001,28.3364400000002
