
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
75:BB:63:DB:1A:DB,2023-05-09 11:01:45,2023-05-09 11:01:48,0,4,Unknown,Unknown,45.383504,28.020105
2E:89:39:39:74:45,2023-05-09 11:01:45,2023-05-09 11:01:45,0,1,Unknown,Unknown,45.383504,28.020105
42:04:CA:38:B7:8A,2023-05-09 11:01:46,2023-05-09 11:01:50,0,3,Unknown,Unknown,45.383504,28.020105
F5:F5:58:CA:BF:08,2023-05-09 11:01:46,2023-05-09 11:01:46,0,1,Unknown,Unknown,45.383504,28.020105
E5:E6:4B:BA:D9:8E,2023-05-09 11:01:50,2023-05-09 11:01:50,0,1,Unknown,Unknown,45.383504,28.020105
41:A6:B8:4C:6E:BA,2023-05-09 11:02:06,2023-05-09 11:02:17,0,5,Unknown,Unknown,45.383504,28.020105
24:02:43:EB:01:11,2023-05-09 11:02:13,2023-05-09 11:02:13,0,1,Unknown,Unknown,45.383504,28.020105
62:DE:3B:8F:5B:6D,2023-05-09 11:02:29,2023-05-09 11:02:46,0,3,Unknown,Unknown,45.383504,28.020105
ED:DB:E5:A1:3B:88,2023-05-09 11:02:34,2023-05-09 11:02:34,0,1,Unknown,Unknown,45.383504,28.020105
67:F1:E6:17:D5:E8,2023-05-09 11:02:34,2023-05-09 11:02:45,0,6,Unknown,Unknown,0,8.37450061832467E-28
2B:D0:41:26:B4:D0,2023-05-09 11:02:39,2023-05-09 11:02:41,0,4,Unknown,Unknown,45.383504,28.020105
33:BE:AE:D1:14:CC,2023-05-09 11:02:45,2023-05-09 11:02:45,0,1,Unknown,Unknown,45.383504,28.020105
78:02:DC:3D:40:48,2023-05-09 11:02:50,2023-05-09 11:02:50,0,1,Unknown,Unknown,45.383504,28.020105
2D:88:7E:56:57:E4,2023-05-09 11:02:50,2023-05-09 11:02:53,0,4,Unknown,Unknown,3.12524847657658E-05,89.9999727777247
E3:B9:B5:66:8F:EE,2023-05-09 11:02:51,2023-05-09 11:02:51,0,1,Unknown,Unknown,45.383504,28.020105
06:9A:E3:82:3C:A1,2023-05-09 11:02:48,2023-05-09 11:02:59,0,3,Unknown,Unknown,45.383504,28.020105
