BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
0C:CF:89:97:9E:20,2023-05-10 03:41:29,2023-05-10 03:41:34,6,10,WPA2, ,PSK,-68, ,0,0.0.0.0,14,70mai_d06_9e20,209E9789CF0C,44.2736,26.6
2C:05:47:5A:1A:C4,2023-05-10 04:30:55,2023-05-10 04:32:28,1,10,WPA2, ,PSK,-76, ,0,0.0.0.0,16,70mai_Lite2_1ac4,C41A5A47052C,44.2736,26.6
C8:3A:35:44:0E:58,2023-05-10 02:46:50,2023-05-10 04:46:45,1,110,WPA2, ,PSK,-74, ,106,0.0.0.0,7,TIMOFEY,580E44353AC8,44.2736,26.6
28:0F:EB:5D:22:07,2023-05-10 03:41:59,2023-05-10 03:42:11,149,60,WPA2, ,PSK,-72, ,0,0.0.0.0,21,DACIA_7586           ,7225DEB0F280,44.2736,26.6
48:8F:5A:A1:43:E5,2023-05-10 02:46:50,2023-05-10 04:46:37,1,60,WPA2, ,PSK,-77, ,446,0.0.0.0,31,Cosoreanu_si_Asociatii-R-2.4Ghz,E543A15A8F48,44.2736,26.6
5A:16:D7:95:45:BA,2023-05-10 03:42:14,2023-05-10 03:42:17,1,10,WPA2, ,PSK,-82, ,0,0.0.0.0,10,SKODA_WLAN,BA4595D7165A,44.2736,26.6
CC:F9:57:54:D9:7E,2023-05-10 03:42:17,2023-05-10 03:42:17,11,10,WPA2, ,PSK,-92, ,0,0.0.0.0,13,Audi_MMI_8186,7ED95457F9CC,44.2736,26.6
00:54:AF:CB:D4:71,2023-05-10 04:31:07,2023-05-10 04:31:12,3,10,WPA2, ,PSK,-64, ,0,0.0.0.0,11,HotspotD471,71D4CBAF5400,44.2736,26.6
B2:00:73:50:85:B2,2023-05-10 03:42:18,2023-05-10 03:42:18,149,60,WPA2, ,PSK,-76, ,0,0.0.0.0,17,DIRECT-MBUX 12164,B285507300B2,44.2736,26.6
52:76:75:76:6A:72,2023-05-10 04:31:08,2023-05-10 04:31:22,11,10,WPA2, ,PSK,-78, ,0,0.0.0.0,14,Galaxy A511946,726A76757652,44.2736,26.6
CE:20:47:FB:EE:EF,2023-05-10 04:31:10,2023-05-10 04:31:20,6,10,WPA2, ,PSK,-76, ,2,0.0.0.0,13,AndroidAP7284,EFEEFB4720CE,44.2736,26.6
DC:2C:6E:EF:10:BE,2023-05-10 02:46:50,2023-05-10 04:46:18,1,10,WPA2, ,PSK,-80, ,735,0.0.0.0,8,MK-Tools,BE10EF6E2CDC,44.2736,26.6
4C:B1:CD:2F:BE:68,2023-05-10 04:12:32,2023-05-10 04:45:08,12,60,, ,,-82, ,22,0.0.0.0,17,4CB1CD2FBE68,68BE2FCDB14C,44.2736,26.6
5A:D5:0A:9D:F1:1E,2023-05-10 04:31:22,2023-05-10 04:31:24,6,10,WPA2, ,PSK,-68, ,0,0.0.0.0,10,My VW 1186,1EF19D0AD55A,44.2736,26.6
0C:45:BA:BB:B7:88,2023-05-10 02:46:50,2023-05-10 04:46:42,1,60,WPA2, ,PSK,-74, ,2191,0.0.0.0,11,HUAWEI-qxY5,88B7BBBA450C,44.2736,26.6
6A:13:AE:E5:8A:00,2023-05-10 03:42:31,2023-05-10 03:42:41,10,10,WPA2, ,PSK,-72, ,0,0.0.0.0,11,POCO X3 Pro,8AE5AE136A00,44.2736,26.6
B2:00:73:9A:24:88,2023-05-10 03:42:35,2023-05-10 03:42:35,153,60,WPA2, ,PSK,-83, ,0,0.0.0.0,17,DIRECT-MBUX 72968,88249A7300B2,44.2736,26.6
66:E2:20:05:8F:0E,2023-05-10 04:31:38,2023-05-10 04:31:38,157,60,WPA2, ,PSK,-76, ,0,0.0.0.0,16,DIRECT-BMW 12564,E8F0520E2660,44.2736,26.6
B2:00:73:8A:24:88,2023-05-10 03:42:36,2023-05-10 03:42:36,1,60,WPA2, ,PSK,-81, ,0,0.0.0.0,17,DIRECT-MBUX 72968,88248A7300B2,44.2736,26.6
54:67:51:FC:7B:3B,2023-05-10 02:46:50,2023-05-10 04:46:40,1,10,WPA2, ,PSK,-74, ,6,0.0.0.0,11,UPC-B77B4D7,3B7BFC516754,44.2736,26.6
3E:F0:32:AB:2C:47,2023-05-10 04:31:43,2023-05-10 04:31:43,1,10,WPA3-TRANSITION, ,,-86, ,0,0.0.0.0,17,3EF032AB2C47,472CAB32F03E,44.2736,26.6
12:E8:A7:06:47:56,2023-05-10 04:13:12,2023-05-10 04:13:15,6,10,WPA2, ,PSK,-82, ,0,0.0.0.0,13,Audi_MMI_2403,564706A7E812,44.2736,26.6
30:C3:D9:86:23:E1,2023-05-10 04:31:45,2023-05-10 04:31:45,1,10,WPA2, ,PSK,-84, ,0,0.0.0.0,24,MB Hotspot 75137 2.4 GHz,E12386D9C330,44.2736,26.6
F0:5C:19:B7:12:22,2023-05-10 02:46:51,2023-05-10 04:46:43,11,10,Open, ,,-78, ,0,0.0.0.0,10,Casa_Doina,2212B7195CF0,44.2736,26.6
00:0A:F5:2F:92:DC,2023-05-10 04:31:45,2023-05-10 04:31:55,6,10,WPA2, ,PSK,-72, ,0,0.0.0.0,11,4G UFI-7394,DC922FF50A00,44.2736,26.6
A8:10:87:E5:95:1C,2023-05-10 04:31:46,2023-05-10 04:31:48,11,10,WPA2, ,PSK,-82, ,0,0.0.0.0,17,MINI44483 CarPlay,1C95E58710A8,44.2736,26.6
B0:4E:26:D8:F8:9D,2023-05-10 02:46:51,2023-05-10 04:46:25,1,10,WPA2, ,PSK,-82, ,1,0.0.0.0,5,Kv.44,9DF8D8264EB0,44.2736,26.6
68:4E:05:A7:97:2F,2023-05-10 04:31:48,2023-05-10 04:31:58,6,10,WPA2, ,PSK,-54, ,0,0.0.0.0,14,70mai_d08_972f,2F97A7054E68,44.2736,26.6
D8:7D:7F:4D:10:5D,2023-05-10 02:46:51,2023-05-10 04:46:23,2,10,WPA2, ,PSK,-80, ,53,0.0.0.0,14,Telekom-608WGh,5D104D7F7DD8,44.2736,26.6
00:54:AF:BE:65:73,2023-05-10 04:13:34,2023-05-10 04:14:17,6,10,WPA2, ,PSK,-56, ,0,0.0.0.0,11,Hotspot6573,7365BEAF5400,44.2736,26.6
78:F5:FD:A7:E5:54,2023-05-10 02:46:51,2023-05-10 04:46:25,1,10,WPA2, ,PSK,-80, ,0,0.0.0.0,13,Clicknet-E54B,54E5A7FDF578,44.2736,26.6
00:54:AF:2E:C2:82,2023-05-10 03:43:30,2023-05-10 03:44:30,1,10,WPA2, ,PSK,-74, ,0,0.0.0.0,11,HotspotC282,82C22EAF5400,44.2736,26.6
C8:C2:FA:A7:B3:25,2023-05-10 04:31:53,2023-05-10 04:31:53,11,10,WPA2, ,PSK,-78, ,2,0.0.0.0,6,Huawei,25B3A7FAC2C8,44.2736,26.6
02:31:92:A4:38:C7,2023-05-10 02:46:51,2023-05-10 04:46:33,4,10,WPA2, ,PSK,-78, ,0,0.0.0.0,17,023192A438C7,C738A4923102,44.2736,26.6
A4:7D:9F:E0:22:A2,2023-05-10 04:13:45,2023-05-10 04:14:19,1,240,WPA2, ,PSK,-50, ,31,0.0.0.0,15,DDPAI_MINI_22A2,A222E09F7DA4,44.2736,26.6
D4:B7:09:E9:B5:80,2023-05-10 02:46:51,2023-05-10 04:46:30,3,10,WPA2, ,PSK,-82, ,47,0.0.0.0,11,DIGI_e9b580,80B5E909B7D4,44.2736,26.6
F0:5C:19:B7:12:02,2023-05-10 04:32:02,2023-05-10 04:39:08,6,20,Open, ,,-86, ,6,0.0.0.0,10,Casa_Doina,212B7195CF00,44.2736,26.6
00:31:92:D4:38:C7,2023-05-10 02:46:51,2023-05-10 04:46:33,4,60,WPA2, ,PSK,-80, ,62,0.0.0.0,13,Orange_Garden,C738D4923100,44.2736,26.6
5E:EF:68:41:5C:69,2023-05-10 04:32:09,2023-05-10 04:32:09,4,10,WPA2, ,PSK,-90, ,0,0.0.0.0,17,5EEF68415C69,695C4168EF5E,44.2736,26.6
48:D8:90:1F:44:A3,2023-05-10 04:14:02,2023-05-10 04:14:05,6,10,WPA2, ,PSK,-86, ,0,0.0.0.0,18,DDPAI_mola_N3_44A3,A3441F90D848,44.2736,26.6
6A:32:B1:CD:0D:46,2023-05-10 02:46:51,2023-05-10 04:46:38,3,110,WPA2, ,PSK,-78, ,150,0.0.0.0,17,6A32B1CD0D46,460DCDB1326A,44.2736,26.6
CC:F9:57:23:55:B2,2023-05-10 04:32:17,2023-05-10 04:32:31,11,10,WPA2, ,PSK,-70, ,0,0.0.0.0,13,Audi_MMI_0785,B2552357F9CC,44.2736,26.6
DC:91:66:5A:32:18,2023-05-10 02:46:51,2023-05-10 04:46:47,6,240,WPA2, ,PSK,-62, ,3551,0.0.0.0,3,K13,18325A6691DC,44.2736,26.6
52:F1:0F:12:5E:FD,2023-05-10 03:44:19,2023-05-10 03:44:19,11,10,WPA2, ,PSK,-94, ,0,0.0.0.0,3,mao,FD5E120FF152,44.2736,26.6
DC:91:66:5A:32:1D,2023-05-10 02:46:51,2023-05-10 04:46:33,6,10,WPA2, ,PSK,-78, ,0,0.0.0.0,17,DC91665A321D,1D325A6691DC,44.2736,26.6
54:77:87:18:84:AA,2023-05-10 03:44:32,2023-05-10 03:45:15,6,10,WPA2, ,PSK,-82, ,0,0.0.0.0,19,NAVITEL R66 2K-e-aa,AA8418877754,44.2736,26.6
38:6B:1C:A1:BB:F2,2023-05-10 02:46:51,2023-05-10 04:46:48,11,10,Open, ,,-76, ,54,0.0.0.0,13,MERCUSYS_BBF3,F2BBA11C6B38,44.2736,26.6
00:1D:C9:08:21:69,2023-05-10 04:14:31,2023-05-10 04:14:36,3,10,WPA2, ,PSK,-66, ,6,0.0.0.0,12,REMOTE37rutn,692108C91D00,44.2736,26.6
04:7F:0E:85:3E:61,2023-05-10 04:14:34,2023-05-10 04:14:36,36,240,WPA2, ,PSK,-65, ,3,0.0.0.0,13,Carplay9cf26e,613E850E7F04,44.2736,26.6
76:95:EC:9C:8A:C3,2023-05-10 04:32:31,2023-05-10 04:32:50,1,10,WPA2, ,PSK,-76, ,0,0.0.0.0,4,WLAN,C38A9CEC9576,44.2736,26.6
32:06:50:93:91:90,2023-05-10 03:45:22,2023-05-10 03:45:25,6,10,WPA2, ,PSK,-78, ,0,0.0.0.0,14,Galaxy A12304D,909193500632,44.2736,26.6
10:7B:44:9D:61:40,2023-05-10 02:46:51,2023-05-10 04:46:45,9,10,WPA2, ,PSK,-66, ,460,0.0.0.0,2,RF,40619D447B10,44.2736,26.6
0C:9A:42:B5:8E:08,2023-05-10 03:45:32,2023-05-10 03:45:51,6,10,WPA2, ,PSK,-74, ,0,0.0.0.0,10,R590W-8E08,88EB5429A0C0,44.2736,26.6
38:83:9A:73:FB:FF,2023-05-10 03:45:32,2023-05-10 03:46:10,6,10,WPA2, ,PSK,-54, ,0,0.0.0.0,14,70mai_d06_fbff,FFFB739A8338,44.2736,26.6
30:8E:7A:1B:04:26,2023-05-10 04:32:38,2023-05-10 04:33:09,7,10,WPA2, ,PSK,-52, ,0,0.0.0.0,21,70mai_A800S_2.4G_0426,26041B7A8E30,44.2736,26.6
FE:E5:F9:13:CB:74,2023-05-10 03:45:41,2023-05-10 03:46:08,6,20,WPA2, ,PSK,-66, ,24,0.0.0.0,7,Marius ,74CB13F9E5FE,44.2736,26.6
28:DE:E5:DA:66:00,2023-05-10 02:46:54,2023-05-10 04:46:45,6,10,WPA2, ,PSK,-76, ,0,0.0.0.0,20,SUN2000-102080100597,66DAE5DE2800,44.2736,26.6
DA:10:68:FB:F0:86,2023-05-10 04:32:43,2023-05-10 04:32:57,6,10,WPA2, ,PSK,-68, ,0,0.0.0.0,12,DAX GTI Wifi,86F0FB6810DA,44.2736,26.6
52:FD:DF:0D:2D:BF,2023-05-10 04:14:43,2023-05-10 04:14:55,10,10,WPA2, ,PSK,-66, ,0,0.0.0.0,19,Galaxy A52s 5G CB34,BF2D0DDFFD52,44.2736,26.6
DA:10:68:9B:F0:86,2023-05-10 04:32:47,2023-05-10 04:32:54,153,60,WPA2, ,PSK,-71, ,0,0.0.0.0,12,DAX GTI Wifi,86F09B6810DA,44.2736,26.6
7C:8B:CA:28:A1:72,2023-05-10 02:46:54,2023-05-10 04:46:02,11,10,WPA2, ,PSK,-80, ,176,0.0.0.0,12,TP-LINK_A172,72A128CA8B7C,44.2736,26.6
A4:7D:9F:E0:18:A0,2023-05-10 03:45:56,2023-05-10 03:46:05,7,10,WPA2, ,PSK,-64, ,0,0.0.0.0,15,DDPAI_MINI_18A0,A018E09F7DA4,44.2736,26.6
60:32:B1:CD:0D:46,2023-05-10 02:46:56,2023-05-10 04:46:35,3,10,WPA2, ,PSK,-80, ,0,0.0.0.0,10,DecoDTV524,460DCDB13260,44.2736,26.6
68:4E:05:B1:C1:2A,2023-05-10 04:15:00,2023-05-10 04:15:09,6,10,WPA2, ,PSK,-46, ,0,0.0.0.0,14,70mai_d08_c12a,2AC1B1054E68,44.2736,26.6
20:57:9E:29:9D:B2,2023-05-10 03:46:03,2023-05-10 03:46:53,6,10,WPA2, ,PSK,-82, ,0,0.0.0.0,14,70mai_d08_9db2,B29D299E5720,44.2736,26.6
66:32:B1:CD:0D:46,2023-05-10 02:46:56,2023-05-10 04:46:37,3,10,WPA2, ,PSK,-76, ,0,0.0.0.0,6,DTV524,460DCDB13266,44.2736,26.6
34:20:03:D1:8B:E0,2023-05-10 04:15:07,2023-05-10 04:15:21,6,10,WPA2, ,PSK,-68, ,0,0.0.0.0,15,70mai_M300_8be0,E08BD1032034,44.2736,26.6
6E:C7:EC:61:48:7D,2023-05-10 03:46:07,2023-05-10 03:46:11,149,60,WPA2, ,PSK,-67, ,0,0.0.0.0,6,CGC 95,7D4861ECC76E,44.2736,26.6
2E:4C:C6:47:61:88,2023-05-10 04:15:07,2023-05-10 04:15:16,6,10,WPA2, ,PSK,-70, ,0,0.0.0.0,10,My VW 2080,886147C64C2E,44.2736,26.6
04:7F:0E:46:AD:31,2023-05-10 03:46:17,2023-05-10 03:46:32,6,10,WPA2, ,PSK,-62, ,0,0.0.0.0,13,Carplaybc4cc0,31AD460E7F04,44.2736,26.6
C4:6E:7B:A0:CB:20,2023-05-10 03:46:19,2023-05-10 03:46:29,1,10,WPA2, ,PSK,-62, ,0,0.0.0.0,14,70mai_d01_CB20,20CBA07B6EC4,44.2736,26.6
B4:C2:6A:20:B1:58,2023-05-10 04:15:09,2023-05-10 04:15:24,11,10,WPA2, ,PSK,-66, ,0,0.0.0.0,16,ConnectedCAM0456,58B1206AC2B4,44.2736,26.6
34:75:63:70:A1:5E,2023-05-10 04:32:55,2023-05-10 04:33:26,6,10,WPA2, ,PSK,-70, ,0,0.0.0.0,14,70mai_d06_a15e,5EA170637534,44.2736,26.6
2E:4C:C6:27:61:88,2023-05-10 04:15:15,2023-05-10 04:15:15,153,60,WPA2, ,PSK,-80, ,0,0.0.0.0,10,My VW 2080,886127C64C2E,44.2736,26.6
00:06:C6:5D:4F:4E,2023-05-10 04:15:16,2023-05-10 04:15:16,1,10,WPA2, ,PSK,-74, ,0,0.0.0.0,15,Audi_MMI_5d4f4e,4E4F5DC60600,44.2736,26.6
04:0A:17:6C:02:00,2023-05-10 04:15:19,2023-05-10 04:15:19,6,60,, ,,-82, ,0,0.0.0.0,17,040A176C0200,26C170A04000,44.2736,26.6
60:32:B1:CD:0D:47,2023-05-10 02:46:59,2023-05-10 04:46:39,48,60,WPA2, ,PSK,-82, ,0,0.0.0.0,10,DecoDTV524,470DCDB13260,44.2736,26.6
06:C4:61:8B:EC:DB,2023-05-10 04:33:08,2023-05-10 04:33:08,153,60,WPA2, ,PSK,-76, ,0,0.0.0.0,13,My Skoda 5635,DBEC8B61C406,44.2736,26.6
