
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
92:FF:3B:47:B6:86,2023-05-10 04:12:20,2023-05-10 04:12:21,-68,6,(not associated),44.2736,26.6,
4E:A2:7D:27:79:2C,2023-05-10 04:30:55,2023-05-10 04:30:55,-80,5,(not associated),44.2736,26.6,
9E:DD:BB:61:B8:8E,2023-05-10 03:41:43,2023-05-10 03:41:44,-80,9,(not associated),44.2736,26.6,
2E:BE:2D:63:E4:B2,2023-05-10 04:12:22,2023-05-10 04:12:22,-74,1,(not associated),44.2736,26.6,
92:20:21:67:D0:57,2023-05-10 04:30:56,2023-05-10 04:30:56,-88,1,(not associated),44.2736,26.6,
46:2A:0A:40:FB:88,2023-05-10 03:41:58,2023-05-10 03:41:58,-84,5,(not associated),44.2736,26.6,
62:5C:AF:7D:CF:FA,2023-05-10 04:12:25,2023-05-10 04:12:25,-80,7,(not associated),44.2736,26.6,
02:A0:BA:D1:C3:0B,2023-05-10 04:30:59,2023-05-10 04:30:59,-90,1,(not associated),44.2736,26.6,
56:F8:37:B1:C4:F7,2023-05-10 04:12:26,2023-05-10 04:12:26,-82,1,(not associated),44.2736,26.6,
3A:9E:B0:FA:4A:E0,2023-05-10 04:31:00,2023-05-10 04:31:00,-86,3,(not associated),44.2736,26.6,
FA:8F:2B:58:6C:47,2023-05-10 04:12:27,2023-05-10 04:12:27,-80,1,(not associated),44.2736,26.6,
7A:65:7E:28:34:F5,2023-05-10 04:31:05,2023-05-10 04:31:05,-80,4,(not associated),44.2736,26.6,
50:F1:4A:00:FA:79,2023-05-10 04:12:27,2023-05-10 04:12:27,-64,1,(not associated),44.2736,26.6,
02:64:63:94:FC:23,2023-05-10 04:31:07,2023-05-10 04:31:07,-82,2,(not associated),44.2736,26.6,
F2:11:91:EB:A3:58,2023-05-10 04:12:28,2023-05-10 04:12:28,-78,2,(not associated),44.2736,26.6,
FA:96:F4:E3:D2:F5,2023-05-10 04:12:28,2023-05-10 04:12:28,-74,3,(not associated),44.2736,26.6,
D2:9B:D5:1D:DF:00,2023-05-10 03:42:18,2023-05-10 03:42:18,-76,3,(not associated),44.2736,26.6,
8E:6C:F3:E3:3B:71,2023-05-10 04:12:28,2023-05-10 04:12:28,-72,1,(not associated),44.2736,26.6,
