
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
5E:35:B8:BD:E1:D0,2023-05-10 03:00:58,2023-05-10 03:00:58,-82,1,(not associated),43.542586,25.595436,
36:CB:88:53:14:59,2023-05-10 03:01:06,2023-05-10 03:01:06,0,0,(not associated),0,0,
92:DA:98:6F:74:F8,2023-05-10 03:01:07,2023-05-10 03:01:07,-77,4,(not associated),43.542586,25.595436,
E6:C9:4C:8B:60:3C,2023-05-10 03:01:07,2023-05-10 03:01:07,0,0,(not associated),0,0,
5E:CF:EF:E0:7B:FC,2023-05-10 03:01:07,2023-05-10 03:01:07,0,0,(not associated),0,0,
1A:2F:57:FA:3E:D2,2023-05-10 03:01:07,2023-05-10 03:01:07,0,0,(not associated),0,0,
EE:C1:C5:66:3B:90,2023-05-10 03:01:08,2023-05-10 03:01:08,0,0,(not associated),0,0,
66:46:37:05:78:DB,2023-05-10 03:01:15,2023-05-10 03:01:15,0,0,(not associated),0,0,
52:91:7A:C2:66:2B,2023-05-10 03:01:17,2023-05-10 03:01:17,0,0,(not associated),0,0,
56:40:5D:1B:1D:AE,2023-05-10 03:01:18,2023-05-10 03:01:18,0,0,(not associated),0,0,
56:DC:1D:3A:3A:4A,2023-05-10 03:01:33,2023-05-10 03:01:33,-54,3,(not associated),43.542586,25.595436,
6A:BA:DF:6A:ED:B1,2023-05-10 03:01:33,2023-05-10 03:01:33,0,0,(not associated),0,0,
76:6F:C3:C0:B5:6D,2023-05-10 03:01:37,2023-05-10 03:01:37,0,0,(not associated),0,0,
CE:7D:A5:9D:8B:9A,2023-05-10 03:01:42,2023-05-10 03:01:42,0,0,(not associated),0,0,
AA:A9:FF:8A:15:18,2023-05-10 03:01:43,2023-05-10 03:01:43,0,0,(not associated),0,0,
12:79:E5:9C:F9:85,2023-05-10 03:01:44,2023-05-10 03:01:44,0,0,(not associated),0,0,
96:68:67:F1:19:DF,2023-05-10 03:01:45,2023-05-10 03:01:45,0,0,(not associated),0,0,
76:85:E2:35:9E:D5,2023-05-10 03:01:47,2023-05-10 03:01:47,0,0,(not associated),0,0,
26:2F:68:C7:BC:FC,2023-05-10 03:01:49,2023-05-10 03:01:49,-58,1,(not associated),43.542586,25.595436,
96:72:9C:1D:A6:89,2023-05-10 03:01:53,2023-05-10 03:01:53,0,0,(not associated),0,0,
3E:27:F1:96:72:B8,2023-05-10 03:01:53,2023-05-10 03:01:53,0,0,(not associated),0,0,
16:8A:87:C1:7B:DA,2023-05-10 03:01:59,2023-05-10 03:01:59,-54,3,(not associated),43.542586,25.595436,
AE:C2:35:6A:1F:87,2023-05-10 03:01:59,2023-05-10 03:01:59,-54,1,(not associated),43.542586,25.595436,
3E:EF:D7:5E:9A:82,2023-05-10 03:02:03,2023-05-10 03:02:03,-79,1,(not associated),43.542586,25.595436,
42:62:7A:67:2C:81,2023-05-10 03:02:04,2023-05-10 03:02:04,0,0,(not associated),0,0,
6A:AB:A9:9E:8C:11,2023-05-10 03:02:11,2023-05-10 03:02:11,0,0,(not associated),0,0,
06:AA:18:3B:0F:C4,2023-05-10 03:02:29,2023-05-10 03:02:29,-68,1,(not associated),43.542586,25.595436,
06:AA:18:F8:0C:DB,2023-05-10 03:02:29,2023-05-10 03:02:29,-68,1,(not associated),43.542586,25.595436,
06:AA:18:BE:6B:F5,2023-05-10 03:02:29,2023-05-10 03:02:29,-69,1,(not associated),43.542586,25.595436,
