
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
24:FC:E5:8C:AE:7F,2023-05-09 03:07:56,2023-05-09 03:07:56,-89,1,Unknown,Unknown,44.278448,26.049546
63:65:F1:F3:3C:FC,2023-05-09 03:26:06,2023-05-09 03:26:06,0,1,Unknown,Unknown,44.278448,26.049546
63:65:F1:F3:3C:FC,2023-05-09 03:26:07,2023-05-09 03:26:13,-87,4,Unknown,Unknown,44.278448,26.049546
76:C9:20:F4:33:CF,2023-05-09 03:45:09,2023-05-09 03:45:09,-87,1,Unknown,Unknown,44.278448,26.049546
76:C9:20:F4:33:CF,2023-05-09 03:45:22,2023-05-09 03:45:22,0,1,Unknown,Unknown,44.278448,26.049546
38:18:4C:58:71:45,2023-05-09 03:05:57,2023-05-09 03:49:33,-86,22,Unknown,LE_WH-CH700N,44.278448,26.049546
61:EE:7E:3E:A7:F5,2023-05-09 03:58:11,2023-05-09 04:00:16,-88,2,Unknown,Unknown,44.278448,26.049546
3C:7F:E6:07:38:DF,2023-05-09 04:02:18,2023-05-09 04:05:15,-87,14,Unknown,Unknown,44.278448,26.049546
76:2D:2C:D8:55:7D,2023-05-09 03:58:57,2023-05-09 04:07:30,-87,7,Unknown,Unknown,44.278448,26.049546
90:F1:57:14:DA:DE,2023-05-09 04:08:14,2023-05-09 04:08:29,-75,39,Unknown,Unknown,44.278448,26.049546
90:F1:57:14:DA:DE,2023-05-09 04:08:21,2023-05-09 04:08:21,0,1,Unknown,Unknown,44.278448,26.049546
36:93:DA:E9:56:F5,2023-05-09 04:10:49,2023-05-09 04:11:26,-86,3,Unknown,Unknown,44.278448,26.049546
7C:CC:4D:A7:96:A8,2023-05-09 04:11:31,2023-05-09 04:11:34,-88,2,Unknown,Unknown,44.278448,26.049546
2B:BC:3F:3C:6B:9C,2023-05-09 04:12:08,2023-05-09 04:12:08,-88,1,Unknown,Unknown,44.278448,26.049546
28:FA:19:6F:35:C5,2023-05-09 04:00:27,2023-05-09 04:12:50,-86,182,Unknown,JBL Flip 5,44.278448,26.0495459999999
D7:CE:C6:A4:FA:9E,2023-05-09 04:12:51,2023-05-09 04:12:51,-88,1,Unknown,Unknown,44.278448,26.049546
61:EE:7E:3E:A7:F5,2023-05-09 04:13:37,2023-05-09 04:13:37,0,1,Unknown,Unknown,44.278448,26.049546
63:8F:1F:2D:D0:16,2023-05-09 04:13:56,2023-05-09 04:13:56,-87,1,Unknown,Unknown,44.278448,26.049546
37:9B:86:7D:8B:D7,2023-05-09 04:14:18,2023-05-09 04:14:43,-87,3,Unknown,Unknown,44.278448,26.049546
5B:5F:94:C9:D7:4D,2023-05-09 04:14:34,2023-05-09 04:14:37,-86,3,Unknown,Unknown,44.278448,26.049546
5B:85:25:85:43:80,2023-05-09 04:14:48,2023-05-09 04:15:19,-87,7,Unknown,Unknown,44.278448,26.049546
74:12:16:14:86:FC,2023-05-09 04:15:03,2023-05-09 04:17:06,-87,9,Unknown,Unknown,44.278448,26.049546
47:CD:50:7B:B4:A1,2023-05-09 04:09:01,2023-05-09 04:21:02,-87,11,Unknown,Unknown,44.278448,26.049546
E8:1C:B2:01:6E:8F,2023-05-09 04:15:21,2023-05-09 04:20:48,-87,8,Unknown,Unknown,44.278448,26.049546
CF:D5:13:9A:2B:9F,2023-05-09 04:21:01,2023-05-09 04:21:01,-88,1,Unknown,Unknown,44.278448,26.049546
5C:4A:49:BE:3A:FB,2023-05-09 04:21:21,2023-05-09 04:21:21,-87,1,Unknown,Unknown,44.278448,26.049546
7B:9B:79:9D:BA:09,2023-05-09 04:24:47,2023-05-09 04:24:47,0,1,Unknown,Unknown,44.278448,26.049546
77:50:04:78:D9:27,2023-05-09 04:26:01,2023-05-09 04:26:01,-88,1,Unknown,Unknown,44.278448,26.049546
79:F1:F4:F4:E0:C9,2023-05-09 04:25:43,2023-05-09 04:26:22,-86,19,Unknown,Unknown,44.278448,26.049546
79:F1:F4:F4:E0:C9,2023-05-09 04:26:00,2023-05-09 04:26:24,0,3,Unknown,Unknown,44.278448,26.049546
62:F7:18:B9:ED:0C,2023-05-09 04:27:00,2023-05-09 04:27:00,-88,1,Unknown,Unknown,44.278448,26.049546
23:AA:9F:03:6B:30,2023-05-09 04:26:50,2023-05-09 04:27:10,-86,2,Unknown,Unknown,44.278448,26.049546
4C:B4:66:CE:6E:E3,2023-05-09 04:27:16,2023-05-09 04:27:16,-87,1,Unknown,Unknown,44.278448,26.049546
DB:6F:2D:62:62:CA,2023-05-09 04:27:16,2023-05-09 04:27:16,-87,1,Unknown,Unknown,44.278448,26.049546
7F:63:08:EB:10:94,2023-05-09 04:30:07,2023-05-09 04:30:08,-87,2,Unknown,Unknown,44.278448,26.049546
3C:DE:86:BD:6C:6D,2023-05-09 04:30:34,2023-05-09 04:30:37,-87,3,Unknown,Unknown,44.278448,26.049546
DF:66:E0:27:50:72,2023-05-09 04:30:08,2023-05-09 04:30:54,-87,2,Unknown,Unknown,44.278448,26.049546
76:A6:88:34:7A:EF,2023-05-09 04:34:22,2023-05-09 04:34:22,-88,1,Unknown,Unknown,44.278448,26.049546
0A:07:11:2C:D0:1D,2023-05-09 04:34:44,2023-05-09 04:34:44,-86,1,Unknown,Unknown,44.278448,26.049546
75:64:0A:D6:A4:6B,2023-05-09 04:36:05,2023-05-09 04:36:05,-89,1,Unknown,Unknown,44.278448,26.049546
C3:13:49:E7:0C:EB,2023-05-09 04:36:37,2023-05-09 04:36:37,-88,1,Unknown,Unknown,44.278448,26.049546
E0:D0:67:73:ED:4B,2023-05-09 04:38:24,2023-05-09 04:38:24,0,1,Unknown,Unknown,44.278448,26.049546
