
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
F6:5B:35:FC:B8:F3,2023-05-09 03:04:38,2023-05-09 03:04:38,0,0,(not associated),0,0,
06:C3:E9:EE:25:26,2023-05-09 03:05:21,2023-05-09 03:05:21,-80,1,(not associated),44.278448,26.049546,
3A:47:8C:EE:34:02,2023-05-09 03:08:09,2023-05-09 03:08:09,-80,1,(not associated),44.278448,26.049546,
AC:12:03:D8:3A:65,2023-05-09 03:09:01,2023-05-09 03:09:01,-78,1,(not associated),44.278448,26.049546,Orange-x9tS-2.4G
E8:48:B8:48:43:E4,2023-05-09 03:10:44,2023-05-09 03:10:44,-86,1,(not associated),44.278448,26.049546,Gradinita-52
04:20:84:12:DD:33,2023-05-09 03:11:32,2023-05-09 03:11:32,0,0,04:20:84:14:0C:73,0,0,
6C:21:A2:05:A4:69,2023-05-09 03:14:29,2023-05-09 03:14:29,0,0,(not associated),0,0,
9C:A2:F4:8B:D6:AC,2023-05-09 03:14:30,2023-05-09 03:14:30,0,0,7A:A2:F4:8B:D6:AD,0,0,
00:17:C8:A2:A0:1D,2023-05-09 03:14:56,2023-05-09 03:14:56,0,0,24:4B:FE:9D:55:B8,0,0,
66:60:EB:61:12:0D,2023-05-09 03:17:16,2023-05-09 03:17:16,-84,1,(not associated),44.278448,26.049546,
EA:43:F1:46:82:4A,2023-05-09 03:18:52,2023-05-09 03:18:52,0,0,(not associated),0,0,
E6:68:22:B4:F2:8A,2023-05-09 03:19:42,2023-05-09 03:19:42,0,0,(not associated),0,0,
74:83:C2:3C:BB:00,2023-05-09 03:20:08,2023-05-09 03:20:08,0,0,76:83:C2:3D:BB:00,0,0,
22:0F:87:35:68:EE,2023-05-09 03:20:29,2023-05-09 03:20:29,0,0,(not associated),0,0,
EE:A5:9C:5A:4A:03,2023-05-09 03:20:57,2023-05-09 03:20:57,-80,2,(not associated),44.278448,26.049546,
E4:C3:2A:F1:5C:A4,2023-05-09 03:21:56,2023-05-09 03:21:56,0,0,E4:C3:2A:F1:86:7A,0,0,
FE:5A:99:46:46:0F,2023-05-09 03:22:12,2023-05-09 03:22:12,-88,1,(not associated),44.278448,26.049546,
DE:D4:EF:EE:DD:C6,2023-05-09 03:23:59,2023-05-09 03:23:59,0,0,(not associated),0,0,
B0:4E:26:E9:96:43,2023-05-09 03:04:17,2023-05-09 03:24:42,0,0,F4:F2:6D:BF:D0:31,0,0,
02:30:33:BB:61:ED,2023-05-09 03:09:50,2023-05-09 03:27:05,-76,1,98:44:CE:6D:21:5C,44.278448,26.049546,
CC:2D:E0:57:06:75,2023-05-09 03:20:02,2023-05-09 03:27:50,0,0,CC:2D:E0:2F:8A:1D,0,0,
70:EE:50:55:F1:0A,2023-05-09 03:28:23,2023-05-09 03:28:23,-80,1,(not associated),44.278448,26.049546,
58:D3:49:0E:F1:F3,2023-05-09 03:11:01,2023-05-09 03:30:00,0,0,DE:21:F9:F5:15:12,0,0,
76:DE:24:0A:55:6C,2023-05-09 03:29:54,2023-05-09 03:29:54,0,0,(not associated),0,0,
1A:83:CD:E8:65:F8,2023-05-09 03:29:59,2023-05-09 03:29:59,0,0,(not associated),0,0,
E6:A8:47:20:7B:03,2023-05-09 03:30:42,2023-05-09 03:30:42,0,0,(not associated),0,0,
BE:18:44:7D:62:6A,2023-05-09 03:30:42,2023-05-09 03:30:42,0,0,(not associated),0,0,
1A:20:9F:36:CF:A6,2023-05-09 03:31:46,2023-05-09 03:31:46,0,0,(not associated),0,0,
62:C8:6D:27:0C:D7,2023-05-09 03:32:29,2023-05-09 03:32:29,-82,1,(not associated),44.278448,26.049546,
8C:EA:48:60:42:6A,2023-05-09 03:33:07,2023-05-09 03:33:07,0,0,7A:48:B8:12:0A:F5,0,0,
A6:0A:2C:74:FC:95,2023-05-09 03:34:06,2023-05-09 03:34:06,0,0,(not associated),0,0,
