
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
19:FB:F3:B9:8A:1F,2023-05-10 04:21:01,2023-05-10 04:21:02,-88,2,Unknown,Unknown,45.214572,25.324131
72:9A:D0:24:B5:93,2023-05-10 04:25:09,2023-05-10 04:25:19,-86,8,Unknown,Unknown,45.214572,25.324131
D4:04:19:B2:5C:98,2023-05-10 04:25:10,2023-05-10 04:25:18,-86,4,Unknown,Unknown,45.214572,25.324131
66:DD:A1:CF:CA:A4,2023-05-10 04:25:30,2023-05-10 04:27:03,-87,2,Unknown,Unknown,45.214572,25.324131
28:A2:7C:28:D9:7F,2023-05-10 04:24:54,2023-05-10 04:32:21,-86,21,Unknown,Unknown,45.214572,25.324131
69:82:15:CC:58:BA,2023-05-10 04:32:53,2023-05-10 04:32:53,-86,2,Unknown,Unknown,45.214572,25.324131
51:6B:86:5E:CD:5D,2023-05-10 04:40:38,2023-05-10 04:40:38,-86,1,Unknown,Unknown,45.214572,25.324131
69:43:31:71:F7:C4,2023-05-10 04:42:44,2023-05-10 04:42:44,-89,1,Unknown,Unknown,45.214572,25.324131
31:0A:52:9A:D5:14,2023-05-10 04:33:05,2023-05-10 04:43:51,-86,4,Unknown,Unknown,45.214572,25.324131
58:2F:CE:59:EB:69,2023-05-10 04:49:49,2023-05-10 05:00:48,-86,4,Unknown,Unknown,45.214572,25.324131
