
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
5C:44:3E:5D:42:D5,2023-05-10 03:00:57,2023-05-10 03:00:57,0,1,Unknown,Crusher Evo,47.061954,27.335712
C1:8F:16:80:5F:41,2023-05-10 03:01:20,2023-05-10 03:01:20,0,1,Unknown,Unknown,47.061954,27.335712
0D:8E:87:2B:BE:10,2023-05-10 03:01:23,2023-05-10 03:01:23,0,1,Unknown,Unknown,47.061954,27.335712
00:7C:2D:EE:53:D9,2023-05-10 03:00:55,2023-05-10 03:01:49,0,7,Unknown,Unknown,47.061954,27.335712
BE:96:32:00:02:2C,2023-05-10 03:02:05,2023-05-10 03:02:05,0,1,Unknown,ELK-BLEDOM   ,47.061954,27.335712
38:C1:7C:16:43:C3,2023-05-10 03:04:02,2023-05-10 03:04:02,0,1,Unknown,EASYWAY-APP,47.061954,27.335712
4E:54:BC:3C:A9:DF,2023-05-10 03:07:11,2023-05-10 03:07:11,0,1,Unknown,Unknown,47.061954,27.335712
5E:C7:14:9B:60:CF,2023-05-10 03:07:25,2023-05-10 03:07:25,0,1,Unknown,Unknown,47.061954,27.335712
D7:13:FF:2F:26:20,2023-05-10 03:08:02,2023-05-10 03:08:02,0,1,Unknown,Unknown,47.061954,27.335712
34:58:17:4E:1A:22,2023-05-10 03:08:19,2023-05-10 03:08:20,0,2,Unknown,Unknown,47.061954,27.335712
6B:7D:6D:DE:85:49,2023-05-10 03:09:57,2023-05-10 03:10:02,0,4,Unknown,JBL TUNE230NC TWS-LE,47.061954,27.335712
6C:C9:7E:98:E4:76,2023-05-10 03:10:01,2023-05-10 03:10:01,0,1,Unknown,Unknown,47.061954,27.335712
26:5B:0B:F3:67:66,2023-05-10 03:10:30,2023-05-10 03:10:30,0,1,Unknown,Unknown,47.061954,27.335712
4C:FD:48:31:64:69,2023-05-10 03:11:39,2023-05-10 03:11:39,0,1,Unknown,Unknown,47.061954,27.335712
4F:2F:E9:CC:F5:24,2023-05-10 03:12:34,2023-05-10 03:12:37,0,4,Unknown,Unknown,47.061954,27.335712
E2:F7:DE:54:B1:EC,2023-05-10 03:12:38,2023-05-10 03:12:38,0,1,Unknown,Unknown,47.061954,27.335712
