
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
06:C1:B2:1E:53:70,2023-05-10 03:00:55,2023-05-10 03:00:55,-58,1,(not associated),47.061954,27.335712,
96:8B:E5:A0:CD:9A,2023-05-10 03:00:58,2023-05-10 03:00:58,-74,4,(not associated),47.061954,27.335712,puff_5G
0A:0F:48:BE:EA:45,2023-05-10 03:00:59,2023-05-10 03:01:01,-52,3,(not associated),47.061954,27.335712,puff_5G
22:3D:67:DF:3F:C5,2023-05-10 03:01:05,2023-05-10 03:01:05,-56,2,(not associated),47.061954,27.335712,
E2:2E:54:08:15:6C,2023-05-10 03:01:06,2023-05-10 03:01:06,-75,16,(not associated),47.061954,27.335712,rrrr,2470481
9A:ED:40:20:DA:A2,2023-05-10 03:01:15,2023-05-10 03:01:15,0,0,(not associated),0,0,
DA:ED:E0:08:6C:A8,2023-05-10 03:01:26,2023-05-10 03:01:26,-72,3,(not associated),47.061954,27.335712,teleconstructia,marion1234
D4:E6:B7:B5:14:C5,2023-05-10 03:01:26,2023-05-10 03:01:26,0,0,(not associated),0,0,
86:75:D9:E8:49:09,2023-05-10 03:01:35,2023-05-10 03:01:35,-80,2,(not associated),47.061954,27.335712,
7E:65:D0:CE:8B:28,2023-05-10 03:01:48,2023-05-10 03:01:48,-58,1,(not associated),47.061954,27.335712,
22:DD:B8:43:86:75,2023-05-10 03:01:48,2023-05-10 03:01:48,-78,1,(not associated),47.061954,27.335712,
26:D5:A4:29:E2:0C,2023-05-10 03:01:53,2023-05-10 03:01:53,-73,2,(not associated),47.061954,27.335712,
3E:33:1E:BB:B9:37,2023-05-10 03:02:04,2023-05-10 03:02:04,-84,1,(not associated),47.061954,27.335712,
7A:85:F4:C1:49:C2,2023-05-10 03:03:13,2023-05-10 03:03:13,-54,1,(not associated),47.061954,27.335712,
06:91:62:45:EA:30,2023-05-10 03:03:14,2023-05-10 03:03:14,-82,1,(not associated),47.061954,27.335712,
32:CB:75:D3:AB:87,2023-05-10 03:03:23,2023-05-10 03:03:28,0,0,(not associated),0,0,
00:0C:E7:97:53:E1,2023-05-10 03:03:39,2023-05-10 03:03:40,-50,2,(not associated),47.061954,27.335712,
72:E9:C9:34:38:F5,2023-05-10 03:03:50,2023-05-10 03:03:50,-76,2,(not associated),47.061954,27.335712,
14:6B:9C:9F:09:E1,2023-05-10 03:03:51,2023-05-10 03:03:51,0,0,(not associated),0,0,
0E:24:5D:E8:29:81,2023-05-10 03:03:39,2023-05-10 03:04:11,-46,13,(not associated),47.061954,27.335712,puff_5g,puff
46:3B:C4:FB:57:C9,2023-05-10 03:04:00,2023-05-10 03:04:06,-48,2,E8:65:D4:EA:D0:71,47.061954,27.335712,puff
DA:A1:19:AD:2D:A7,2023-05-10 03:01:48,2023-05-10 03:04:32,-75,13,(not associated),47.061954,27.335712,
5E:BA:B4:46:4E:E7,2023-05-10 03:05:37,2023-05-10 03:05:37,-58,4,(not associated),47.061954,27.335712,
0E:A6:54:CA:0D:C1,2023-05-10 03:05:47,2023-05-10 03:05:47,0,0,(not associated),0,0,
9E:8A:32:42:6A:40,2023-05-10 03:06:04,2023-05-10 03:06:04,-81,1,(not associated),47.061954,27.335712,
9E:93:1C:2E:5D:5E,2023-05-10 03:06:36,2023-05-10 03:06:36,0,0,(not associated),0,0,
BE:92:28:E7:CD:F1,2023-05-10 03:06:40,2023-05-10 03:06:40,-46,10,(not associated),47.061954,27.335712,atelier,GRAND_UNAL_HOTEL,CLASS_CORP_A_ET_3,ey43Bsqk,password,ramona
00:08:22:68:DC:FC,2023-05-10 03:07:02,2023-05-10 03:07:02,0,0,9A:F4:51:8B:F5:57,0,0,
AE:37:67:FA:E0:0E,2023-05-10 03:07:11,2023-05-10 03:07:12,-60,5,(not associated),47.061954,27.335712,
86:6E:DC:BF:2E:49,2023-05-10 03:07:18,2023-05-10 03:07:19,-56,7,(not associated),47.061954,27.335712,
DA:A1:19:77:C7:6E,2023-05-10 03:04:48,2023-05-10 03:07:40,-74,5,(not associated),47.061954,27.335712,
8A:A7:70:A9:92:8D,2023-05-10 03:07:23,2023-05-10 03:07:23,0,0,(not associated),0,0,
2E:EB:78:3C:C8:BF,2023-05-10 03:07:34,2023-05-10 03:07:34,-58,1,(not associated),47.061954,27.335712,
16:F4:46:A8:5D:AB,2023-05-10 03:08:37,2023-05-10 03:08:37,-69,4,(not associated),47.061954,27.335712,
F2:9E:90:1A:8F:AE,2023-05-10 03:01:49,2023-05-10 03:09:52,-46,22,(not associated),47.061954,27.335712,
B0:4A:39:0A:34:46,2023-05-10 03:04:11,2023-05-10 03:09:52,0,0,(not associated),0,0,
