
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
69:74:4C:F7:5D:9D,2023-05-10 03:01:48,2023-05-10 03:02:19,-81,8,Unknown,Unknown,0,0
69:74:4C:F7:5D:9D,2023-05-10 03:01:53,2023-05-10 03:02:21,0,8,Unknown,Unknown,0,0
2A:D1:D3:5E:E9:78,2023-05-10 03:02:04,2023-05-10 03:02:15,0,4,Unknown,Unknown,0,0
2A:D1:D3:5E:E9:78,2023-05-10 03:02:06,2023-05-10 03:02:20,-83,12,Unknown,Unknown,0,0
45:59:97:79:E5:86,2023-05-10 03:01:49,2023-05-10 03:03:00,0,5,Unknown,Unknown,0,0
57:2B:F5:2E:D1:56,2023-05-10 03:03:15,2023-05-10 03:03:15,0,1,Unknown,Unknown,0,0
6C:B9:D7:90:2A:0D,2023-05-10 03:03:32,2023-05-10 03:04:37,0,2,Unknown,Unknown,0,0
68:47:49:24:A4:51,2023-05-10 03:05:52,2023-05-10 03:05:53,0,3,Unknown,lime-931303140660,0,0
48:DB:BB:45:F1:C6,2023-05-10 03:08:18,2023-05-10 03:08:34,-85,17,Unknown,Unknown,0,0
48:DB:BB:45:F1:C6,2023-05-10 03:08:25,2023-05-10 03:08:33,0,4,Unknown,Unknown,0,0
EC:2D:23:58:E8:79,2023-05-10 03:02:10,2023-05-10 03:09:36,0,11,Unknown,Unknown,0,0
EC:2D:23:58:E8:79,2023-05-10 03:02:10,2023-05-10 03:10:44,-81,37,Unknown,Unknown,0,0
05:52:78:49:28:67,2023-05-10 03:02:21,2023-05-10 03:11:10,-75,212,Unknown,Unknown,0,0
44:7A:6D:DB:72:67,2023-05-10 03:02:22,2023-05-10 03:10:45,-74,239,Unknown,Unknown,0,0
05:52:78:49:28:67,2023-05-10 03:02:26,2023-05-10 03:10:52,0,72,Unknown,Unknown,0,0
44:7A:6D:DB:72:67,2023-05-10 03:02:26,2023-05-10 03:10:47,0,48,Unknown,Unknown,0,0
FB:EB:47:57:A2:86,2023-05-10 03:02:18,2023-05-10 03:11:13,0,27,Unknown,Unknown,0,0
FB:EB:47:57:A2:86,2023-05-10 03:02:26,2023-05-10 03:11:41,-75,36,Unknown,Unknown,0,0
76:82:F8:D0:83:63,2023-05-10 03:03:23,2023-05-10 03:17:51,0,66,Unknown,Unknown,0,0
42:DE:70:93:4A:79,2023-05-10 03:18:13,2023-05-10 03:18:21,0,2,Unknown,Unknown,0,0
45:41:E6:F6:58:8B,2023-05-10 03:25:37,2023-05-10 03:25:39,0,2,Unknown,Unknown,0,0
45:41:E6:F6:58:8B,2023-05-10 03:25:39,2023-05-10 03:25:42,-84,6,Unknown,Unknown,0,0
EB:10:32:2D:53:01,2023-05-10 03:25:40,2023-05-10 03:25:40,0,1,Unknown,Unknown,0,0
41:42:49:17:30:B0,2023-05-10 03:32:14,2023-05-10 03:32:18,0,7,Unknown,Unknown,0,0
5C:28:D2:38:2A:65,2023-05-10 03:18:23,2023-05-10 03:33:05,0,90,Unknown,Unknown,0,0
72:6F:81:29:5C:02,2023-05-10 03:33:15,2023-05-10 03:33:18,0,2,Unknown,Unknown,0,0
CC:CD:28:73:23:F4,2023-05-10 03:43:27,2023-05-10 03:43:27,0,1,Unknown,Unknown,0,0
6A:5A:A2:9B:0C:2C,2023-05-10 03:33:23,2023-05-10 03:48:01,0,74,Unknown,Unknown,0,0
42:CE:A8:0C:F1:43,2023-05-10 03:48:18,2023-05-10 03:48:18,0,1,Unknown,Unknown,0,0
75:97:34:80:74:94,2023-05-10 03:53:52,2023-05-10 03:59:44,0,17,Unknown,Unknown,0,0
6B:52:EE:24:74:CD,2023-05-10 03:48:23,2023-05-10 04:03:11,0,77,Unknown,Unknown,0,0
69:B1:FD:B4:51:7A,2023-05-10 04:03:21,2023-05-10 04:03:21,0,1,Unknown,Unknown,0,0
43:59:6E:42:61:CE,2023-05-10 04:00:38,2023-05-10 04:06:22,0,12,Unknown,Unknown,0,0
27:AF:73:FF:B2:C6,2023-05-10 04:11:07,2023-05-10 04:11:07,-87,1,Unknown,Unknown,0,0
27:AF:73:FF:B2:C6,2023-05-10 04:11:09,2023-05-10 04:11:09,0,1,Unknown,Unknown,0,0
60:8D:EF:B4:AA:09,2023-05-10 04:06:45,2023-05-10 04:14:28,0,24,Unknown,Unknown,0,0
7E:97:C3:04:B5:B5,2023-05-10 04:03:25,2023-05-10 04:18:05,0,79,Unknown,Unknown,0,0
4C:DD:F5:EE:18:B7,2023-05-10 04:18:19,2023-05-10 04:18:24,0,2,Unknown,Unknown,0,0
73:9D:5F:DC:E0:73,2023-05-10 04:15:20,2023-05-10 04:20:14,0,22,Unknown,Unknown,0,0
57:68:56:E0:C9:5B,2023-05-10 04:21:06,2023-05-10 04:21:19,-83,2,Unknown,Unknown,0,0
57:68:56:E0:C9:5B,2023-05-10 04:21:19,2023-05-10 04:21:19,0,1,Unknown,Unknown,0,0
6A:A9:D0:B4:41:BE,2023-05-10 04:20:36,2023-05-10 04:26:21,0,21,Unknown,Unknown,0,0
63:24:A7:0A:EE:02,2023-05-10 04:18:25,2023-05-10 04:32:17,0,67,Unknown,Unknown,0,0
62:1D:56:79:4B:3C,2023-05-10 04:26:28,2023-05-10 04:32:23,0,23,Unknown,Unknown,0,0
76:62:88:34:79:00,2023-05-10 04:33:17,2023-05-10 04:33:17,0,1,Unknown,Unknown,0,0
42:0F:BF:FC:16:AF,2023-05-10 04:38:16,2023-05-10 04:38:21,0,2,Unknown,Unknown,0,0
4D:98:32:01:1B:42,2023-05-10 04:33:06,2023-05-10 04:39:48,0,25,Unknown,Unknown,0,0
4E:15:19:BC:F1:6B,2023-05-10 04:43:23,2023-05-10 04:43:23,-82,1,Unknown,Unknown,0,0
4D:E2:1F:43:B4:1F,2023-05-10 04:44:25,2023-05-10 04:44:40,0,2,Unknown,Unknown,0,0
3C:92:F5:43:DB:57,2023-05-10 04:44:42,2023-05-10 04:44:42,0,1,Unknown,Unknown,0,0
29:13:12:C3:D4:6B,2023-05-10 04:44:42,2023-05-10 04:44:53,0,3,Unknown,Unknown,0,0
62:BC:2C:34:8C:8E,2023-05-10 04:44:42,2023-05-10 04:44:54,0,5,Unknown,Unknown,0,0
7D:5E:DD:A2:2D:C8,2023-05-10 04:40:19,2023-05-10 04:46:07,0,19,Unknown,Unknown,0,0
5D:10:B8:AE:01:FE,2023-05-10 04:45:54,2023-05-10 04:45:54,0,1,Unknown,Unknown,0,0
58:7F:E3:B1:E1:E1,2023-05-10 04:46:59,2023-05-10 04:47:22,-60,65,Unknown,Unknown,0,0
58:7F:E3:B1:E1:E1,2023-05-10 04:46:59,2023-05-10 04:47:40,0,23,Unknown,Unknown,0,0
48:AC:BE:48:C4:93,2023-05-10 04:33:25,2023-05-10 04:48:09,0,66,Unknown,Unknown,0,0
52:2C:73:87:16:CA,2023-05-10 04:48:20,2023-05-10 04:48:20,0,1,Unknown,Unknown,0,0
58:7B:63:C7:F7:DF,2023-05-10 04:46:53,2023-05-10 04:53:07,0,17,Unknown,Unknown,0,0
73:73:96:16:E0:44,2023-05-10 04:55:57,2023-05-10 04:55:57,0,1,Unknown,Unknown,0,0
3E:59:2D:15:71:38,2023-05-10 04:58:20,2023-05-10 04:58:22,-86,2,Unknown,Unknown,0,0
3E:59:2D:15:71:38,2023-05-10 04:58:20,2023-05-10 04:58:25,0,4,Unknown,Unknown,0,0
6F:98:A6:2D:6C:42,2023-05-10 04:53:25,2023-05-10 04:59:16,0,28,Unknown,Unknown,0,0
F5:38:E9:8E:73:2D,2023-05-10 03:05:23,2023-05-10 05:01:16,0,98,Unknown,Unknown,0,0
D0:03:DF:C0:12:6F,2023-05-10 03:01:54,2023-05-10 05:01:35,-81,292,Unknown,Unknown,0,0
58:AF:54:9A:03:D3,2023-05-10 04:48:31,2023-05-10 05:01:40,0,63,Unknown,Unknown,0,0
