
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
E2:16:D0:E0:B3:FE,2023-05-10 03:01:48,2023-05-10 03:01:48,0,0,(not associated),0,0,
4E:3E:0F:7C:84:30,2023-05-10 03:01:48,2023-05-10 03:01:48,-56,1,(not associated),0,0,
AA:BA:DB:30:D8:19,2023-05-10 03:02:31,2023-05-10 03:02:31,0,0,(not associated),0,0,
4A:BE:D5:DB:43:53,2023-05-10 03:02:51,2023-05-10 03:02:51,0,0,(not associated),0,0,
2A:FD:5E:3C:6A:48,2023-05-10 03:03:15,2023-05-10 03:03:15,-73,2,(not associated),0,0,
3A:2F:BB:D6:FD:FB,2023-05-10 03:04:35,2023-05-10 03:04:35,0,0,(not associated),0,0,
CE:B3:AE:54:13:A1,2023-05-10 03:05:01,2023-05-10 03:05:01,-77,2,(not associated),0,0,
66:C0:E1:21:5C:1B,2023-05-10 03:08:17,2023-05-10 03:08:17,-71,2,(not associated),0,0,
26:C2:6B:E1:74:29,2023-05-10 03:08:17,2023-05-10 03:08:17,-72,2,(not associated),0,0,
DA:D2:9B:92:D0:C3,2023-05-10 03:08:19,2023-05-10 03:08:19,-72,2,(not associated),0,0,
4A:79:37:91:0C:51,2023-05-10 03:08:44,2023-05-10 03:08:44,-71,1,(not associated),0,0,
1A:18:11:3F:31:B3,2023-05-10 03:08:52,2023-05-10 03:08:52,-78,2,(not associated),0,0,
C2:29:9A:F9:6A:B4,2023-05-10 03:09:09,2023-05-10 03:09:09,0,0,(not associated),0,0,
4E:66:62:49:D9:3F,2023-05-10 03:09:09,2023-05-10 03:09:09,0,0,(not associated),0,0,
EE:86:7B:9C:7B:E5,2023-05-10 03:09:42,2023-05-10 03:09:42,-80,2,(not associated),0,0,
6A:61:85:AB:21:5E,2023-05-10 03:09:42,2023-05-10 03:09:42,-80,1,(not associated),0,0,
D2:CC:58:A7:6B:CA,2023-05-10 03:10:03,2023-05-10 03:10:03,0,0,(not associated),0,0,
D8:68:C3:46:9D:CF,2023-05-10 03:10:08,2023-05-10 03:10:08,0,0,(not associated),0,0,
D6:15:31:D9:28:6E,2023-05-10 03:02:13,2023-05-10 03:11:11,-44,22,44:F0:34:49:76:8E,0,0,DIGI-5-49768E
EC:0B:AE:9E:7B:1A,2023-05-10 03:10:59,2023-05-10 03:10:59,0,0,B0:76:1B:91:6C:9C,0,0,
42:77:70:AA:2D:05,2023-05-10 03:11:12,2023-05-10 03:11:12,0,0,(not associated),0,0,
2A:BD:1A:05:9E:B5,2023-05-10 03:13:06,2023-05-10 03:13:06,0,0,(not associated),0,0,
3A:BE:72:96:83:7F,2023-05-10 03:14:53,2023-05-10 03:14:53,-58,3,(not associated),0,0,
62:4A:2B:4B:2B:D6,2023-05-10 03:18:01,2023-05-10 03:18:02,-58,5,(not associated),0,0,
12:0D:67:B5:34:CF,2023-05-10 03:19:32,2023-05-10 03:19:32,-74,2,(not associated),0,0,
B6:F5:B5:F5:74:E7,2023-05-10 03:20:02,2023-05-10 03:20:03,-54,6,(not associated),0,0,
