BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
9A:49:14:DF:56:FB,2023-05-09 22:43:56,2023-05-09 22:43:58,11,60,WPA2, ,PSK,-73, ,0,0.0.0.0,16,DIRECT-BMW 99307, ,45.206853,25.328443
74:6F:F7:B1:59:FC,2023-05-09 22:43:58,2023-05-09 22:44:01,11,10,WPA2, ,PSK,-48, ,17,0.0.0.0,17,MINI36406 CarPlay, ,45.206853,25.328443
62:E4:08:79:24:D7,2023-05-09 23:10:08,2023-05-09 23:10:19,6,10,WPA2, ,PSK,-56, ,0,0.0.0.0,8,The XIII, ,45.206853,25.328443
32:C3:D9:32:97:3B,2023-05-09 23:31:44,2023-05-09 23:31:50,1,10,WPA2, ,PSK,-48, ,0,0.0.0.0,7,VW WLAN, ,45.206853,25.328443
76:95:EC:9A:FC:7F,2023-05-09 23:40:51,2023-05-09 23:40:51,1,10,WPA2, ,PSK,-84, ,0,0.0.0.0,4,WLAN, ,45.206853,25.328443
B2:00:73:69:88:BA,2023-05-09 23:47:25,2023-05-09 23:47:28,6,60,WPA2, ,PSK,-77, ,0,0.0.0.0,17,DIRECT-MBUX 94496, ,45.206853,25.328443
96:C8:7C:90:D6:BD,2023-05-09 23:59:50,2023-05-10 00:00:00,11,10,WPA2, ,PSK,-50, ,0,0.0.0.0,13,AndroidAP3F80, ,45.206853,25.328443
30:C3:D9:58:42:CB,2023-05-10 00:12:07,2023-05-10 00:12:23,1,10,WPA2, ,PSK,-56, ,0,0.0.0.0,24,MB Hotspot 61123 2.4 GHz, ,45.206853,25.328443
00:54:AF:A0:E4:59,2023-05-10 00:17:16,2023-05-10 00:17:22,12,10,WPA2, ,PSK,-72, ,0,0.0.0.0,11,HotspotE459, ,45.206853,25.328443
48:7A:FF:24:CF:7C,2023-05-10 00:24:58,2023-05-10 00:24:58,161,60,WPA2, ,PSK,-72, ,0,0.0.0.0,12,Hyundai_FQin, ,45.206853,25.328443
24:31:54:42:0C:83,2023-05-10 00:40:44,2023-05-10 00:40:50,1,10,WPA2, ,PSK,-54, ,0,0.0.0.0,19,Kron Transfer (512), ,45.206853,25.328443
A8:54:B2:DF:62:EF,2023-05-10 00:42:26,2023-05-10 00:42:31,6,10,WPA2, ,PSK,-58, ,0,0.0.0.0,12,Audi_Mistret, ,45.206853,25.328443
D4:D2:52:42:D1:D2,2023-05-10 00:47:28,2023-05-10 00:47:39,1,10,WPA2, ,PSK,-72, ,0,0.0.0.0,8,LR417755, ,45.206853,25.328443
62:43:B8:6A:BA:9C,2023-05-10 00:57:17,2023-05-10 00:57:35,11,10,WPA2, ,PSK,-44, ,0,0.0.0.0,15,HUAWEI P40 lite, ,45.206853,25.328443
22:B7:4A:A1:71:C2,2023-05-10 01:06:21,2023-05-10 01:06:32,7,10,WPA2, ,PSK,-54, ,0,0.0.0.0,18,A&R Transfer Group, ,45.206853,25.328443
3C:67:A2:24:66:0B,2023-05-10 01:30:43,2023-05-10 01:31:04,11,10,WPA2, ,PSK,-50, ,0,0.0.0.0,9,MIFI_660B, ,45.206853,25.328443
3C:67:A2:24:66:14,2023-05-10 01:30:47,2023-05-10 01:31:04,6,10,WPA2, ,PSK,-46, ,0,0.0.0.0,9,MIFI_6614, ,45.206853,25.328443
00:25:00:FF:94:73,2023-05-10 01:30:59,2023-05-10 01:31:05,44,,, ,,, ,0,0.0.0.0,17,002500FF9473, ,0,0
C8:3A:35:9E:7D:58,2023-05-10 01:33:59,2023-05-10 01:35:08,11,10,WPA2, ,PSK,-80, ,0,0.0.0.0,5,Salsi, ,45.206853,25.328443
58:16:D7:D8:F8:7A,2023-05-10 01:39:12,2023-05-10 01:39:17,1,10,WPA2, ,PSK,-58, ,0,0.0.0.0,24,MB Hotspot 15675 2.4 GHz, ,45.206853,25.328443
04:7F:0E:50:52:1A,2023-05-10 01:47:59,2023-05-10 01:47:59,36,60,WPA2, ,PSK,-75, ,0,0.0.0.0,11,EW-CP53d551, ,45.206853,25.328443
30:C3:D9:85:ED:10,2023-05-10 01:48:03,2023-05-10 01:48:03,1,10,WPA2, ,PSK,-54, ,0,0.0.0.0,24,MB Hotspot 25673 2.4 GHz, ,45.206853,25.328443
1A:EB:B6:CB:43:AA,2023-05-09 22:39:13,2023-05-10 01:53:49,5,10,WPA2, ,PSK,-62, ,0,0.0.0.0,16,zEQQ0aa8BtzTtr5Z, ,45.2068529999998,25.3284430000001
14:EB:B6:CB:43:AA,2023-05-09 22:39:19,2023-05-10 01:53:49,5,10,WPA2, ,PSK,-72, ,0,0.0.0.0,24,Pensiunea Valea Iancului, ,45.2068529999998,25.3284430000001
62:FB:00:91:9C:61,2023-05-10 01:54:58,2023-05-10 01:54:58,6,10,WPA2, ,PSK,-76, ,0,0.0.0.0,32,IPCWiFi316Q3Z0G2KGG2AX6J9O6J82YP, ,45.206853,25.328443
DE:13:22:B3:DC:EA,2023-05-10 01:57:42,2023-05-10 01:57:48,1,10,Open, ,,-56, ,0,0.0.0.0,15,Galaxy A02s5352, ,45.206853,25.328443
6E:00:6B:44:CB:FF,2023-05-10 02:00:28,2023-05-10 02:00:44,6,10,Open, ,,-58, ,0,0.0.0.0,15,Airport Shuttle, ,45.206853,25.328443
44:27:F3:A4:F4:49,2023-05-10 02:02:35,2023-05-10 02:03:07,11,10,WPA2, ,PSK,-38, ,0,0.0.0.0,20,70mai_Pro Plus+_f449, ,45.206853,25.328443
B2:00:73:95:90:26,2023-05-10 02:03:00,2023-05-10 02:03:01,157,60,WPA2, ,PSK,-75, ,0,0.0.0.0,16,DIRECT-BMW 80244, ,45.206853,25.328443
48:F0:7B:D8:F7:C1,2023-05-10 02:04:00,2023-05-10 02:04:00,8,10,WPA2, ,PSK,-54, ,0,0.0.0.0,24,MB Hotspot 94917 2.4 GHz, ,45.206853,25.328443
D4:53:83:75:5B:29,2023-05-10 02:04:10,2023-05-10 02:04:15,161,60,WPA2, ,PSK,-58, ,0,0.0.0.0,16,MB Hotspot 08202, ,45.206853,25.328443
2C:73:60:48:98:34,2023-05-10 02:04:21,2023-05-10 02:04:26,1,10,WPA2, ,PSK,-72, ,0,0.0.0.0,18,NAVITEL R1000-e-94, ,45.206853,25.328443
9C:DF:03:9B:B6:BD,2023-05-10 02:14:56,2023-05-10 02:14:56,6,60,WPA2, ,PSK,-70, ,0,0.0.0.0,13,MB WLAN 45462, ,45.206853,25.328443
9E:50:D1:A5:CB:DE,2023-05-10 02:21:05,2023-05-10 02:21:05,6,10,WPA2, ,PSK,-74, ,0,0.0.0.0,13,My Skoda 3459, ,45.206853,25.328443
8A:75:71:B8:93:62,2023-05-10 02:24:54,2023-05-10 02:25:10,6,10,WPA3-TRANSITION, ,,-52, ,0,0.0.0.0,17,8A7571B89362, ,45.206853,25.328443
EE:34:2E:25:0E:49,2023-05-10 00:00:11,2023-05-10 02:29:58,11,10,WPA2, ,PSK,-42, ,0,0.0.0.0,15,Galaxy A02s7929, ,45.206853,25.328443
04:20:84:13:F7:83,2023-05-09 22:48:48,2023-05-10 02:32:42,4,10,WPA2, ,PSK,-82, ,0,0.0.0.0,9,DIGI-UfTb, ,45.206853,25.328443
