BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
9A:49:14:DF:56:FB,2023-05-09 22:43:56,2023-05-09 22:43:58,11,60,WPA2, ,PSK,-73, ,0,0.0.0.0,16,DIRECT-BMW 99307, ,45.206853,25.328443
74:6F:F7:B1:59:FC,2023-05-09 22:43:58,2023-05-09 22:44:01,11,10,WPA2, ,PSK,-48, ,17,0.0.0.0,17,MINI36406 CarPlay, ,45.206853,25.328443
62:E4:08:79:24:D7,2023-05-09 23:10:08,2023-05-09 23:10:19,6,10,WPA2, ,PSK,-56, ,0,0.0.0.0,8,The XIII, ,45.206853,25.328443
32:C3:D9:32:97:3B,2023-05-09 23:31:44,2023-05-09 23:31:50,1,10,WPA2, ,PSK,-48, ,0,0.0.0.0,7,VW WLAN, ,45.206853,25.328443
76:95:EC:9A:FC:7F,2023-05-09 23:40:51,2023-05-09 23:40:51,1,10,WPA2, ,PSK,-84, ,0,0.0.0.0,4,WLAN, ,45.206853,25.328443
B2:00:73:69:88:BA,2023-05-09 23:47:25,2023-05-09 23:47:28,6,60,WPA2, ,PSK,-77, ,0,0.0.0.0,17,DIRECT-MBUX 94496, ,45.206853,25.328443
96:C8:7C:90:D6:BD,2023-05-09 23:59:50,2023-05-10 00:00:00,11,10,WPA2, ,PSK,-50, ,0,0.0.0.0,13,AndroidAP3F80, ,45.206853,25.328443
30:C3:D9:58:42:CB,2023-05-10 00:12:07,2023-05-10 00:12:23,1,10,WPA2, ,PSK,-56, ,0,0.0.0.0,24,MB Hotspot 61123 2.4 GHz, ,45.206853,25.328443
00:54:AF:A0:E4:59,2023-05-10 00:17:16,2023-05-10 00:17:22,12,10,WPA2, ,PSK,-72, ,0,0.0.0.0,11,HotspotE459, ,45.206853,25.328443

