BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
06:0E:3C:68:EF:B8,2023-05-10 03:25:55,2023-05-10 03:25:55,6,60,WPA2, ,PSK,-77, ,0,0.0.0.0,22,DIRECT-B8-HP M428dw LJ, ,45.232799,21.272041
82:CC:10:03:C5:AF,2023-05-10 04:00:59,2023-05-10 04:22:33,11,50,WPA2, ,PSK,-53, ,0,0.0.0.0,13,ST-002B100DC9, ,45.232799,21.2720410000001
00:21:29:AE:C1:E6,2023-05-10 04:19:35,2023-05-10 04:22:33,11,10,Open, ,,-79, ,0,0.0.0.0,17,002129AEC1E6, ,45.232799,21.272041
74:95:EC:43:8E:2A,2023-05-10 03:41:00,2023-05-10 04:44:47,5,10,WPA2, ,PSK,-75, ,0,0.0.0.0,17,WSM00000005205712, ,45.232799,21.272041
16:1B:84:FA:F9:EE,2023-05-10 04:43:42,2023-05-10 04:48:44,6,10,WPA2, ,PSK,-53, ,0,0.0.0.0,6,iPhone, ,45.232799,21.2720410000002
1A:48:CA:73:1F:67,2023-05-10 04:54:28,2023-05-10 04:55:11,6,10,WPA2, ,PSK,-71, ,0,0.0.0.0,13,My Skoda 0899, ,45.232799,21.272041
00:25:00:FF:94:73,2023-05-10 03:33:52,2023-05-10 05:14:16,6,0,, ,,0, ,0,0.0.0.0,17,002500FF9473, ,0,0
88:10:8F:96:41:BA,2023-05-10 03:29:47,2023-05-10 05:15:26,6,10,WPA2, ,PSK,-75, ,0,0.0.0.0,18,Orange Airbox-41BA, ,45.232799,21.272041
14:57:9F:D1:25:9F,2023-05-10 03:25:33,2023-05-10 05:19:58,6,10,WPA2, ,PSK,-75, ,0,0.0.0.0,5,Acila, ,45.232799,21.272041
B0:6E:BF:DA:E6:48,2023-05-10 03:21:25,2023-05-10 05:20:54,6,10,WPA2, ,PSK,-67, ,213,0.0.0.0,3,PIF, ,45.2327989999997,21.2720410000001
F8:D1:11:A6:39:02,2023-05-10 03:24:00,2023-05-10 05:20:56,2,10,WPA2, ,PSK,-57, ,0,0.0.0.0,8,Moravita, ,45.232799,21.2720410000002
08:78:08:9E:19:D8,2023-05-10 04:36:54,2023-05-10 05:20:53,1,10,WPA2, ,PSK,-79, ,0,0.0.0.0,9,AndroidAP, ,45.232799,21.272041
BE:A9:DE:D3:ED:2D,2023-05-10 05:20:20,2023-05-10 05:20:43,6,10,WPA2, ,PSK,-77, ,0,0.0.0.0,15,Galaxy A03s790d, ,45.232799,21.272041
50:2C:C6:99:45:8D,2023-05-10 03:21:24,2023-05-10 05:21:18,1,10,WPA2, ,PSK,-63, ,0,0.0.0.0,8,c699458d, ,45.2327989999984,21.2720410000005
00:1E:42:38:43:E8,2023-05-10 03:21:25,2023-05-10 05:21:18,11,10,WPA2, ,PSK,-45, ,0,0.0.0.0,6,ECC_4G, ,45.2327990000011,21.2720410000008
74:95:EC:42:4A:D2,2023-05-10 03:21:25,2023-05-10 05:21:18,6,10,WPA2, ,PSK,-49, ,0,0.0.0.0,17,WSM00000003302992, ,45.2327990000012,21.2720410000008
A0:F3:C1:A2:1C:50,2023-05-10 03:21:25,2023-05-10 05:21:18,6,110,WPA2, ,PSK,-63, ,181,0.0.0.0,14,TP-LINK_A21C50, ,45.2327989999985,21.2720410000005
B0:E1:7E:A6:DD:0B,2023-05-10 03:21:25,2023-05-10 05:21:15,4,10,WPA2, ,PSK,-77, ,0,0.0.0.0,16,HUAWEI-B315-DD0B, ,45.232799,21.272041
C0:06:C3:65:66:D0,2023-05-10 03:21:26,2023-05-10 05:21:17,2,60,WPA2, ,PSK,-59, ,385,0.0.0.0,12,TP-Link_66D0, ,45.2327989999985,21.2720410000005
1C:59:9B:8E:4C:EC,2023-05-10 03:21:26,2023-05-10 05:21:18,1,10,WPA2, ,PSK,-63, ,0,0.0.0.0,14,Telekom-656468, ,45.2327989999985,21.2720410000005
8C:68:C8:8A:60:64,2023-05-10 03:23:14,2023-05-10 05:21:14,1,10,WPA2, ,PSK,-75, ,9,0.0.0.0,10,Pogranicna, ,45.232799,21.2720410000002
18:A6:F7:C5:63:FE,2023-05-10 03:27:39,2023-05-10 05:21:06,8,10,WPA2, ,PSK,-73, ,0,0.0.0.0,7,delpack, ,45.232799,21.272041
D6:5A:72:52:6D:66,2023-05-10 04:17:58,2023-05-10 05:21:19,11,10,WPA2, ,PSK,-45, ,21,0.0.0.0,15,Galaxy A13 A3D0, ,45.232799,21.272041
02:1A:DB:7A:A7:56,2023-05-10 04:19:37,2023-05-10 05:21:18,1,240,WPA2, ,PSK,-49, ,29,0.0.0.0,16,RajicMedia WLAN2, ,45.2327989999993,21.2720410000002
DE:9B:D6:BD:F6:C8,2023-05-10 04:43:21,2023-05-10 05:21:19,13,10,WPA2, ,PSK,-51, ,22,0.0.0.0,9,Alcatel 1, ,45.2327990000002,21.2720409999997
