BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
2C:05:47:65:69:09,2023-05-10 03:18:03,2023-05-10 03:19:56,6,10,WPA2, ,PSK,-56, ,0,0.0.0.0,15,70mai_M300_6909, ,45.24844,28.013239
7A:5F:67:0A:04:F8,2023-05-10 03:31:24,2023-05-10 03:31:24,3,,, ,,, ,0,0.0.0.0,17,7A5F670A04F8, ,0,0
7A:5F:67:0A:04:F9,2023-05-10 03:39:40,2023-05-10 03:39:40,3,,, ,,, ,0,0.0.0.0,17,7A5F670A04F9, ,0,0
54:E1:05:7C:92:B9,2023-05-10 03:46:08,2023-05-10 03:58:42,48,60,WPA2, ,PSK,-76, ,0,0.0.0.0,9,DIGI-hS4y, ,45.24844,28.013239
56:E1:05:8C:92:B1,2023-05-10 03:46:08,2023-05-10 03:58:42,48,60,WPA2, ,PSK,-76, ,0,0.0.0.0,17,56E1058C92B1, ,45.24844,28.013239
7A:A7:B9:22:0A:F8,2023-05-10 03:01:06,2023-05-10 04:23:15,5,10,WPA2, ,PSK,-78, ,1,0.0.0.0,12,TP-Link_0B00, ,45.24844,28.013239
7A:A7:B9:22:0A:F9,2023-05-10 03:05:24,2023-05-10 04:23:58,5,10,WPA2, ,PSK,-78, ,0,0.0.0.0,17,7AA7B9220AF9, ,45.24844,28.013239
6C:D7:19:1C:DF:F0,2023-05-10 03:50:12,2023-05-10 04:31:49,5,0,, ,,-92, ,1,0.0.0.0,17,6CD7191CDFF0, ,45.24844,28.013239
62:A2:F4:EA:F9:A8,2023-05-10 04:31:46,2023-05-10 04:31:46,4,10,WPA2, ,PSK,-78, ,0,0.0.0.0,6,Bianca, ,45.24844,28.013239
0C:37:47:B4:FE:A0,2023-05-10 04:36:23,2023-05-10 04:36:23,10,0,, ,,-92, ,1,0.0.0.0,17,0C3747B4FEA0, ,45.24844,28.013239
82:EB:B6:23:D3:B4,2023-05-10 03:34:06,2023-05-10 04:40:07,7,10,WPA2, ,PSK,-76, ,0,0.0.0.0,13,Soul_Main_new, ,45.24844,28.013239
D4:B1:10:50:5A:EC,2023-05-10 04:09:05,2023-05-10 04:45:13,6,10,WPA2, ,PSK,-78, ,0,0.0.0.0,9,DIGI-6Xpj, ,45.24844,28.013239
54:E1:05:7C:92:B1,2023-05-10 03:41:54,2023-05-10 04:47:54,4,60,WPA2, ,PSK,-78, ,1,0.0.0.0,9,DIGI-hS4y, ,45.24844,28.013239
0C:37:47:A9:37:6A,2023-05-10 03:01:28,2023-05-10 04:49:32,11,10,WPA2, ,PSK,-76, ,0,0.0.0.0,13,DIGI-02261861, ,45.24844,28.013239
2C:05:47:66:41:C9,2023-05-10 04:56:10,2023-05-10 04:56:10,6,10,WPA2, ,PSK,-72, ,0,0.0.0.0,14,70mai_d06_41c9, ,45.24844,28.013239
82:EB:B6:23:D3:B5,2023-05-10 03:33:45,2023-05-10 04:57:42,7,10,WPA2, ,PSK,-78, ,0,0.0.0.0,17,82EBB623D3B5, ,45.24844,28.013239
CC:32:E5:BC:80:A0,2023-05-10 03:01:06,2023-05-10 04:59:29,1,10,WPA2, ,PSK,-74, ,0,0.0.0.0,12,TP-Link_80A0, ,45.2484399999999,28.013239
AC:22:05:DB:62:73,2023-05-10 03:01:17,2023-05-10 04:59:56,6,10,WPA2, ,PSK,-72, ,0,0.0.0.0,5,cisco, ,45.2484399999999,28.013239
0C:37:47:B5:05:C0,2023-05-10 03:02:43,2023-05-10 04:59:40,3,10,WPA2, ,PSK,-74, ,0,0.0.0.0,8,DIGI-225, ,45.24844,28.013239
D0:17:C2:65:22:6C,2023-05-10 04:39:56,2023-05-10 04:59:34,6,10,WPA2, ,PSK,-76, ,0,0.0.0.0,9,imparatul, ,45.24844,28.013239
CE:15:D2:CB:EE:5F,2023-05-10 04:58:08,2023-05-10 04:59:45,1,10,Open, ,,-56, ,0,0.0.0.0,10,realme C35, ,45.24844,28.013239
88:D2:74:CD:E8:EE,2023-05-10 03:01:17,2023-05-10 05:00:28,4,10,WPA2, ,PSK,-74, ,0,0.0.0.0,8,DIGI-301, ,45.2484399999999,28.013239
6C:A4:D1:3C:EF:48,2023-05-10 03:00:57,2023-05-10 05:00:39,11,10,WPA2, ,PSK,-72, ,9,0.0.0.0,11,DIGI_3cef48, ,45.2484399999999,28.013239
AC:22:05:DB:62:50,2023-05-10 03:01:02,2023-05-10 05:00:51,44,60,WPA2, ,PSK,-81, ,0,0.0.0.0,5,cisco, ,45.2484400000004,28.013239
10:FE:ED:E5:E4:05,2023-05-10 03:01:17,2023-05-10 05:00:50,6,10,WPA2, ,PSK,-76, ,0,0.0.0.0,5,Manny, ,45.2484399999999,28.013239
