BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
D2:5A:65:5C:89:C3,2023-04-22 21:02:30,2023-04-22 21:05:22,6,60,WPA2, ,PSK,-73, ,0,0.0.0.0,20,DESKTOP-R7CVBTF 5938, ,47.510764,22.469132
DA:B4:81:5A:57:B5,2023-04-22 21:05:36,2023-04-22 21:05:46,11,10,WPA2, ,PSK,-50, ,0,0.0.0.0,13,AndroidAP0ECF, ,47.510764,22.469132
56:AB:C7:00:2E:85,2023-04-22 21:01:31,2023-04-22 21:12:13,11,10,WPA2, ,PSK,-58, ,2,0.0.0.0,7,Redmi 9, ,47.510764,22.469132
62:8B:9D:BA:4F:71,2023-04-22 21:02:54,2023-04-22 21:27:53,6,10,WPA2, ,PSK,-30, ,0,0.0.0.0,18,Galaxy Note10+5cab, ,47.510764,22.469132
02:8D:8D:DA:BA:EB,2023-04-22 21:18:13,2023-04-22 21:42:31,1,10,WPA2, ,PSK,-48, ,1,0.0.0.0,13,Redmi Note 8T, ,47.510764,22.469132
8A:5A:85:D9:21:FE,2023-04-22 21:44:10,2023-04-22 21:44:10,149,60,WPA2, ,PSK,-62, ,0,0.0.0.0,17,DIRECT-MBUX 73833, ,47.510764,22.469132
22:CD:F4:8A:BF:50,2023-04-22 21:44:30,2023-04-22 21:44:35,6,10,WPA2, ,PSK,-78, ,0,0.0.0.0,14,Galaxy S222AC0, ,47.510764,22.469132
DA:2B:58:9E:45:57,2023-04-22 21:44:27,2023-04-22 21:45:32,6,10,WPA2, ,PSK,-70, ,0,0.0.0.0,6,iPhone, ,47.510764,22.469132
CE:1C:30:4B:30:3C,2023-04-22 21:09:43,2023-04-22 21:46:20,5,10,WPA2, ,PSK,-48, ,1,0.0.0.0,20,Daniel's Galaxy S10e, ,47.510764,22.469132
00:54:AF:91:E8:B5,2023-04-22 21:10:12,2023-04-22 21:46:41,1,10,WPA2, ,PSK,-50, ,0,0.0.0.0,11,HotspotE8B5, ,47.510764,22.469132
