
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
51:BE:60:23:53:C7,2023-04-22 21:00:56,2023-04-22 21:01:09,0,2,Unknown,Unknown,47.510764,22.469132
4D:00:2D:DB:06:9E,2023-04-22 21:00:59,2023-04-22 21:01:03,-87,3,Unknown,Unknown,47.510764,22.469132
74:A6:82:96:95:98,2023-04-22 21:01:32,2023-04-22 21:01:35,-56,8,Unknown,Unknown,47.510764,22.469132
BE:96:22:00:00:31,2023-04-22 21:01:33,2023-04-22 21:01:41,0,3,Unknown,HRS-MBLEM    ,47.510764,22.469132
3C:5F:56:AF:60:1A,2023-04-22 21:01:38,2023-04-22 21:01:50,-87,5,Unknown,Unknown,47.510764,22.469132
13:14:17:DC:35:D5,2023-04-22 21:01:42,2023-04-22 21:01:42,0,1,Unknown,Unknown,47.510764,22.469132
4C:61:DD:76:DA:CB,2023-04-22 21:01:31,2023-04-22 21:02:16,0,8,Unknown,Unknown,47.510764,22.469132
E0:4B:90:68:8C:D6,2023-04-22 21:01:36,2023-04-22 21:02:18,-76,3,Unknown,Unknown,47.510764,22.469132
59:8D:2A:D8:7A:DB,2023-04-22 21:02:04,2023-04-22 21:02:04,0,1,Unknown,Unknown,47.510764,22.469132
59:8D:2A:D8:7A:DB,2023-04-22 21:02:05,2023-04-22 21:02:12,-86,12,Unknown,Unknown,47.510764,22.469132
4C:61:DD:76:DA:CB,2023-04-22 21:01:26,2023-04-22 21:02:33,-75,61,Unknown,Unknown,47.510764,22.469132
26:8D:60:B6:37:8E,2023-04-22 21:01:31,2023-04-22 21:02:37,-82,30,Unknown,Unknown,47.510764,22.469132
D6:2E:65:97:73:9C,2023-04-22 21:01:31,2023-04-22 21:02:32,-87,6,Unknown,Unknown,47.510764,22.469132
C0:00:00:00:00:6A,2023-04-22 21:02:29,2023-04-22 21:02:33,-66,14,Unknown,LEDCAR-00-0000,47.510764,22.469132
74:67:58:93:7C:5D,2023-04-22 21:03:20,2023-04-22 21:03:20,0,1,Unknown,Unknown,47.510764,22.469132
74:67:58:93:7C:5D,2023-04-22 21:00:32,2023-04-22 21:03:47,-86,56,Unknown,Unknown,47.510764,22.469132
E3:50:61:A8:38:BA,2023-04-22 21:00:39,2023-04-22 21:03:29,-88,2,Unknown,Unknown,47.510764,22.469132
00:80:25:FE:25:BB,2023-04-22 21:00:48,2023-04-22 21:03:27,0,9,Unknown,BM+S50 5BB,47.510764,22.469132
26:BB:CF:85:4F:FA,2023-04-22 21:00:53,2023-04-22 21:03:46,-86,12,Unknown,Unknown,47.510764,22.469132
13:14:17:DC:35:D5,2023-04-22 21:01:25,2023-04-22 21:03:26,-76,28,Unknown,Unknown,47.510764,22.469132
7E:A8:9B:3D:EB:E0,2023-04-22 21:02:03,2023-04-22 21:03:42,0,26,Unknown,Unknown,47.510764,22.469132
7E:A8:9B:3D:EB:E0,2023-04-22 21:02:05,2023-04-22 21:03:37,-83,66,Unknown,Unknown,47.510764,22.469132
6E:AF:32:DA:AC:F5,2023-04-22 21:03:26,2023-04-22 21:03:26,-87,1,Unknown,Unknown,47.510764,22.469132
C5:F1:DA:4E:38:64,2023-04-22 21:04:03,2023-04-22 21:04:03,0,1,Unknown,Unknown,47.510764,22.469132
D6:EC:18:3A:B7:12,2023-04-22 21:01:51,2023-04-22 21:04:27,0,5,Unknown,Unknown,47.510764,22.469132
45:77:E8:00:0F:B5,2023-04-22 21:04:47,2023-04-22 21:04:47,0,1,Unknown,Unknown,47.510764,22.469132
CD:BC:73:46:64:02,2023-04-22 21:04:50,2023-04-22 21:04:50,0,1,Unknown,Unknown,47.510764,22.469132
51:BE:60:23:53:C7,2023-04-22 21:00:51,2023-04-22 21:05:09,-84,41,Unknown,Unknown,47.510764,22.469132
C5:F1:DA:4E:38:64,2023-04-22 21:00:57,2023-04-22 21:05:20,-86,9,Unknown,Unknown,47.510764,22.469132
00:80:25:FE:25:CD,2023-04-22 21:01:31,2023-04-22 21:04:58,0,19,Unknown,BM+S50 5CD,47.510764,22.469132
7E:B9:05:EF:1C:71,2023-04-22 21:04:58,2023-04-22 21:05:19,0,2,Unknown,Unknown,47.510764,22.469132
53:0E:39:7E:B2:6C,2023-04-22 21:02:20,2023-04-22 21:05:55,-73,74,Unknown,Unknown,47.510764,22.469132
3E:AF:9C:C7:69:E6,2023-04-22 21:04:39,2023-04-22 21:05:37,0,12,Unknown,Unknown,47.510764,22.469132
6D:3E:96:63:BB:5F,2023-04-22 21:05:27,2023-04-22 21:05:40,-86,10,Unknown,Unknown,47.510764,22.469132
60:F7:3A:6F:D2:8B,2023-04-22 21:05:37,2023-04-22 21:05:37,0,1,Unknown,Unknown,47.510764,22.469132
5F:85:E4:30:79:BC,2023-04-22 21:02:04,2023-04-22 21:06:13,-71,155,Unknown,Unknown,47.510764,22.469132
5F:85:E4:30:79:BC,2023-04-22 21:04:36,2023-04-22 21:06:08,0,14,Unknown,Unknown,47.510764,22.469132
C8:C1:E9:B6:3B:86,2023-04-22 21:06:03,2023-04-22 21:06:13,0,5,Unknown,EASYWAY-BLE,47.510764,22.469132
C8:C1:E9:B6:3B:86,2023-04-22 21:06:06,2023-04-22 21:06:10,-82,14,Unknown,Unknown,47.510764,22.469132
