
BTLE Station MAC,BTLE First Time Seen,BTLE Last Time Seen,BTLE Power,BTLE #Packets,BTLE BSSID,BTLE ESSID,BTLE Latitudine,BTLE Longitudine
7A:43:14:78:4D:85,2023-05-10 03:00:57,2023-05-10 03:01:02,-87,10,Unknown,Unknown,43.542586,25.595436
63:2E:86:BF:C7:2B,2023-05-10 03:01:02,2023-05-10 03:01:07,-86,9,Unknown,Unknown,43.542586,25.595436
E8:FE:D6:82:C2:0F,2023-05-10 03:01:03,2023-05-10 03:01:04,-87,4,Unknown,Unknown,43.542586,25.595436
FE:9C:B0:E0:A6:A7,2023-05-10 03:01:28,2023-05-10 03:01:28,-87,1,Unknown,Unknown,43.542586,25.595436
28:F6:CB:AB:00:7E,2023-05-10 03:01:34,2023-05-10 03:01:34,-87,1,Unknown,Unknown,43.542586,25.595436
5E:68:2B:64:7C:B9,2023-05-10 03:02:03,2023-05-10 03:02:03,-88,1,Unknown,Unknown,43.542586,25.595436
E9:81:C1:E7:CE:BE,2023-05-10 03:02:03,2023-05-10 03:02:39,-86,5,Unknown,Unknown,43.542586,25.595436
C6:7D:2D:A0:94:5F,2023-05-10 03:00:57,2023-05-10 03:03:08,-84,57,Unknown,Kensa,43.542586,25.595436
C6:7D:2D:A0:94:5F,2023-05-10 03:01:28,2023-05-10 03:02:58,0,5,Unknown,Kensa,43.542586,25.595436
ED:54:ED:16:86:D4,2023-05-10 03:02:41,2023-05-10 03:02:57,-86,4,Unknown,Unknown,43.542586,25.595436
5F:A8:BB:5D:A2:BE,2023-05-10 03:01:40,2023-05-10 03:03:39,-87,5,Unknown,Unknown,43.542586,25.595436
7D:63:D4:1C:F0:76,2023-05-10 03:00:56,2023-05-10 03:03:58,-79,65,Unknown,Galaxy Watch4 Classic (P18W),43.542586,25.595436
7D:63:D4:1C:F0:76,2023-05-10 03:02:11,2023-05-10 03:03:55,0,12,Unknown,Galaxy Watch4 Classic (P18W),43.542586,25.595436
2F:DC:10:58:5F:A6,2023-05-10 03:04:03,2023-05-10 03:04:04,-86,3,Unknown,Unknown,43.542586,25.595436
59:C8:56:97:E4:77,2023-05-10 03:04:03,2023-05-10 03:04:12,-87,4,Unknown,Unknown,43.542586,25.595436
DB:14:26:48:EC:EE,2023-05-10 03:04:03,2023-05-10 03:04:05,-87,2,Unknown,Unknown,43.542586,25.595436
69:53:92:A4:99:C0,2023-05-10 03:01:46,2023-05-10 03:04:46,-86,31,Unknown,Unknown,43.542586,25.595436
EE:91:C5:11:DE:1C,2023-05-10 03:04:33,2023-05-10 03:04:33,-87,1,Unknown,Unknown,43.542586,25.595436
62:8B:8D:14:8C:27,2023-05-10 03:03:57,2023-05-10 03:04:59,-88,3,Unknown,Unknown,43.542586,25.595436
62:B8:9B:BB:93:78,2023-05-10 03:04:57,2023-05-10 03:04:57,0,1,Unknown,Unknown,43.542586,25.595436
5A:FF:E7:61:96:82,2023-05-10 03:04:44,2023-05-10 03:05:49,-86,12,Unknown,Unknown,43.542586,25.595436
40:B1:85:57:14:1F,2023-05-10 03:05:20,2023-05-10 03:05:38,-86,7,Unknown,Unknown,43.542586,25.595436
DD:9E:DD:A4:CC:3B,2023-05-10 03:05:21,2023-05-10 03:05:26,-86,3,Unknown,FMB920_0104186_LE,43.542586,25.595436
51:8C:E3:B1:57:F5,2023-05-10 03:05:22,2023-05-10 03:05:38,-86,22,Unknown,Unknown,43.542586,25.595436
5C:C4:2F:AE:F6:F0,2023-05-10 03:05:23,2023-05-10 03:05:37,-86,28,Unknown,Unknown,43.542586,25.595436
F9:18:40:F1:62:18,2023-05-10 03:05:24,2023-05-10 03:05:32,-86,3,Unknown,Unknown,43.542586,25.595436
57:37:D4:18:96:44,2023-05-10 03:05:26,2023-05-10 03:05:32,-87,3,Unknown,Unknown,43.542586,25.595436
F5:22:44:5D:79:33,2023-05-10 03:05:27,2023-05-10 03:05:33,-87,2,Unknown,Unknown,43.542586,25.595436
56:EF:25:16:00:6D,2023-05-10 03:05:28,2023-05-10 03:05:31,-87,7,Unknown,Unknown,43.542586,25.595436
F9:FE:BA:2A:68:7A,2023-05-10 03:05:30,2023-05-10 03:05:30,-87,1,Unknown,Unknown,43.542586,25.595436
F9:18:40:F1:62:18,2023-05-10 03:05:32,2023-05-10 03:05:32,0,1,Unknown,Unknown,43.542586,25.595436
F0:3B:C8:F8:5D:44,2023-05-10 03:05:34,2023-05-10 03:05:38,-87,3,Unknown,Unknown,43.542586,25.595436
5F:2E:D6:F6:5D:02,2023-05-10 03:05:56,2023-05-10 03:06:04,-80,139,Unknown,Unknown,43.542586,25.595436
5F:2E:D6:F6:5D:02,2023-05-10 03:05:58,2023-05-10 03:06:05,0,19,Unknown,Unknown,43.542586,25.595436
76:E0:3E:53:11:15,2023-05-10 03:06:56,2023-05-10 03:07:01,-86,10,Unknown,Unknown,43.542586,25.595436
D4:85:82:AE:26:9D,2023-05-10 03:08:05,2023-05-10 03:08:05,-88,1,Unknown,Unknown,43.542586,25.595436
48:E7:91:83:51:4A,2023-05-10 03:01:00,2023-05-10 03:09:00,-85,55,Unknown,Unknown,43.542586,25.595436
62:B8:9B:BB:93:78,2023-05-10 03:04:44,2023-05-10 03:09:03,-84,26,Unknown,Unknown,43.542586,25.595436
5E:DF:63:7C:C8:94,2023-05-10 03:09:08,2023-05-10 03:09:08,-86,1,Unknown,Unknown,43.542586,25.595436
EA:76:73:A3:5A:3F,2023-05-10 03:03:49,2023-05-10 03:09:29,-88,3,Unknown,Unknown,43.542586,25.595436
5B:40:FC:DC:B1:2D,2023-05-10 03:03:48,2023-05-10 03:09:56,-86,7,Unknown,Unknown,43.542586,25.595436
62:A1:82:DD:80:E5,2023-05-10 03:04:42,2023-05-10 03:10:03,-75,106,Unknown,Unknown,43.542586,25.595436
62:A1:82:DD:80:E5,2023-05-10 03:05:37,2023-05-10 03:10:03,0,17,Unknown,Unknown,43.542586,25.595436
34:F0:EB:D5:3D:E2,2023-05-10 03:09:37,2023-05-10 03:10:10,-87,2,Unknown,Unknown,43.542586,25.595436
51:93:A5:BE:1C:F9,2023-05-10 03:07:55,2023-05-10 03:10:40,-82,25,Unknown,Unknown,43.542586,25.595436
D5:A3:04:94:F0:65,2023-05-10 03:10:21,2023-05-10 03:10:29,-86,2,Unknown,Unknown,43.542586,25.595436
5C:E5:0C:94:10:B3,2023-05-10 03:10:32,2023-05-10 03:10:33,-82,7,Unknown,Unknown,43.542586,25.595436
DF:39:75:CB:BD:A4,2023-05-10 03:11:02,2023-05-10 03:11:02,-88,1,Unknown,Unknown,43.542586,25.595436
E4:AC:4A:21:37:CE,2023-05-10 03:11:19,2023-05-10 03:12:16,-87,3,Unknown,FMB920_9967510_LE,43.542586,25.595436
DB:81:B7:14:4D:C3,2023-05-10 03:04:57,2023-05-10 03:12:44,-88,2,Unknown,Unknown,43.542586,25.595436
D7:D2:1A:2A:DB:79,2023-05-10 03:12:44,2023-05-10 03:12:44,-88,1,Unknown,Unknown,43.542586,25.595436
F7:B4:AB:1A:B6:87,2023-05-10 03:03:24,2023-05-10 03:12:58,-86,23,Unknown,Unknown,43.542586,25.595436
77:EB:25:70:B8:A9,2023-05-10 03:12:56,2023-05-10 03:13:04,-87,8,Unknown,Unknown,43.542586,25.595436
FC:7C:0B:E0:D0:1E,2023-05-10 03:13:05,2023-05-10 03:13:05,-87,1,Unknown,Unknown,43.542586,25.595436
C0:21:14:1B:39:5D,2023-05-10 03:01:00,2023-05-10 03:13:41,-85,23,Unknown,Unknown,43.542586,25.595436
DD:BF:F1:59:A6:F0,2023-05-10 03:01:01,2023-05-10 03:13:37,-86,23,Unknown,Unknown,43.542586,25.595436
EB:92:50:55:1E:BC,2023-05-10 03:04:10,2023-05-10 03:13:51,-81,8,Unknown,Unknown,43.542586,25.595436
4D:0B:1C:2B:E0:D6,2023-05-10 03:06:04,2023-05-10 03:13:45,-87,19,Unknown,Unknown,43.542586,25.595436
CC:CA:E5:57:98:94,2023-05-10 03:08:34,2023-05-10 03:13:44,-79,842,Unknown,WT-0001,43.542586,25.5954359999999
CC:CA:E5:57:98:94,2023-05-10 03:09:59,2023-05-10 03:13:39,0,62,Unknown,WT-0001,43.542586,25.595436
6F:6F:90:A5:92:34,2023-05-10 03:13:59,2023-05-10 03:14:01,-87,4,Unknown,Unknown,43.542586,25.595436
