
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
82:B4:03:7F:2E:CD,2023-05-10 04:18:53,2023-05-10 04:18:53,-72,4,(not associated),47.082503,27.401816,
F8:AB:82:09:76:91,2023-05-10 04:18:58,2023-05-10 04:18:58,-80,2,(not associated),47.082503,27.401816,
36:79:D5:16:A6:C9,2023-05-10 04:19:00,2023-05-10 04:19:00,-86,1,(not associated),47.082503,27.401816,
E2:28:29:9B:EA:B4,2023-05-10 04:19:11,2023-05-10 04:19:11,-83,2,(not associated),47.082503,27.401816,DIGI-fMAf
2E:66:0C:20:D7:32,2023-05-10 04:19:14,2023-05-10 04:19:14,-72,2,(not associated),47.082503,27.401816,
B6:BD:82:33:48:CF,2023-05-10 04:19:14,2023-05-10 04:19:15,-72,3,(not associated),47.082503,27.401816,
8A:20:9B:5B:EF:98,2023-05-10 04:19:20,2023-05-10 04:19:21,-76,12,(not associated),47.082503,27.401816,
F2:A1:51:39:91:2F,2023-05-10 04:19:29,2023-05-10 04:19:29,-71,1,(not associated),47.082503,27.401816,
26:9B:3C:E7:9E:B2,2023-05-10 04:19:31,2023-05-10 04:19:31,-78,1,(not associated),47.082503,27.401816,
AA:AA:D9:8B:EC:05,2023-05-10 04:19:37,2023-05-10 04:19:37,-50,3,(not associated),47.082503,27.401816,Telekom-BFFE
92:4D:72:7B:AB:42,2023-05-10 04:19:39,2023-05-10 04:19:39,-79,4,(not associated),47.082503,27.401816,Telekom-BFFE
E6:71:26:A3:03:D3,2023-05-10 04:19:42,2023-05-10 04:19:42,0,0,(not associated),0,0,
AE:16:65:F0:6B:D9,2023-05-10 04:19:52,2023-05-10 04:19:52,-74,4,(not associated),47.082503,27.401816,
42:77:FA:C1:BE:4B,2023-05-10 04:19:56,2023-05-10 04:19:56,-58,3,(not associated),47.082503,27.401816,
A2:F0:D8:56:97:E9,2023-05-10 04:20:00,2023-05-10 04:20:00,-78,3,(not associated),47.082503,27.401816,
D2:7E:83:30:CF:60,2023-05-10 04:20:03,2023-05-10 04:20:03,-72,1,(not associated),47.082503,27.401816,
9A:50:22:CB:C7:F9,2023-05-10 04:20:05,2023-05-10 04:20:05,-83,1,(not associated),47.082503,27.401816,
72:C9:FF:5B:25:51,2023-05-10 04:20:05,2023-05-10 04:20:05,-78,1,(not associated),47.082503,27.401816,
02:0E:61:89:F0:4D,2023-05-10 04:20:05,2023-05-10 04:20:05,-69,2,(not associated),47.082503,27.401816,
C2:09:8C:3F:6E:63,2023-05-10 04:20:05,2023-05-10 04:20:05,-76,1,(not associated),47.082503,27.401816,
DA:A1:19:EF:A5:F4,2023-05-10 04:20:16,2023-05-10 04:20:16,-83,1,(not associated),47.082503,27.401816,
FE:E4:74:C3:7E:87,2023-05-10 04:20:19,2023-05-10 04:20:19,-81,2,(not associated),47.082503,27.401816,
40:0E:67:50:1C:EB,2023-05-10 04:20:21,2023-05-10 04:20:21,-54,1,(not associated),47.082503,27.401816,111
F2:C9:CA:30:CD:4D,2023-05-10 04:20:35,2023-05-10 04:20:35,-78,1,(not associated),47.082503,27.401816,
DA:3B:9F:16:06:11,2023-05-10 04:20:35,2023-05-10 04:20:35,-73,2,(not associated),47.082503,27.401816,
92:8C:62:05:DC:12,2023-05-10 04:20:35,2023-05-10 04:20:35,-67,2,(not associated),47.082503,27.401816,
06:80:1E:B2:78:0E,2023-05-10 04:20:53,2023-05-10 04:20:53,-75,2,(not associated),47.082503,27.401816,
5E:E0:39:95:C6:6D,2023-05-10 04:21:03,2023-05-10 04:21:03,-54,5,(not associated),47.082503,27.401816,
0E:08:C6:A0:9A:37,2023-05-10 04:21:09,2023-05-10 04:21:09,-78,1,(not associated),47.082503,27.401816,AndroidShare_2023
72:93:8C:33:39:70,2023-05-10 04:21:10,2023-05-10 04:21:10,-82,1,(not associated),47.082503,27.401816,
BA:9C:EB:F7:86:F0,2023-05-10 04:21:10,2023-05-10 04:21:10,-81,2,(not associated),47.082503,27.401816,
6A:01:09:5D:0A:BD,2023-05-10 04:21:11,2023-05-10 04:21:11,-79,2,(not associated),47.082503,27.401816,
DA:A1:19:96:C1:0D,2023-05-10 04:21:24,2023-05-10 04:21:24,-80,1,(not associated),47.082503,27.401816,
DA:A1:19:CA:DA:AD,2023-05-10 04:21:25,2023-05-10 04:21:25,0,0,(not associated),0,0,
22:69:80:63:3A:64,2023-05-10 04:21:30,2023-05-10 04:21:33,0,0,66:38:55:70:42:D7,0,0,
40:0E:67:50:1D:6B,2023-05-10 04:21:35,2023-05-10 04:21:35,-44,3,(not associated),47.082503,27.401816,111
F2:4B:AD:8F:1F:59,2023-05-10 04:21:42,2023-05-10 04:21:43,-78,6,(not associated),47.082503,27.401816,Galaxi a03
00:08:22:06:F4:FB,2023-05-10 04:21:01,2023-05-10 04:21:51,-62,0,66:38:55:70:42:D7,47.082503,27.401816,
20:69:80:36:21:28,2023-05-10 04:21:45,2023-05-10 04:21:45,-83,1,(not associated),47.082503,27.401816,
82:D1:69:96:BD:D8,2023-05-10 04:21:52,2023-05-10 04:21:52,-54,4,(not associated),47.082503,27.401816,
9E:68:A5:52:B7:A6,2023-05-10 04:21:52,2023-05-10 04:21:52,-88,1,(not associated),47.082503,27.401816,
2A:58:C1:B6:11:59,2023-05-10 04:21:55,2023-05-10 04:21:55,-80,1,(not associated),47.082503,27.401816,
1A:6D:5A:39:6A:05,2023-05-10 04:21:57,2023-05-10 04:21:57,-72,1,(not associated),47.082503,27.401816,CatenaOaspeti
DA:B0:53:5B:6F:71,2023-05-10 04:22:00,2023-05-10 04:22:00,0,0,(not associated),0,0,
4A:AC:67:DA:BA:42,2023-05-10 04:22:12,2023-05-10 04:22:12,-76,2,(not associated),47.082503,27.401816,
7A:30:20:52:C2:FC,2023-05-10 04:21:54,2023-05-10 04:22:28,-64,5,(not associated),47.082503,27.401816,
FE:52:D1:5A:D5:B9,2023-05-10 04:22:15,2023-05-10 04:22:15,0,0,(not associated),0,0,
CE:D7:66:19:67:F2,2023-05-10 04:22:19,2023-05-10 04:22:19,-73,8,(not associated),47.082503,27.401816,
02:CF:75:CC:21:08,2023-05-10 04:22:29,2023-05-10 04:22:29,0,0,(not associated),0,0,
1E:A8:3E:C7:52:B4,2023-05-10 04:22:30,2023-05-10 04:22:30,-60,1,(not associated),47.082503,27.401816,
68:E7:C2:99:90:7D,2023-05-10 04:22:45,2023-05-10 04:22:45,-44,7,(not associated),47.082503,27.401816,DIGI-T2dR,2m9X5dWP
DA:A1:19:28:66:80,2023-05-10 04:23:00,2023-05-10 04:23:01,-70,3,(not associated),47.082503,27.401816,NEXTBASE 300W 79E
74:EB:80:2A:96:5C,2023-05-10 04:23:01,2023-05-10 04:23:01,-72,0,34:75:63:F6:47:9E,47.082503,27.401816,
22:8C:EF:0E:5F:E6,2023-05-10 04:23:10,2023-05-10 04:23:10,0,0,(not associated),0,0,
B6:D9:C4:26:02:23,2023-05-10 04:23:10,2023-05-10 04:23:10,-77,1,(not associated),47.082503,27.401816,
9A:C2:70:3E:B4:F5,2023-05-10 04:23:13,2023-05-10 04:23:13,-74,3,(not associated),47.082503,27.401816,Orange-NTw5-2.4G,Orange Wi-Fi
A2:F4:52:32:19:E1,2023-05-10 04:23:28,2023-05-10 04:23:28,-74,1,(not associated),47.082503,27.401816,
DA:A1:19:0B:93:87,2023-05-10 04:23:28,2023-05-10 04:23:29,-40,9,(not associated),47.082503,27.401816,
0A:99:F8:88:CC:7D,2023-05-10 04:23:40,2023-05-10 04:23:40,-77,2,(not associated),47.082503,27.401816,
BE:31:DB:9B:FB:E4,2023-05-10 04:21:19,2023-05-10 04:24:01,-74,3,(not associated),47.082503,27.401816,digi
F0:9C:E9:78:96:14,2023-05-10 04:23:50,2023-05-10 04:23:50,0,0,(not associated),0,0,
00:0C:E7:74:3D:4E,2023-05-10 04:23:50,2023-05-10 04:23:50,0,0,(not associated),0,0,
DA:A1:19:4C:25:E5,2023-05-10 04:23:54,2023-05-10 04:23:54,-81,2,(not associated),47.082503,27.401816,
04:D6:AA:10:1A:14,2023-05-10 04:24:01,2023-05-10 04:24:01,-76,2,(not associated),47.082503,27.401816,GW_AP_21311087,tara roscani
4E:23:9E:3E:38:C7,2023-05-10 04:24:27,2023-05-10 04:24:27,-74,1,(not associated),47.082503,27.401816,orengi
9C:8D:7C:86:48:6F,2023-05-10 04:24:38,2023-05-10 04:24:38,-56,2,(not associated),47.082503,27.401816,
2A:95:AE:A1:2B:35,2023-05-10 04:24:39,2023-05-10 04:24:39,-86,1,(not associated),47.082503,27.401816,
8E:F1:12:0F:2A:19,2023-05-10 04:24:54,2023-05-10 04:24:54,-80,1,(not associated),47.082503,27.401816,
8A:DD:76:E8:D6:35,2023-05-10 04:24:59,2023-05-10 04:24:59,-76,30,(not associated),47.082503,27.401816,7777,49B3RL7D1Q5,E5576,82827e82va,Alice-48211861,82827E82BA,A32 von Vadim,82826E82BA,91625658713740976509
DA:A1:19:20:59:CA,2023-05-10 04:25:11,2023-05-10 04:25:11,-72,1,(not associated),47.082503,27.401816,
56:C7:DA:B7:09:4C,2023-05-10 04:25:12,2023-05-10 04:25:12,-75,1,(not associated),47.082503,27.401816,
8C:86:1E:CB:AB:D7,2023-05-10 04:25:05,2023-05-10 04:25:18,-59,0,B0:D8:88:21:B0:09,47.082503,27.401816,
DA:A1:19:3C:6C:30,2023-05-10 04:25:15,2023-05-10 04:25:15,0,0,(not associated),0,0,
