
Station MAC,First Time Seen,Last Time Seen,Power,#Packets,BSSID,Latitudine,Longitudine,Probed ESSID
96:86:5A:7C:1E:6E,2023-05-10 03:01:30,2023-05-10 03:01:30,0,0,(not associated),0,0,
BE:1C:2B:6E:E7:FB,2023-05-10 03:02:02,2023-05-10 03:02:02,-76,1,(not associated),43.443634,28.33644,
F6:11:DB:F6:39:1D,2023-05-10 03:03:05,2023-05-10 03:03:06,-62,7,(not associated),43.443634,28.33644,
86:00:01:68:E6:A7,2023-05-10 03:03:07,2023-05-10 03:03:07,-60,1,(not associated),43.443634,28.33644,
E6:9C:2D:C6:AC:89,2023-05-10 03:04:11,2023-05-10 03:04:12,0,0,(not associated),0,0,
4C:DD:31:09:8D:EF,2023-05-10 03:05:30,2023-05-10 03:05:30,0,0,(not associated),0,0,
FA:D0:F7:D1:21:FE,2023-05-10 03:06:09,2023-05-10 03:06:09,-48,1,(not associated),43.443634,28.33644,
00:0C:E7:A2:0D:FE,2023-05-10 03:06:56,2023-05-10 03:06:56,0,0,(not associated),0,0,
DA:A1:19:B1:25:D1,2023-05-10 03:07:58,2023-05-10 03:07:58,-75,2,(not associated),43.443634,28.33644,
C6:DE:A5:3D:47:02,2023-05-10 03:08:06,2023-05-10 03:08:07,-53,5,(not associated),43.443634,28.33644,
B2:76:09:94:62:1E,2023-05-10 03:08:57,2023-05-10 03:08:57,0,0,(not associated),0,0,
68:A0:3E:5D:60:3D,2023-05-10 03:09:02,2023-05-10 03:09:02,0,0,68:A0:3E:5D:60:3E,0,0,
E0:9D:13:27:8C:45,2023-05-10 03:09:02,2023-05-10 03:09:02,0,0,68:A0:3E:5D:60:3E,0,0,
22:C9:37:AA:6D:F1,2023-05-10 03:09:13,2023-05-10 03:09:13,0,0,(not associated),0,0,
FA:0C:41:A0:C3:6D,2023-05-10 03:09:13,2023-05-10 03:09:13,0,0,(not associated),0,0,
3A:DC:2C:7A:DD:78,2023-05-10 03:09:29,2023-05-10 03:09:29,-42,1,(not associated),43.443634,28.33644,
D2:79:AD:65:BF:49,2023-05-10 03:09:34,2023-05-10 03:09:34,0,0,(not associated),0,0,
62:6C:C6:4F:DA:8D,2023-05-10 03:09:39,2023-05-10 03:09:39,0,0,(not associated),0,0,
9A:22:A9:C0:57:D7,2023-05-10 03:09:50,2023-05-10 03:09:50,-72,2,(not associated),43.443634,28.33644,
2A:97:2E:FA:70:DF,2023-05-10 03:10:43,2023-05-10 03:10:43,-49,9,(not associated),43.443634,28.33644,
0A:D7:DF:19:C1:E9,2023-05-10 03:11:16,2023-05-10 03:11:16,-44,5,(not associated),43.443634,28.33644,
C2:25:9B:44:BC:EC,2023-05-10 03:11:16,2023-05-10 03:11:16,-80,1,(not associated),43.443634,28.33644,
EE:E0:7D:8A:9C:EB,2023-05-10 03:11:43,2023-05-10 03:11:43,-58,1,(not associated),43.443634,28.33644,iPhone
16:65:5E:A2:DE:A7,2023-05-10 03:11:54,2023-05-10 03:11:54,-44,4,(not associated),43.443634,28.33644,
56:B6:2D:80:90:BC,2023-05-10 03:12:05,2023-05-10 03:12:05,-76,1,(not associated),43.443634,28.33644,
22:29:E2:05:60:C0,2023-05-10 03:12:10,2023-05-10 03:12:10,-58,1,(not associated),43.443634,28.33644,
DA:60:CA:7F:5F:63,2023-05-10 03:12:42,2023-05-10 03:12:42,-64,1,(not associated),43.443634,28.33644,
22:20:B8:82:BD:DC,2023-05-10 03:13:40,2023-05-10 03:13:40,-72,1,(not associated),43.443634,28.33644,
7E:51:79:EE:D6:5A,2023-05-10 03:13:41,2023-05-10 03:13:41,-73,1,(not associated),43.443634,28.33644,
A2:71:BA:BF:9B:CA,2023-05-10 03:14:07,2023-05-10 03:14:07,-72,3,(not associated),43.443634,28.33644,
AA:2F:DC:1B:9F:40,2023-05-10 03:15:00,2023-05-10 03:15:01,-68,8,(not associated),43.443634,28.33644,
AA:4F:95:3A:BA:92,2023-05-10 03:16:17,2023-05-10 03:16:17,-78,1,(not associated),43.443634,28.33644,
6A:60:AA:D5:C0:87,2023-05-10 03:16:17,2023-05-10 03:16:17,-50,1,(not associated),43.443634,28.33644,
4A:8C:D4:DE:5A:DE,2023-05-10 03:17:48,2023-05-10 03:17:48,-47,2,(not associated),43.443634,28.33644,
0A:FE:28:AB:52:BA,2023-05-10 03:19:14,2023-05-10 03:19:15,-34,9,(not associated),43.443634,28.33644,
