BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
C0:25:2F:9E:92:62,2023-05-10 03:01:00,2023-05-10 03:01:48,48,60,WPA2, ,PSK,-72, ,0,0.0.0.0,16,MERCUSYS_9260_5G, ,47.061954,27.335712
C0:25:2F:9E:92:60,2023-05-10 03:01:05,2023-05-10 03:01:48,48,10,WPA2, ,PSK,-42, ,1,0.0.0.0,13,MERCUSYS_9260, ,47.061954,27.335712
B4:E8:42:FD:28:04,2023-05-10 03:01:26,2023-05-10 03:01:26,5,10,Open, ,,-74, ,0,0.0.0.0,16,LEDnet0008FD2804, ,47.061954,27.335712
0C:CF:89:EA:90:CB,2023-05-10 03:03:07,2023-05-10 03:03:28,1,10,WPA2, ,PSK,-34, ,0,0.0.0.0,14,70mai_d06_90cb, ,47.061954,27.335712
EE:C0:C6:B4:22:6B,2023-05-10 03:03:56,2023-05-10 03:04:12,11,10,WPA2, ,PSK,-56, ,0,0.0.0.0,14,Galaxy A516776, ,47.061954,27.335712
44:27:F3:15:0A:31,2023-05-10 03:05:31,2023-05-10 03:05:37,3,10,WPA2, ,PSK,-42, ,0,0.0.0.0,14,70mai_d02_0a31, ,47.061954,27.335712
0C:CF:89:83:3A:D6,2023-05-10 03:05:47,2023-05-10 03:05:47,1,10,WPA2, ,PSK,-50, ,0,0.0.0.0,14,70mai_d06_3ad6, ,47.061954,27.335712
2C:05:47:6B:AF:17,2023-05-10 03:05:37,2023-05-10 03:06:09,6,10,WPA2, ,PSK,-48, ,0,0.0.0.0,14,70mai_d06_af17, ,47.061954,27.335712
1A:EB:B6:C8:24:5E,2023-05-10 03:06:09,2023-05-10 03:06:09,8,10,WPA2, ,PSK,-76, ,0,0.0.0.0,17,1AEBB6C8245E, ,47.061954,27.335712
9A:F4:51:8B:F5:57,2023-05-10 03:06:40,2023-05-10 03:07:02,1,10,WPA2, ,PSK,-58, ,5,0.0.0.0,13,AndroidAPF018, ,47.061954,27.335712
00:1E:42:19:5B:B3,2023-05-10 03:07:12,2023-05-10 03:07:12,1,10,Open, ,,-46, ,0,0.0.0.0,12,Orange Wi-Fi, ,47.061954,27.335712
44:27:F3:5B:E3:D4,2023-05-10 03:07:56,2023-05-10 03:08:01,11,10,WPA2, ,PSK,-46, ,0,0.0.0.0,20,70mai_Pro Plus+_e3d4, ,47.061954,27.335712
48:D8:90:BA:1D:2A,2023-05-10 03:12:43,2023-05-10 03:12:43,6,10,WPA2, ,PSK,-46, ,0,0.0.0.0,18,DDPAI_mola_N3_1D2A, ,47.061954,27.335712
00:26:B4:DE:20:0C,2023-05-10 03:13:47,2023-05-10 03:13:47,1,10,WPA2, ,PSK,-58, ,0,0.0.0.0,13,SYNC_XV1CT1T5, ,47.061954,27.335712
04:9F:CA:77:4D:B0,2023-05-10 03:14:30,2023-05-10 03:14:30,1,10,WPA2, ,PSK,-78, ,0,0.0.0.0,9,DIGI-CCEE, ,47.061954,27.335712
48:7A:FF:64:55:42,2023-05-10 03:14:45,2023-05-10 03:14:45,153,60,WPA2, ,PSK,-61, ,0,0.0.0.0,12,Hyundai_Akk7, ,47.061954,27.335712
C4:86:E9:51:5D:22,2023-05-10 03:15:02,2023-05-10 03:15:02,11,,, ,,, ,0,0.0.0.0,17,C486E9515D22, ,0,0
76:95:EC:E2:F1:6D,2023-05-10 03:15:44,2023-05-10 03:15:50,1,10,WPA2, ,PSK,-38, ,0,0.0.0.0,4,WLAN, ,47.061954,27.335712
AE:E2:D3:41:55:4A,2023-05-10 03:02:35,2023-05-10 03:16:27,6,60,WPA2, ,PSK,-56, ,0,0.0.0.0,32,DIRECT-4A-HP DeskJet 5000 series, ,47.061954,27.335712
14:01:52:B0:6F:36,2023-05-10 03:17:04,2023-05-10 03:17:04,6,10,Open, ,,-52, ,0,0.0.0.0,15,Galaxy A20s8079, ,47.061954,27.335712
34:2C:C4:35:E6:B3,2023-05-10 03:14:30,2023-05-10 03:18:03,1,10,WPA2, ,PSK,-76, ,0,0.0.0.0,10,UPC4089714, ,47.061954,27.335712
34:60:F9:E3:B7:A7,2023-05-10 03:17:32,2023-05-10 03:18:04,36,60,WPA2, ,PSK,-61, ,0,0.0.0.0,14,IZVORAS_Ext_5G, ,47.061954,27.335712
72:A2:F4:89:FE:49,2023-05-10 03:19:34,2023-05-10 03:19:34,7,10,WPA2, ,PSK,-76, ,0,0.0.0.0,17,72A2F489FE49, ,47.061954,27.335712
74:DA:DA:35:96:BA,2023-05-10 03:19:34,2023-05-10 03:19:34,11,,, ,,, ,0,0.0.0.0,17,74DADA3596BA, ,0,0
00:1E:42:19:90:49,2023-05-10 03:21:15,2023-05-10 03:21:15,6,10,Open, ,,-58, ,0,0.0.0.0,12,Orange Wi-Fi, ,47.061954,27.335712
88:12:AC:BB:55:20,2023-05-10 03:22:30,2023-05-10 03:22:36,36,60,WPA2, ,PSK,-69, ,0,0.0.0.0,7,DACIABE, ,47.061954,27.335712
D2:40:EF:B8:09:17,2023-05-10 03:23:59,2023-05-10 03:23:59,153,60,WPA2, ,PSK,-76, ,0,0.0.0.0,13,My Skoda 2965, ,47.061954,27.335712
24:4C:07:B6:D3:64,2023-05-10 03:24:48,2023-05-10 03:24:48,1,10,, ,,-78, ,0,0.0.0.0,17,244C07B6D364, ,47.061954,27.335712
16:27:F5:19:92:3A,2023-05-10 03:05:36,2023-05-10 03:25:57,1,10,WPA2, ,PSK,-60, ,0,0.0.0.0,17,1627F519923A, ,47.061954,27.335712
44:27:F3:AF:40:10,2023-05-10 03:26:41,2023-05-10 03:26:41,11,10,WPA2, ,PSK,-74, ,0,0.0.0.0,20,70mai_Pro Plus+_4010, ,47.061954,27.335712
34:60:F9:21:6F:78,2023-05-10 03:26:46,2023-05-10 03:26:52,36,60,WPA2, ,PSK,-68, ,0,0.0.0.0,14,IZVORAS_Ext_5G, ,47.061954,27.335712
44:27:F3:01:17:C5,2023-05-10 03:26:30,2023-05-10 03:27:55,3,10,WPA2, ,PSK,-48, ,0,0.0.0.0,14,70mai_d02_17c5, ,47.061954,27.335712
C8:3A:35:7C:6A:60,2023-05-10 03:27:07,2023-05-10 03:28:27,11,10,WPA2, ,PSK,-56, ,0,0.0.0.0,12,Tenda-7C6A60, ,47.061954,27.335712
CC:2D:21:4F:C8:E1,2023-05-10 03:28:27,2023-05-10 03:28:27,7,10,WPA2, ,PSK,-80, ,0,0.0.0.0,12,Tenda_4FC8E0, ,47.061954,27.335712
B2:0A:49:BB:FB:56,2023-05-10 03:27:44,2023-05-10 03:29:25,1,10,WPA2, ,PSK,-58, ,0,0.0.0.0,8,Gabriel , ,47.061954,27.335712
48:7A:FF:42:A2:54,2023-05-10 03:28:57,2023-05-10 03:28:58,149,60,WPA2, ,PSK,-68, ,0,0.0.0.0,12,Hyundai_hEAB, ,47.061954,27.335712
2C:4C:C6:BB:6B:3B,2023-05-10 03:10:56,2023-05-10 03:33:47,1,240,WPA2, ,PSK,-30, ,24,0.0.0.0,16,MB Hotspot 11341, ,47.061954,27.335712
C2:D2:DD:AC:B9:21,2023-05-10 03:35:17,2023-05-10 03:35:17,6,10,WPA2, ,PSK,-50, ,0,0.0.0.0,13,AndroidAP7652, ,47.061954,27.335712
44:91:60:4B:45:1C,2023-05-10 03:35:06,2023-05-10 03:35:27,149,60,WPA2, ,PSK,-47, ,0,0.0.0.0,16,MB Hotspot 18006, ,47.061954,27.335712
44:27:F3:18:A1:91,2023-05-10 03:36:16,2023-05-10 03:36:48,7,10,WPA2, ,PSK,-42, ,0,0.0.0.0,15,70mai_A500_a191, ,47.061954,27.335712
00:54:AF:DC:CC:77,2023-05-10 03:36:58,2023-05-10 03:37:20,4,10,WPA2, ,PSK,-40, ,0,0.0.0.0,11,HotspotCC77, ,47.061954,27.335712
4E:BC:E4:7F:1A:8B,2023-05-10 03:29:25,2023-05-10 03:37:57,1,10,Open, ,,-42, ,0,0.0.0.0,5,Coste, ,47.061954,27.335712
40:B0:34:5E:0A:87,2023-05-10 03:40:06,2023-05-10 03:40:48,10,60,WPA2, ,PSK,-81, ,0,0.0.0.0,32,DIRECT-86-HP DeskJet 3830 series, ,47.061954,27.335712
16:27:F5:19:92:16,2023-05-10 03:05:15,2023-05-10 03:41:36,1,10,WPA2, ,PSK,-74, ,0,0.0.0.0,17,1627F5199216, ,47.061954,27.335712
28:0F:EB:83:46:3D,2023-05-10 03:43:59,2023-05-10 03:43:59,149,60,WPA2, ,PSK,-76, ,0,0.0.0.0,21,DACIA_4828           , ,47.061954,27.335712
34:2C:C4:3C:59:76,2023-05-10 03:46:13,2023-05-10 03:46:35,11,10,WPA2, ,PSK,-76, ,0,0.0.0.0,13,Vodafone-D6BB, ,47.061954,27.335712
06:63:D3:C9:F4:4F,2023-05-10 03:32:49,2023-05-10 03:47:17,11,10,WPA2, ,PSK,-56, ,0,0.0.0.0,15,OPPO Reno5 Lite, ,47.061954,27.335712
6E:77:A6:7B:B8:BB,2023-05-10 03:47:22,2023-05-10 03:47:22,6,10,WPA2, ,PSK,-76, ,0,0.0.0.0,21,Pavel's Galaxy A22 5G, ,47.061954,27.335712
D2:40:EF:71:C3:66,2023-05-10 03:50:38,2023-05-10 03:50:39,153,60,WPA2, ,PSK,-72, ,0,0.0.0.0,13,My Skoda 8724, ,47.061954,27.335712
D2:40:EF:11:C3:66,2023-05-10 03:51:01,2023-05-10 03:51:01,6,10,WPA2, ,PSK,-72, ,0,0.0.0.0,13,My Skoda 8724, ,47.061954,27.335712
48:D8:90:E0:72:10,2023-05-10 03:51:38,2023-05-10 03:52:05,6,10,WPA2, ,PSK,-40, ,0,0.0.0.0,15,vYou_DDPai_MINI, ,47.061954,27.335712
70:4D:7B:51:94:04,2023-05-10 03:52:01,2023-05-10 03:52:07,100,,, ,,, ,0,0.0.0.0,17,704D7B519404, ,0,0
14:EB:B6:C8:24:5E,2023-05-10 03:07:56,2023-05-10 03:53:25,8,0,, ,,0, ,0,0.0.0.0,17,14EBB6C8245E, ,0,0
C4:6E:1F:F5:DE:CC,2023-05-10 03:19:34,2023-05-10 03:54:24,11,10,WPA2, ,PSK,-76, ,0,0.0.0.0,9,marianNET, ,47.061954,27.335712
54:E1:05:7D:89:C1,2023-05-10 03:41:47,2023-05-10 03:55:17,12,10,WPA2, ,PSK,-76, ,0,0.0.0.0,9,DIGI-p3WC, ,47.061954,27.335712
7E:89:56:63:BE:74,2023-05-10 03:55:00,2023-05-10 03:55:00,1,10,WPA2, ,PSK,-50, ,0,0.0.0.0,13,AndroidAPBE74, ,47.061954,27.335712
9A:49:14:9B:C9:22,2023-05-10 03:55:05,2023-05-10 03:55:05,149,60,WPA2, ,PSK,-70, ,0,0.0.0.0,17,DIRECT-MBUX 28529, ,47.061954,27.335712
A0:27:B6:92:33:F9,2023-05-10 03:57:09,2023-05-10 03:57:09,1,10,WPA2, ,PSK,-48, ,0,0.0.0.0,15,Galaxy A02s33f9, ,47.061954,27.335712
00:EB:D8:2E:C4:0A,2023-05-10 03:57:25,2023-05-10 03:57:25,3,,, ,,, ,0,0.0.0.0,17,00EBD82EC40A, ,0,0
